"strain","drug","evolution_history","ic50","ic50_ci_lo","ic50_ci_hi","r2"
"40_B2","fluconazole","evolved_40C",23.5785743037728,9.85741781131321,42.7080147019941,0.959748221564291
"40_B6","fluconazole","evolved_40C",23.7642146885535,16.094027413797,45.7271134595933,0.966355320937915
"40_B8","fluconazole","evolved_40C",21.4203825700562,14.1237726136865,32.1725155127779,0.975508697855073
"40_C5","fluconazole","evolved_40C",21.7451645507749,8.3546140450258,38.3247412224015,0.942756691204816
"40_C7","fluconazole","evolved_40C",25.4433332276725,14.9009330110935,51.4379248715109,0.982768601080883
"40_C9","fluconazole","evolved_40C",52.2503793478583,40.9508291183083,100.961143234235,0.965306126785161
"fRS585 (YL07)","fluconazole","fRS585_control",15.7785556427118,8.60243561382156,24.4924175267676,0.970873221634811
"40_D2","fluconazole","evolved_40C",24.3898789451224,13.0558118351273,54.7100169970509,0.956893769411719
"40_D4","fluconazole","evolved_40C",27.3311871648822,11.824876039456,67.4870773229,0.936632326232058
"40_D8","fluconazole","evolved_40C",28.7151910608187,23.7823590742601,60.736934052829,0.968883357336162
"40_E7","fluconazole","evolved_40C",36.0484420959918,25.6450954580554,91.7016110736022,0.927103887561032
"40_E9","fluconazole","evolved_40C",26.4058402258828,18.6680591379368,64.9594096886605,0.948317491306213
"40_E11","fluconazole","evolved_40C",44.9389752085473,33.9391024422134,101.790473624606,0.979584318121546
"40_F2","fluconazole","evolved_40C",30.6808051814429,10.0540881500774,50.1611429874934,0.955667586882683
"40_F4","fluconazole","evolved_40C",17.4252221439856,10.2235977991393,30.074631593826,0.966039712912645
"40_F6","fluconazole","evolved_40C",30.6314613867164,21.3668851881177,52.7204747762637,0.973913271086905
"40_G5","fluconazole","evolved_40C",36.9401406094632,28.0817555023451,87.2363244073386,0.985018010179406
"40_G9","fluconazole","evolved_40C",90.9780974785871,31.6595995858661,154.103565451314,0.880686812119789
"40_G11","fluconazole","evolved_40C",67.377129429888,27.299633618881,132.506241240215,0.882055229345749
"35_B2","fluconazole","evolved_35C",23.9447740521006,13.9604692474223,45.3346175085562,0.946628672311518
"35_B6","fluconazole","evolved_35C",21.5756392392308,4.99053734167717,48.2154915311614,0.903158524705252
"35_B8","fluconazole","evolved_35C",21.2208887668198,10.9555043526333,43.500837844566,0.936819206930482
"35_C5","fluconazole","evolved_35C",22.2914031062613,4.44675919250531,47.40394415225,0.899543276021033
"35_C7","fluconazole","evolved_35C",17.5088656881767,6.0967690478185,38.1222402113919,0.918170204605584
"35_C9","fluconazole","evolved_35C",22.9272519840836,15.7948196579541,46.0423842857351,0.954782726700951
"35_D2","fluconazole","evolved_35C",15.0789385490352,3.27039461033699,20.5076866104112,0.96800720585475
"35_D4","fluconazole","evolved_35C",1.81431753962753,9.765625e-05,3.76933929973693,0.940381210364196
"35_D8","fluconazole","evolved_35C",22.2175595103065,8.56002338639076,40.0894849510969,0.9178702245294
"35_E7","fluconazole","evolved_35C",16.9601343367757,6.77633984592701,26.1038182008348,0.964309255299375
"35_E9","fluconazole","evolved_35C",23.9625061088253,15.6863985686491,46.2594935248655,0.954839238840764
"35_E11","fluconazole","evolved_35C",23.3656614024439,14.6620625689111,40.875751285568,0.957360878818966
"35_F2","fluconazole","evolved_35C",30.3909866498252,15.986166383489,69.2010865457987,0.922571302754175
"35_F4","fluconazole","evolved_35C",36.3421683085843,25.1336209647844,79.6189814141819,0.897113204132379
"35_F6","fluconazole","evolved_35C",19.5031060855934,9.32067448417074,38.6358694130716,0.943052279511514
"35_G5","fluconazole","evolved_35C",28.0415861005219,20.1716780376276,56.9673543651741,0.958893016246045
"35_G9","fluconazole","evolved_35C",21.1685619717308,11.8755553924321,56.8596782174028,0.919451218435291
"35_G11","fluconazole","evolved_35C",17.0267641593957,2.66896594764601,41.6711774765493,0.916184889469276
"40_B2","caspofungin","evolved_40C",0.0307255987065949,0.0272576319430238,0.0523219762358273,0.993771790891963
"40_B6","caspofungin","evolved_40C",0.0189600806674463,0.0102231727192536,0.0462583774804636,0.97141716081224
"40_B8","caspofungin","evolved_40C",0.0206695877183211,0.0114941760883525,0.046884446889991,0.990880391740615
"40_C5","caspofungin","evolved_40C",0.0177510115737598,0.0112468208255619,0.0239519464594898,0.97754814600442
"40_C7","caspofungin","evolved_40C",0.0176943637522741,0.0109220509697143,0.0493500509439882,0.963962420657181
"fRS585 (YL07)","caspofungin","fRS585_control",0.0195439308231867,0.0083374593152926,0.0351871356340722,0.971848724468436
"40_D2","caspofungin","evolved_40C",0.0311480094570282,0.0235510108361227,0.0530225724711124,0.971432892158447
"40_D4","caspofungin","evolved_40C",0.019542177671829,0.0119016186004083,0.031460821812392,0.984931303965324
"40_D8","caspofungin","evolved_40C",0.0203667447801591,0.0129482901626159,0.031698245134322,0.989435440543334
"40_E7","caspofungin","evolved_40C",0.0261011020135776,0.0189745859171527,0.0562477049260766,0.992067354117427
"40_E9","caspofungin","evolved_40C",0.02142895511132,0.00688383728552735,0.0539252737418551,0.979421788509596
"40_E11","caspofungin","evolved_40C",0.0291916740857166,0.00779107573106976,0.0457892843513195,0.959186203850528
"40_F2","caspofungin","evolved_40C",0.0196437149507811,0.0100362709463891,0.0335331893175337,0.975917926454695
"40_F4","caspofungin","evolved_40C",0.0146368554237845,0.00822052379936849,0.023349830364001,0.974767697108182
"40_F6","caspofungin","evolved_40C",0.0270799235248438,0.00893728767357094,0.0515841039557331,0.938940497876313
