"strain","evo_history","TPR"
"35_B2","35°C Evolved",0.351388357375789
"35_B6","35°C Evolved",0.127077041725512
"35_B8","35°C Evolved",0.288324438062057
"35_C5","35°C Evolved",0.313293893599247
"35_C7","35°C Evolved",0.305430827324403
"35_C9","35°C Evolved",0.370463429714536
"35_D2","35°C Evolved",0.281229279565366
"35_D4","35°C Evolved",0.203422990468126
"35_D8","35°C Evolved",0.351804728638547
"35_E11","35°C Evolved",0.395352340107684
"35_E7","35°C Evolved",0.305857080495477
"35_E9","35°C Evolved",0.271804608083663
"35_F2","35°C Evolved",0.403229732474953
"35_F4","35°C Evolved",0.163159862579109
"35_F6","35°C Evolved",0.152528211345719
"35_G11","35°C Evolved",0.322137869185741
"35_G5","35°C Evolved",0.183678823707422
"35_G9","35°C Evolved",0.175483668149802
"40_B2","40°C Evolved",0.681071634290877
"40_B6","40°C Evolved",0.983259060192743
"40_B8","40°C Evolved",0.857717167016308
"40_C5","40°C Evolved",0.710858813029613
"40_C7","40°C Evolved",0.649139944385014
"40_C9","40°C Evolved",0.514707680958649
"40_D2","40°C Evolved",0.51217374603446
"40_D4","40°C Evolved",0.69466915297125
"40_D8","40°C Evolved",0.611123772961738
"40_E11","40°C Evolved",0.715213544399327
"40_E7","40°C Evolved",0.691525651766756
"40_E9","40°C Evolved",0.653144624723331
"40_F2","40°C Evolved",0.867601588481116
"40_F4","40°C Evolved",0.715481886390289
"40_F6","40°C Evolved",0.851811748460915
"40_G11","40°C Evolved",0.673942508887106
"40_G5","40°C Evolved",0.627113734565079
"40_G9","40°C Evolved",0.829592175976399
"fRS585 (YL07)","Ancestor",0.398720781847699
