"strain","evo_history","TPR"
"35_B2","35°C Evolved",0.351388356688162
"35_B6","35°C Evolved",0.127077041932597
"35_B8","35°C Evolved",0.288324438743044
"35_C5","35°C Evolved",0.313293893358795
"35_C7","35°C Evolved",0.305430778319884
"35_C9","35°C Evolved",0.370463430611966
"35_D2","35°C Evolved",0.281229273306002
"35_D4","35°C Evolved",0.203422990319232
"35_D8","35°C Evolved",0.351804728480936
"35_E11","35°C Evolved",0.395352340322399
"35_E7","35°C Evolved",0.305857080013116
"35_E9","35°C Evolved",0.271804608895448
"35_F2","35°C Evolved",0.403229732546101
"35_F4","35°C Evolved",0.163159865214508
"35_F6","35°C Evolved",0.152528191441661
"35_G11","35°C Evolved",0.322137868248298
"35_G5","35°C Evolved",0.18367882229438
"35_G9","35°C Evolved",0.17548364419959
"40_B2","40°C Evolved",0.681071633208511
"40_B6","40°C Evolved",0.983259058221715
"40_B8","40°C Evolved",0.857717174198685
"40_C5","40°C Evolved",0.710858813709732
"40_C7","40°C Evolved",0.64913994071046
"40_C9","40°C Evolved",0.514707478611735
"40_D2","40°C Evolved",0.512173745908458
"40_D4","40°C Evolved",0.694669152005037
"40_D8","40°C Evolved",0.611123772690181
"40_E11","40°C Evolved",0.715213551290612
"40_E7","40°C Evolved",0.691525651732319
"40_E9","40°C Evolved",0.653144579566694
"40_F2","40°C Evolved",0.867601594761462
"40_F4","40°C Evolved",0.71548168088059
"40_F6","40°C Evolved",0.851811746145426
"40_G11","40°C Evolved",0.673942508802465
"40_G5","40°C Evolved",0.627113434733747
"40_G9","40°C Evolved",0.829592168912839
"fRS585","Ancestor",0.39872071597237
