strain,evolution_history,rate_metric,r_tref,e,eh,th,topt,ctmax,rmax,b80,r2,n_obs
35_B2,35 evolved,r,2.684689004186217,0.8552187272607787,5.018751899544125,313.5341805292148,37.733773377337734,47.53575357535754,27.64637450803332,6.320132013201324,0.3708001406737751,15
35_B6,35 evolved,r,1.209260145942368,1.778553235968638,2.20394256617311,303,35.07150715071507,50,24.775798304584892,13.536853685368541,0.2711854374078497,15
35_B8,35 evolved,r,4.544289625023173,0.598451081392418,5.153030022170901,317.36773908788217,40.83608360836084,50.6985698569857,29.181398192919474,7.585258525852588,0.36646097689715607,15
35_C5,35 evolved,r,3.6760795202637278,0.9399975168180918,1.3290486718952472,306.8307929416856,39.16391639163917,50,20.126971131515532,19.603960396039607,0.1736438497371523,15
35_C7,35 evolved,r,3.8094314996516605,0.7337662497867999,2.7518139377931443,313.12309061533875,36.8976897689769,50,22.519627739426383,9.526952695269532,0.2267540958902734,15
35_C9,35 evolved,r,2.6402802769231615,0.870574924718833,5.122642732936458,313.5318596103901,37.78327832783278,47.38173817381738,28.598988032415367,6.199119911991204,0.43956404382476233,15
35_D2,35 evolved,r,2.8833285751966167,1.0550864993904967,1.8208041924791236,306.8627581930576,35.14851485148515,50,19.48443886068459,12.662266226622663,0.2732906820658223,15
35_D4,35 evolved,r,4.225343770018231,0.6497914775854466,3.0647694230675637,315.2321088455653,38.454345434543455,50,23.871330051552043,9.433443344334435,0.20749053919667737,15
35_D8,35 evolved,r,2.2424872384376595,1.3686835086646136,1.781532082105235,303,35.26952695269527,50,19.446323295177802,15.528052805280527,0.23516414538789032,15
35_E11,35 evolved,r,2.7164298101950535,1.1595809798698773,1.6717864985426432,305.0855876951549,35.90759075907591,50,19.59864631402164,15,0.3784053726085187,15
35_E7,35 evolved,r,3.5686022349180817,0.7904982900180589,3.809115375489544,313.8400766848085,37.733773377337734,50.83608360836084,29.004849686325713,7.6292629262926255,0.3752362656476027,15
35_E9,35 evolved,r,4.366507882656672,0.6727904652343641,1.6843719704085274,315.99966834244213,40.781078107810785,50,24.266917988987235,14.273927392739274,0.2168538202599789,15
35_F2,35 evolved,r,4.189324516604216,0.6361939074621282,4.283055643751321,315.41812167707093,38.81188118811882,50.46754675467547,25.212488384747882,7.948294829482947,0.30146140395321175,15
35_F4,35 evolved,r,4.087179205267816,0.6674650508959834,3.006809706226004,315.04367357967504,38.366336633663366,50,23.88132026203817,9.433443344334435,0.19436276858713064,15
35_F6,35 evolved,r,3.053407133279975,0.9433826409880398,2.012436720665502,309.9361008122028,36.270627062706275,50,22.10116842891137,11.386138613861391,0.14092560408178245,15
35_G11,35 evolved,r,1.9684297199663645,1.4445452573369304,1.9202980760524384,303,34.4939493949395,50,19.463859029834214,13.94939493949395,0.19532147408753076,15
35_G5,35 evolved,r,2.537838118987137,1.0756683771933182,2.443499505309158,309.94318091233015,35.97909790979098,50,26.877765506183884,9.405940594059405,0.24632607645489368,15
35_G9,35 evolved,r,0.44115493116870585,2.436713981060888,3.4153282500631845,303,31.980198019801982,50,29.727906174289007,7.2937293729372925,0.3362139794347071,15
