well,strain,r,K,t_mid,R2,n_obs,strain.y,test_temperature,block,evolution_history
b3,fRS585,6.673775228262793,0.165,0.045965744050109295,0.7727967032145309,97,fRS585,42,1,fRS585
b4,WT_CASP_2,7.476232742093908,0.237,0.1464423313770605,0.9609903707506852,97,WT_CASP_2,42,1,Caspofungin evolved
b5,40_D2,6.534579741196838,0.189,0.12359618182553174,0.9353478817683502,97,40_D2,42,1,40 evolved
b6,WT_CASP_2,5.397947309787436,0.355,0.2709325713596557,0.9881851472152069,97,WT_CASP_2,42,1,Caspofungin evolved
b8,40_G9,10.418060560633227,1.1138607157721645,0.4133432749430463,0.9914825761484124,97,40_G9,42,1,40 evolved
b10,WT_FLZ_2,4.38224646369866,0.22384603399073758,0.2389966186825598,0.9714757589490409,97,WT_FLZ_2,42,1,Fluconazole evolved
b11,35_G11,8.691758577295538,0.263,0.1584727166311406,0.8995483121658214,97,35_G11,42,1,35 evolved
c2,35_G5,6.245192958635391,0.158,0.027831922158637952,0.7843543790608685,97,35_G5,42,1,35 evolved
c4,40_C7,7.303137585776701,0.238,0.1615560631102002,0.9364431544059396,97,40_C7,42,1,40 evolved
c5,35_G5,6.646273552631889,0.173,0.05108497908809109,0.7933300394427663,97,35_G5,42,1,35 evolved
c6,35_F4,8.698479156771775,0.249,0.14040636938846968,0.8031713546002553,97,35_F4,42,1,35 evolved
c7,35_D4,6.142458429635748,0.189,0.08343767741478732,0.764924896472834,97,35_D4,42,1,35 evolved
c8,40_F2,3.9510023882436087,0.7999202248758416,0.6087066645499365,0.9968941089976596,97,40_F2,42,1,40 evolved
c9,40_D4,6.007361880637436,1.2996815604064762,0.5738848594355077,0.9967628071494002,97,40_D4,42,1,40 evolved
c10,35_B8,8.205255379468838,0.229,0.13662835880587854,0.8502159058217252,97,35_B8,42,1,35 evolved
c11,WT_CASP_1,6.950255568922708,0.195,0.10062839953183371,0.8193382238649118,97,WT_CASP_1,42,1,Caspofungin evolved
d2,40_B8,5.065551261172813,0.30395592484966155,0.2621951311560047,0.99439668843753,97,40_B8,42,1,40 evolved
d4,40_F2,6.409549653571989,0.39231798046887534,0.3124058668568123,0.9913398474846538,97,40_F2,42,1,40 evolved
d5,40_C7,7.480754672445447,0.249,0.1799835315259708,0.9413706674485524,97,40_C7,42,1,40 evolved
d6,WT_FLZ_2,4.800580931222512,0.12040547585379187,-0.0916367140929535,0.9565059026904902,97,WT_FLZ_2,42,1,Fluconazole evolved
d7,35_B6,7.7466227496486875,0.194,0.09781771253870274,0.8067331725046836,97,35_B6,42,1,35 evolved
d8,WT_CASP_1,4.908131499192606,0.274,0.17084277918884894,0.7695167618999879,97,WT_CASP_1,42,1,Caspofungin evolved
d10,40_B8,4.397038631728572,1.532828970007228,0.713583973681971,0.9993655615829659,97,40_B8,42,1,40 evolved
d11,WT_CASP_2,2.923040311020461,1.4609379857846736,0.953633252474086,0.9944876973222931,97,WT_CASP_2,42,1,Caspofungin evolved
e2,35_B8,7.00558768652993,0.166,0.051288025249281256,0.7976792696309725,97,35_B8,42,1,35 evolved
e3,35_F4,8.304822428240264,0.235,0.13119293774078322,0.8094285390269591,97,35_F4,42,1,35 evolved
e5,40_D4,5.501261452039117,0.3148025274258543,0.24685224406562897,0.9918901777693893,97,40_D4,42,1,40 evolved
e7,35_F4,9.035439165918588,0.271,0.15351570608203208,0.832869391751899,97,35_F4,42,1,35 evolved
e8,35_B8,8.459093314702178,0.229,0.13321250683169705,0.8233829903761709,97,35_B8,42,1,35 evolved
e9,40_D2,5.310616396609065,0.9834790773043119,0.5420172224422258,0.9992215005447581,97,40_D2,42,1,40 evolved
e10,fRS585,8.161603228896615,0.229,0.11701296861712926,0.8094526833034579,97,fRS585,42,1,fRS585
f2,35_G5,7.195135775030447,0.169,0.06001912370862217,0.8136826637850593,97,35_G5,42,1,35 evolved
f3,40_D4,8.922085802541845,1.2686681180053738,0.48176713085854317,0.994028225067291,97,40_D4,42,1,40 evolved
f4,35_D4,7.372468616389791,0.184,0.0864765628552606,0.8056357813951762,97,35_D4,42,1,35 evolved
f5,35_B6,7.199077918971237,0.167,0.05653682169334738,0.8048909227878367,97,35_B6,42,1,35 evolved
f6,40_B8,4.404780311538355,0.39235093385784764,0.35940360854749587,0.9849445342831975,97,40_B8,42,1,40 evolved
f7,40_C7,7.524609604079095,0.262,0.19255752350941505,0.957485061211291,97,40_C7,42,1,40 evolved
f8,WT_CASP_1,0.9778762129311219,0.822,1.766004305997843,0.2723751547949971,97,WT_CASP_1,42,1,Caspofungin evolved
f10,40_F2,4.9418730770318895,0.4684268380768526,0.3775658884713235,0.9953456633684852,97,40_F2,42,1,40 evolved
f11,fRS585,7.593742535404197,0.191,0.09406745998143604,0.7979465168595893,97,fRS585,42,1,fRS585
g2,35_G11,7.122691450301411,0.17,0.04946045270874323,0.7997686143907192,97,35_G11,42,1,35 evolved
g3,WT_FLZ_2,4.321763657877796,0.1242286942330162,-0.0555080079881074,0.95550052661936,97,WT_FLZ_2,42,1,Fluconazole evolved
g4,35_B6,7.248301898161213,0.186,0.07505212239842031,0.8331649809773491,97,35_B6,42,1,35 evolved
g6,40_D2,7.179523111332516,0.228,0.1506003843253184,0.9330804537068844,97,40_D2,42,1,40 evolved
