well,block,test_temperature,strain,evolution_history,window_idx,window_size,days_start,days_end,mu,r_squared
b10,1,25,WT_FLZ_2,Fluconazole evolved,53,5,0.5416666666666666,0.5833333333333334,5.374440757275166,0.999998998226538
b10,1,35,WT_FLZ_2,Fluconazole evolved,31,5,0.3125,0.3541666666666667,9.517463773379795,0.9999468322654326
b10,1,38,WT_FLZ_2,Fluconazole evolved,28,6,0.28125,0.3333333333333333,10.172036519229941,0.99987291754063
b10,1,41,WT_FLZ_2,Fluconazole evolved,78,5,0.8020833333333334,0.84375,3.248584927242962,0.9935908095410191
b10,1,42,WT_FLZ_2,Fluconazole evolved,39,5,0.3958333333333333,0.4375,2.3936545168170222,0.9969005210400415
b10,3,25,40_F6,40 evolved,36,5,0.3645833333333333,0.40625,8.518961845346047,0.9999338528429675
b10,3,35,40_F6,40 evolved,22,5,0.21875,0.2604166666666667,13.263420116808305,0.9999667304734329
b10,3,38,40_F6,40 evolved,22,5,0.21875,0.2604166666666667,13.990779173432859,0.9999064782761924
b10,3,41,40_F6,40 evolved,29,5,0.2916666666666667,0.3333333333333333,8.860191939316644,0.9998588485931786
b10,3,42,40_F6,40 evolved,22,6,0.21875,0.2708333333333333,4.122215650223497,0.9998130210776782
b11,1,25,35_G11,35 evolved,36,5,0.3645833333333333,0.40625,8.360633469640282,0.9999209470929912
b11,1,35,35_G11,35 evolved,22,5,0.21875,0.2604166666666667,12.824040996337466,0.999898831662541
b11,1,38,35_G11,35 evolved,22,5,0.21875,0.2604166666666667,13.763056836764756,0.9999586190807493
b11,1,41,35_G11,35 evolved,28,5,0.28125,0.3229166666666667,7.6005630959889325,0.9997044495677753
b11,1,42,35_G11,35 evolved,21,5,0.20833333333333337,0.25,4.487849883199336,0.9997717563278234
b11,2,25,35_D8,35 evolved,37,5,0.375,0.4166666666666667,8.294832087173278,0.9999874346549588
b11,2,35,35_D8,35 evolved,22,5,0.21875,0.2604166666666667,12.94946548180762,0.9997624476462286
b11,2,38,35_D8,35 evolved,22,5,0.21875,0.2604166666666667,13.895029664998729,0.9997020929813498
b11,2,41,35_D8,35 evolved,30,5,0.3020833333333333,0.34375,7.998518753399751,0.9991873988638778
b11,2,42,35_D8,35 evolved,23,5,0.22916666666666663,0.2708333333333333,3.700573504949111,0.9874298044842499
b11,3,25,40_G5,40 evolved,41,5,0.4166666666666667,0.4583333333333333,8.036895362785842,0.999845922753421
b11,3,35,40_G5,40 evolved,24,5,0.23958333333333337,0.28125,11.906891112710632,0.9999239770285158
b11,3,38,40_G5,40 evolved,24,5,0.23958333333333337,0.28125,12.53926638888731,0.9995972137807518
b11,3,41,40_G5,40 evolved,33,5,0.3333333333333333,0.375,8.189124731777362,0.9993525861836161
b11,3,42,40_G5,40 evolved,25,5,0.25,0.2916666666666667,3.5760321172619354,0.9948948038339418
b2,2,25,35_E9,35 evolved,37,5,0.375,0.4166666666666667,8.26199826537331,0.999875468489094
b2,2,35,35_E9,35 evolved,25,5,0.25,0.2916666666666667,17.624845025729318,0.9994003063379794
b2,2,38,35_E9,35 evolved,22,5,0.21875,0.2604166666666667,13.888262066698195,0.9999500783299166
b2,2,41,35_E9,35 evolved,25,5,0.25,0.2916666666666667,5.8739194770688234,0.9993248936291248
b2,2,42,35_E9,35 evolved,21,6,0.20833333333333337,0.2604166666666667,2.6431667544489734,0.9964376472425422
b2,3,25,40_B6,40 evolved,40,5,0.40625,0.4479166666666667,8.164154180989112,0.9999490234294736
b2,3,35,40_B6,40 evolved,25,5,0.25,0.2916666666666667,11.770165058247134,0.9999443123917736
b2,3,38,40_B6,40 evolved,22,5,0.21875,0.2604166666666667,12.378285078592246,0.9999404776988554
b2,3,41,40_B6,40 evolved,39,5,0.3958333333333333,0.4375,13.5053180537686,0.9865421842740302
b2,3,42,40_B6,40 evolved,27,5,0.2708333333333333,0.3125,2.3613163650414095,0.9922773749965792
b3,1,25,fRS585,fRS585,35,5,0.3541666666666667,0.3958333333333333,8.518961845346036,0.9999425621656732
b3,1,35,fRS585,fRS585,20,5,0.19791666666666663,0.23958333333333337,13.61737921099603,0.999941743194764
b3,1,38,fRS585,fRS585,21,5,0.20833333333333337,0.25,13.587973566836668,0.9998449219510976
b3,1,41,fRS585,fRS585,22,5,0.21875,0.2604166666666667,5.8957816340344396,0.9995884264641196
b3,1,42,fRS585,fRS585,22,6,0.21875,0.2708333333333333,2.5440825437956325,0.9978303829617468
b3,2,25,40_E9,40 evolved,39,5,0.3958333333333333,0.4375,8.149719206156185,0.9999746122363703
b3,2,35,40_E9,40 evolved,24,5,0.23958333333333337,0.28125,11.384228168805903,0.999998842687748
b3,2,38,40_E9,40 evolved,23,6,0.22916666666666663,0.28125,12.28520201777069,0.9999250528776117
b3,2,41,40_E9,40 evolved,28,5,0.28125,0.3229166666666667,7.815097908937257,0.9999979423105085
b3,2,42,40_E9,40 evolved,27,6,0.2708333333333333,0.3229166666666667,3.279196989982565,0.9996506054702002
b3,3,25,fRS585,fRS585,34,5,0.34375,0.3854166666666667,8.528856632725207,0.9999276187018588
b3,3,35,fRS585,fRS585,22,5,0.21875,0.2604166666666667,13.092790041512908,0.9999799181646651
b3,3,38,fRS585,fRS585,22,5,0.21875,0.2604166666666667,13.69090763118449,0.9997998679825267
b3,3,41,fRS585,fRS585,24,5,0.23958333333333337,0.28125,6.267201682515227,0.9995484094867946
b3,3,42,fRS585,fRS585,18,5,0.17708333333333334,0.21875,2.305568088752188,0.9965338352823011
b4,1,25,WT_CASP_2,Caspofungin evolved,32,5,0.3229166666666667,0.3645833333333333,8.62985209797626,0.999948484346333
b4,1,35,WT_CASP_2,Caspofungin evolved,19,5,0.1875,0.22916666666666663,14.623736540923117,0.9976568137751611
b4,1,38,WT_CASP_2,Caspofungin evolved,20,5,0.19791666666666663,0.23958333333333337,14.627597861557241,0.9999301247533199
b4,1,41,WT_CASP_2,Caspofungin evolved,30,5,0.3020833333333333,0.34375,7.652878695336357,0.9997237744291033
b4,1,42,WT_CASP_2,Caspofungin evolved,24,5,0.23958333333333337,0.28125,3.4357787110796534,0.9991850023155636
b4,2,25,40_G11,40 evolved,34,6,0.34375,0.3958333333333333,8.009353418442249,0.9998762972056517
b4,2,35,40_G11,40 evolved,22,5,0.21875,0.2604166666666667,13.493198562573635,0.9999531776890065
b4,2,38,40_G11,40 evolved,22,5,0.21875,0.2604166666666667,13.45592931162669,0.9999101859438986
b4,2,41,40_G11,40 evolved,28,5,0.28125,0.3229166666666667,8.447509905831929,0.999830335549536
b4,2,42,40_G11,40 evolved,28,5,0.28125,0.3229166666666667,4.376218014223311,0.999434850931212
b4,3,25,35_E11,35 evolved,37,5,0.375,0.4166666666666667,8.29513713936596,0.9999107142121353
b4,3,35,35_E11,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.579866697176206,0.9999846161862462
b4,3,38,35_E11,35 evolved,22,5,0.21875,0.2604166666666667,13.470248842146281,0.9999953290053585
b4,3,41,35_E11,35 evolved,23,5,0.22916666666666663,0.2708333333333333,5.737393430238545,0.9999309652722492
b4,3,42,35_E11,35 evolved,17,5,0.16666666666666666,0.20833333333333337,2.229834689335749,0.9940042384460024
b5,1,25,40_D2,40 evolved,39,5,0.3958333333333333,0.4375,8.190929475200626,0.9999206955187893
b5,1,35,40_D2,40 evolved,24,5,0.23958333333333337,0.28125,12.72201875709018,0.9998695160253971
b5,1,38,40_D2,40 evolved,22,5,0.21875,0.2604166666666667,12.522189144670918,0.9997827953482611
b5,1,41,40_D2,40 evolved,37,5,0.375,0.4166666666666667,5.882273087593139,0.9995446606056156
b5,1,42,40_D2,40 evolved,25,5,0.25,0.2916666666666667,2.8842775824719786,0.9943879971417017
b5,2,25,40_E11,40 evolved,35,7,0.3541666666666667,0.4166666666666667,8.197761254704524,0.9999758862216165
b5,2,35,40_E11,40 evolved,24,5,0.23958333333333337,0.28125,13.028529437214095,0.9995907907449311
b5,2,38,40_E11,40 evolved,22,5,0.21875,0.2604166666666667,13.85742807031824,0.999874983630747
b5,2,41,40_E11,40 evolved,27,5,0.2708333333333333,0.3125,7.500015082783863,0.9998017996289249
b5,2,42,40_E11,40 evolved,21,5,0.20833333333333337,0.25,3.381622581347836,0.9990685402867779
b5,3,25,35_D2,35 evolved,36,5,0.3645833333333333,0.40625,8.654291398596055,0.9994625947760085
b5,3,35,35_D2,35 evolved,22,5,0.21875,0.2604166666666667,13.107221764483054,0.9999867783392875
b5,3,38,35_D2,35 evolved,22,5,0.21875,0.2604166666666667,13.738284893909976,0.9999113137639847
b5,3,41,35_D2,35 evolved,28,5,0.28125,0.3229166666666667,6.644084804403139,0.9999745518167943
b5,3,42,35_D2,35 evolved,22,5,0.21875,0.2604166666666667,2.152313165598795,0.9965067226640681
b6,1,25,WT_CASP_2,Caspofungin evolved,34,5,0.34375,0.3854166666666667,8.515191376894228,0.999925684169785
b6,1,35,WT_CASP_2,Caspofungin evolved,19,5,0.1875,0.22916666666666663,13.849990949551088,0.9999390315846555
b6,1,38,WT_CASP_2,Caspofungin evolved,21,5,0.20833333333333337,0.25,14.786604528579776,0.9998976999962563
b6,1,41,WT_CASP_2,Caspofungin evolved,33,5,0.3333333333333333,0.375,10.636372878105867,0.9797335527082149
b6,1,42,WT_CASP_2,Caspofungin evolved,21,5,0.20833333333333337,0.25,4.007901871347675,0.9993899568360569
b6,3,25,WT_FLZ_1,Fluconazole evolved,34,5,0.34375,0.3854166666666667,8.343524321163713,0.9999465903194558
b6,3,35,WT_FLZ_1,Fluconazole evolved,21,5,0.20833333333333337,0.25,13.787723806863315,0.99994911608087
b6,3,38,WT_FLZ_1,Fluconazole evolved,22,5,0.21875,0.2604166666666667,13.670720315118722,0.9998599860667046
b6,3,41,WT_FLZ_1,Fluconazole evolved,20,5,0.19791666666666663,0.23958333333333337,5.263080305083493,0.9993783799419487
b6,3,42,WT_FLZ_1,Fluconazole evolved,22,6,0.21875,0.2708333333333333,2.9070097177893848,0.9944749786561252
b7,3,25,fRS585,fRS585,35,5,0.3541666666666667,0.3958333333333333,8.527259749278409,0.9999180611624123
b7,3,35,fRS585,fRS585,22,5,0.21875,0.2604166666666667,13.077324399617819,0.999990234141284
b7,3,38,fRS585,fRS585,22,5,0.21875,0.2604166666666667,13.874831673706645,0.9998441465602677
b7,3,41,fRS585,fRS585,23,5,0.22916666666666663,0.2708333333333333,6.260289486935137,0.9992361940375977
b7,3,42,fRS585,fRS585,17,5,0.16666666666666666,0.20833333333333337,2.528301742090334,0.9997572361877182
b8,1,25,40_G9,40 evolved,33,5,0.3333333333333333,0.375,8.073164753590529,0.9998618765572603
b8,1,35,40_G9,40 evolved,17,5,0.16666666666666666,0.20833333333333337,13.400770853131446,0.9999904802285999
b8,1,38,40_G9,40 evolved,19,5,0.1875,0.22916666666666663,14.063662450839377,0.9999423285050821
b8,1,41,40_G9,40 evolved,26,19,0.2604166666666667,0.4479166666666667,9.397322824244451,0.9712613619791276
b8,1,42,40_G9,40 evolved,28,5,0.28125,0.3229166666666667,6.521535166089171,0.9989775901045121
b8,2,25,35_B2,35 evolved,39,5,0.3958333333333333,0.4375,8.098621605093046,0.9998529994593705
b8,2,35,35_B2,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.050136851317145,0.9999307697931089
b8,2,38,35_B2,35 evolved,22,5,0.21875,0.2604166666666667,13.638382046729213,0.9999837320373655
b8,2,41,35_B2,35 evolved,26,5,0.2604166666666667,0.3020833333333333,6.796270328087421,0.9993687667162046
b8,2,42,35_B2,35 evolved,19,5,0.1875,0.22916666666666663,2.6690027652025186,0.999729464517816
b8,3,25,35_E11,35 evolved,34,5,0.34375,0.3854166666666667,8.444379027895485,0.9998432510413227
b8,3,35,35_E11,35 evolved,22,5,0.21875,0.2604166666666667,13.133253864237158,0.9999755251445623
b8,3,38,35_E11,35 evolved,22,5,0.21875,0.2604166666666667,13.883609432456794,0.9998669349647448
b8,3,41,35_E11,35 evolved,34,5,0.34375,0.3854166666666667,8.967341685374475,0.9709364405373401
b8,3,42,35_E11,35 evolved,22,5,0.21875,0.2604166666666667,2.7454750412161184,0.9982508855558564
b9,2,25,fRS585,fRS585,38,5,0.3854166666666667,0.4270833333333333,8.146643605480214,0.99930165496667
b9,2,35,fRS585,fRS585,23,5,0.22916666666666663,0.2708333333333333,13.161394458464494,0.999879733942996
