well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
b10,1,25,WT_FLZ_2,Fluconazole evolved,54,0.5520833333333334,0.5833333333333334,5.379639976693104,0.9999998684208176,4
b10,1,35,WT_FLZ_2,Fluconazole evolved,40,0.40625,0.4375,9.887800732934037,0.9342828666209191,4
b10,1,38,WT_FLZ_2,Fluconazole evolved,31,0.3125,0.34375,10.21020444817178,0.999928851317709,4
b10,1,41,WT_FLZ_2,Fluconazole evolved,78,0.8020833333333334,0.8333333333333334,3.3526299085206097,0.9899161659548981,4
b10,1,42,WT_FLZ_2,Fluconazole evolved,38,0.3854166666666667,0.4166666666666667,2.4772964583088135,0.9967806647235233,4
b10,3,25,40_F6,40 evolved,36,0.3645833333333333,0.3958333333333333,8.58313555746274,0.9999814709898167,4
b10,3,35,40_F6,40 evolved,22,0.21875,0.25,13.30290092753976,0.9999514715544428,4
b10,3,38,40_F6,40 evolved,34,0.34375,0.375,19.040974195283184,0.8527538132387528,4
b10,3,41,40_F6,40 evolved,30,0.3020833333333333,0.3333333333333333,8.910253655582883,0.999784001448807,4
b10,3,42,40_F6,40 evolved,24,0.23958333333333337,0.2708333333333333,4.156323750259778,0.9995485185906111,4
b11,1,25,35_G11,35 evolved,37,0.375,0.40625,8.358914493707982,0.9998419262185264,4
b11,1,35,35_G11,35 evolved,22,0.21875,0.25,12.869125716131522,0.9998236358856974,4
b11,1,38,35_G11,35 evolved,23,0.22916666666666663,0.2604166666666667,13.814972062039361,0.9999461020808684,4
b11,1,41,35_G11,35 evolved,29,0.2916666666666667,0.3229166666666667,7.670010782626284,0.9995835227082691,4
b11,1,42,35_G11,35 evolved,20,0.19791666666666663,0.22916666666666663,4.47483428695283,0.9995878130968183,4
b11,2,25,35_D8,35 evolved,37,0.375,0.40625,8.319102577569353,0.9999920384032837,4
b11,2,35,35_D8,35 evolved,23,0.22916666666666663,0.2604166666666667,12.979556994766392,0.9995379466572271,4
b11,2,38,35_D8,35 evolved,22,0.21875,0.25,14.090323642824217,0.9998046605809496,4
b11,2,41,35_D8,35 evolved,31,0.3125,0.34375,8.153927073473016,0.9991621042067775,4
b11,2,42,35_D8,35 evolved,24,0.23958333333333337,0.2708333333333333,3.695417810862998,0.9751078058255688,4
b11,3,25,40_G5,40 evolved,41,0.4166666666666667,0.4479166666666667,8.133852623023374,0.999983285155357,4
