population,evolution_history,ic50,drug
35_B2,35 evolved,0.30663894237764955,amphotericin
35_B6,35 evolved,0.281421018991572,amphotericin
35_B8,35 evolved,0.3017438942658096,amphotericin
35_C5,35 evolved,0.29069130747209104,amphotericin
35_C7,35 evolved,0.3513538240623012,amphotericin
35_C9,35 evolved,0.3302316131893392,amphotericin
35_D2,35 evolved,0.3295688840096307,amphotericin
35_D4,35 evolved,0.13329763952740767,amphotericin
35_D8,35 evolved,0.2781300826400644,amphotericin
35_E11,35 evolved,0.30445591800229294,amphotericin
35_E7,35 evolved,0.27984055231580995,amphotericin
35_E9,35 evolved,0.31283206473055186,amphotericin
35_F2,35 evolved,0.14920329221199136,amphotericin
35_F4,35 evolved,0.15160359150832997,amphotericin
35_F6,35 evolved,0.12855114161574363,amphotericin
35_G11,35 evolved,0.10127697802557951,amphotericin
35_G5,35 evolved,0.15104770210693994,amphotericin
35_G9,35 evolved,0.12678104761796544,amphotericin
40_B2,40 evolved,1.7635924998845744,amphotericin
40_B6,40 evolved,0.7683094846238986,amphotericin
40_B8,40 evolved,1.4454043663770701,amphotericin
40_C5,40 evolved,1.8008643231407353,amphotericin
40_C7,40 evolved,0.7981752923609776,amphotericin
40_C9,40 evolved,1.0760484522111646,amphotericin
40_D2,40 evolved,0.9647760502748197,amphotericin
40_D4,40 evolved,1.3107980258556344,amphotericin
40_D8,40 evolved,0.9658965622729494,amphotericin
40_E11,40 evolved,1.055844649963931,amphotericin
40_E7,40 evolved,1.0553200332349606,amphotericin
40_E9,40 evolved,1.4481313884976355,amphotericin
40_F2,40 evolved,1.1404515849151806,amphotericin
40_F4,40 evolved,2.008500304661,amphotericin
40_F6,40 evolved,0.8002995613389532,amphotericin
40_G11,40 evolved,1.0653945003032175,amphotericin
40_G5,40 evolved,1.3457795299988387,amphotericin
40_G9,40 evolved,1.2363281150735057,amphotericin
fRS585,fRS585,0.8480176128627259,amphotericin
35_B2,35 evolved,0.017053460346005463,caspofungin
35_B6,35 evolved,0.011148120854660147,caspofungin
35_B8,35 evolved,0.013021153598073102,caspofungin
35_C5,35 evolved,0.013865046490086156,caspofungin
35_C7,35 evolved,0.01409961892882636,caspofungin
35_C9,35 evolved,0.014346775207742036,caspofungin
35_D2,35 evolved,0.012904034112582346,caspofungin
35_D4,35 evolved,0.038022099649277497,caspofungin
35_D8,35 evolved,0.009056846728779069,caspofungin
35_E11,35 evolved,0.012691399454707123,caspofungin
35_E7,35 evolved,0.010501068442842104,caspofungin
35_E9,35 evolved,0.012498126249129562,caspofungin
35_F2,35 evolved,0.01574000271876921,caspofungin
35_F4,35 evolved,0.014584175599493257,caspofungin
35_F6,35 evolved,0.013348404930144745,caspofungin
35_G11,35 evolved,0.01444803318469506,caspofungin
35_G5,35 evolved,0.014796602775181834,caspofungin
35_G9,35 evolved,0.014886264753849666,caspofungin
40_B2,40 evolved,0.025857442002871635,caspofungin
40_B6,40 evolved,0.01750571396252248,caspofungin
40_B8,40 evolved,0.01796663153339284,caspofungin
40_C5,40 evolved,0.01997675736259674,caspofungin
40_C7,40 evolved,0.01797118538459824,caspofungin
40_C9,40 evolved,0.019430042849533948,caspofungin
40_D2,40 evolved,0.023155309666704572,caspofungin
40_D4,40 evolved,0.01989688398440132,caspofungin
40_D8,40 evolved,0.01867403842186514,caspofungin
40_E11,40 evolved,0.015847625106269962,caspofungin
40_E7,40 evolved,0.023689289005509435,caspofungin
40_E9,40 evolved,0.017571133386012454,caspofungin
40_F2,40 evolved,0.0224816425553585,caspofungin
40_F4,40 evolved,0.016370320183173873,caspofungin
40_F6,40 evolved,0.018484481073996466,caspofungin
40_G11,40 evolved,0.022762511650722503,caspofungin
40_G5,40 evolved,0.02138539105397413,caspofungin
40_G9,40 evolved,0.024468155560425205,caspofungin
fRS585,fRS585,0.016379467224978933,caspofungin
35_B2,35 evolved,18.292351072020352,fluconazole
35_B6,35 evolved,15.413932069775283,fluconazole
35_B8,35 evolved,15.459809939470155,fluconazole
35_C5,35 evolved,17.582825631436595,fluconazole
35_C7,35 evolved,17.5331709251673,fluconazole
35_C9,35 evolved,17.48867154071666,fluconazole
35_D2,35 evolved,17.662374796728958,fluconazole
35_D4,35 evolved,1.9514596030851838,fluconazole
35_D8,35 evolved,17.096101794445506,fluconazole
35_E11,35 evolved,16.61677385732276,fluconazole
35_E7,35 evolved,16.09351181456449,fluconazole
35_E9,35 evolved,17.076479775601072,fluconazole
35_F2,35 evolved,23.17859581208573,fluconazole
35_F4,35 evolved,27.346519050421144,fluconazole
35_F6,35 evolved,16.035264146324288,fluconazole
35_G11,35 evolved,14.558202316039795,fluconazole
35_G5,35 evolved,23.63216468379654,fluconazole
35_G9,35 evolved,19.474631134714315,fluconazole
40_B2,40 evolved,19.92971903064873,fluconazole
40_B6,40 evolved,25.92757854729187,fluconazole
40_B8,40 evolved,23.655515385933676,fluconazole
40_C5,40 evolved,24.234809128068186,fluconazole
40_C7,40 evolved,25.84862007619444,fluconazole
40_C9,40 evolved,38.9577529732926,fluconazole
40_D2,40 evolved,27.223494939597252,fluconazole
40_D4,40 evolved,23.575735287529312,fluconazole
40_D8,40 evolved,23.614373215466195,fluconazole
40_E11,40 evolved,33.30641676644333,fluconazole
40_E7,40 evolved,29.19021901274428,fluconazole
40_E9,40 evolved,24.54456722936777,fluconazole
40_F2,40 evolved,31.842968322628703,fluconazole
40_F4,40 evolved,21.18087530049069,fluconazole
40_F6,40 evolved,22.619274855263033,fluconazole
40_G11,40 evolved,52.86278772957722,fluconazole
40_G5,40 evolved,34.20715677387923,fluconazole
40_G9,40 evolved,75.32604015231603,fluconazole
fRS585,fRS585,18.818819145551178,fluconazole
