set,row,population,position,dilution,area_pixels,total_pixels,total_pixels_no_1_0,evolution_history,test_temperature,block
1,1,35_B2,1,1,37483,150988,113505,35 evolved,35,1
1,1,35_B2,2,0.1,37100,NA,NA,35 evolved,35,1
1,1,35_B2,3,0.01,32132,NA,NA,35 evolved,35,1
1,1,35_B2,4,0.001,24634,NA,NA,35 evolved,35,1
1,1,35_B2,5,1e-4,19639,NA,NA,35 evolved,35,1
1,2,35_B6,1,1,34556,116839,82283,35 evolved,35,1
1,2,35_B6,2,0.1,27678,NA,NA,35 evolved,35,1
1,2,35_B6,3,0.01,21716,NA,NA,35 evolved,35,1
1,2,35_B6,4,0.001,15053,NA,NA,35 evolved,35,1
1,2,35_B6,5,1e-4,17836,NA,NA,35 evolved,35,1
1,3,35_B8,1,1,32816,121028,88212,35 evolved,35,1
1,3,35_B8,2,0.1,27040,NA,NA,35 evolved,35,1
1,3,35_B8,3,0.01,23313,NA,NA,35 evolved,35,1
1,3,35_B8,4,0.001,19519,NA,NA,35 evolved,35,1
1,3,35_B8,5,1e-4,18340,NA,NA,35 evolved,35,1
1,4,35_C5,1,1,36352,122614,86262,35 evolved,35,1
1,4,35_C5,2,0.1,33265,NA,NA,35 evolved,35,1
1,4,35_C5,3,0.01,22664,NA,NA,35 evolved,35,1
1,4,35_C5,4,0.001,17406,NA,NA,35 evolved,35,1
1,4,35_C5,5,1e-4,12927,NA,NA,35 evolved,35,1
2,1,35_C7,1,1,39875,145405,105530,35 evolved,35,1
2,1,35_C7,2,0.1,36530,NA,NA,35 evolved,35,1
2,1,35_C7,3,0.01,29065,NA,NA,35 evolved,35,1
2,1,35_C7,4,0.001,24294,NA,NA,35 evolved,35,1
2,1,35_C7,5,1e-4,15641,NA,NA,35 evolved,35,1
2,2,35_C9,1,1,34711,119017,84306,35 evolved,35,1
2,2,35_C9,2,0.1,28568,NA,NA,35 evolved,35,1
2,2,35_C9,3,0.01,25401,NA,NA,35 evolved,35,1
2,2,35_C9,4,0.001,17149,NA,NA,35 evolved,35,1
2,2,35_C9,5,1e-4,13188,NA,NA,35 evolved,35,1
2,3,35_D2,1,1,31286,122355,91069,35 evolved,35,1
2,3,35_D2,2,0.1,26059,NA,NA,35 evolved,35,1
2,3,35_D2,3,0.01,25654,NA,NA,35 evolved,35,1
2,3,35_D2,4,0.001,22359,NA,NA,35 evolved,35,1
2,3,35_D2,5,1e-4,16997,NA,NA,35 evolved,35,1
2,4,35_D4,1,1,40440,153567,113127,35 evolved,35,1
2,4,35_D4,2,0.1,34973,NA,NA,35 evolved,35,1
2,4,35_D4,3,0.01,34738,NA,NA,35 evolved,35,1
2,4,35_D4,4,0.001,24662,NA,NA,35 evolved,35,1
2,4,35_D4,5,1e-4,18754,NA,NA,35 evolved,35,1
3,1,35_D8,1,1,43519,160807,117288,35 evolved,35,1
3,1,35_D8,2,0.1,37505,NA,NA,35 evolved,35,1
