time,well,OD,treatment,test_temperature
0,rep1,0.07289999723,fRS585,18
14400,rep1,0.0719999969,fRS585,18
21600,rep1,0.07490000129,fRS585,18
79200,rep1,0.5149999857,fRS585,18
86400,rep1,0.6693000197,fRS585,18
97200,rep1,0.8411999941,fRS585,18
104400,rep1,0.9261999726,fRS585,18
169200,rep1,1.183599949,fRS585,18
0,rep2,0.07280000299,fRS585,18
14400,rep2,0.07129999995,fRS585,18
21600,rep2,0.07440000027,fRS585,18
79200,rep2,0.4984999895,fRS585,18
86400,rep2,0.6524000168,fRS585,18
97200,rep2,0.8205999732,fRS585,18
104400,rep2,0.9052000046,fRS585,18
169200,rep2,1.165799975,fRS585,18
0,rep3,0.07169999927,fRS585,18
14400,rep3,0.06970000267,fRS585,18
21600,rep3,0.07320000231,fRS585,18
79200,rep3,0.4853999913,fRS585,18
86400,rep3,0.641900003,fRS585,18
97200,rep3,0.8039000034,fRS585,18
104400,rep3,0.8950999975,fRS585,18
169200,rep3,1.149600029,fRS585,18
0,rep4,0.07230000198,fRS585,18
14400,rep4,0.07050000131,fRS585,18
21600,rep4,0.07329999655,fRS585,18
79200,rep4,0.4805000126,fRS585,18
86400,rep4,0.6335999966,fRS585,18
97200,rep4,0.8039000034,fRS585,18
104400,rep4,0.8934999704,fRS585,18
169200,rep4,1.156499982,fRS585,18
0,rep5,0.07129999995,fRS585,18
14400,rep5,0.07050000131,fRS585,18
21600,rep5,0.07460000366,fRS585,18
79200,rep5,0.5278000236,fRS585,18
86400,rep5,0.6861000061,fRS585,18
97200,rep5,0.855700016,fRS585,18
104400,rep5,0.9415000081,fRS585,18
169200,rep5,1.197299957,fRS585,18
0,rep6,0.07029999793,fRS585,18
14400,rep6,0.06830000132,fRS585,18
21600,rep6,0.07190000266,fRS585,18
79200,rep6,0.4546000063,fRS585,18
86400,rep6,0.5993000269,fRS585,18
97200,rep6,0.7681000233,fRS585,18
104400,rep6,0.8531000018,fRS585,18
169200,rep6,1.120399952,fRS585,18
0,rep7,0.07090000063,fRS585,18
14400,rep7,0.06960000098,fRS585,18
21600,rep7,0.07249999791,fRS585,18
79200,rep7,0.4542999864,fRS585,18
86400,rep7,0.6031000018,fRS585,18
97200,rep7,0.7699999809,fRS585,18
104400,rep7,0.8568999767,fRS585,18
169200,rep7,1.117599964,fRS585,18
0,rep8,0.07119999826,fRS585,18
14400,rep8,0.07079999894,fRS585,18
21600,rep8,0.07440000027,fRS585,18
79200,rep8,0.5159000158,fRS585,18
86400,rep8,0.6700999737,fRS585,18
97200,rep8,0.8393999934,fRS585,18
104400,rep8,0.9226999879,fRS585,18
169200,rep8,1.177800059,fRS585,18
0,B8,0.07360000163316727,fRS585,20
7200,B8,0.07249999791383743,fRS585,20
57600,B8,0.24120000004768372,fRS585,20
75600,B8,0.6812000274658203,fRS585,20
82800,B8,0.8450999855995178,fRS585,20
90000,B8,0.9483000040054321,fRS585,20
100800,B8,1.061400055885315,fRS585,20
147600,B8,1.1591999530792236,fRS585,20
0,C2,0.066600002348423,fRS585,20
7200,C2,0.06790000200271606,fRS585,20
57600,C2,0.23260000348091125,fRS585,20
75600,C2,0.6686000227928162,fRS585,20
82800,C2,0.8299000263214111,fRS585,20
90000,C2,0.9337999820709229,fRS585,20
100800,C2,1.0462000370025635,fRS585,20
147600,C2,1.1431000232696533,fRS585,20
0,C11,0.06790000200271606,fRS585,20
7200,C11,0.06880000233650208,fRS585,20
57600,C11,0.2295999974012375,fRS585,20
75600,C11,0.6646999716758728,fRS585,20
82800,C11,0.8281999826431274,fRS585,20
90000,C11,0.9297000169754028,fRS585,20
100800,C11,1.0433000326156616,fRS585,20
147600,C11,1.139799952507019,fRS585,20
0,D6,0.06830000132322311,fRS585,20
7200,D6,0.06930000334978104,fRS585,20
57600,D6,0.20739999413490295,fRS585,20
75600,D6,0.6093999743461609,fRS585,20
82800,D6,0.7717999815940857,fRS585,20
90000,D6,0.8755000233650208,fRS585,20
100800,D6,0.9886000156402588,fRS585,20
147600,D6,1.097000002861023,fRS585,20
0,E9,0.06840000301599503,fRS585,20
7200,E9,0.06909999996423721,fRS585,20
57600,E9,0.23360000550746918,fRS585,20
75600,E9,0.6791999936103821,fRS585,20
82800,E9,0.8406999707221985,fRS585,20
90000,E9,0.9460999965667725,fRS585,20
100800,E9,1.058899998664856,fRS585,20
147600,E9,1.155500054359436,fRS585,20
0,F7,0.06669999659061432,fRS585,20
7200,F7,0.06790000200271606,fRS585,20
57600,F7,0.22910000383853912,fRS585,20
75600,F7,0.6743000149726868,fRS585,20
82800,F7,0.8366000056266785,fRS585,20
90000,F7,0.9419000148773193,fRS585,20
100800,F7,1.0556000471115112,fRS585,20
147600,F7,1.1572999954223633,fRS585,20
0,G3,0.06840000301599503,fRS585,20
7200,G3,0.06880000233650208,fRS585,20
57600,G3,0.23260000348091125,fRS585,20
75600,G3,0.6764000058174133,fRS585,20
82800,G3,0.8307999968528748,fRS585,20
90000,G3,0.9348999857902527,fRS585,20
100800,G3,1.0465999841690063,fRS585,20
147600,G3,1.1448999643325806,fRS585,20
0,G10,0.06849999725818634,fRS585,20
7200,G10,0.06939999759197235,fRS585,20
57600,G10,0.22949999570846558,fRS585,20
75600,G10,0.6711999773979187,fRS585,20
82800,G10,0.8270999789237976,fRS585,20
90000,G10,0.9308000206947327,fRS585,20
100800,G10,1.0427000522613525,fRS585,20
147600,G10,1.1426000595092773,fRS585,20
0,A1,0.037300001829862595,water,30
0,A2,0.037700001150369644,water,30
0,A3,0.037700001150369644,water,30
0,A4,0.037700001150369644,water,30
0,A5,0.03779999911785126,water,30
0,A6,0.03790000081062317,water,30
0,A7,0.03799999877810478,water,30
0,A8,0.037700001150369644,water,30
0,A9,0.037700001150369644,water,30
0,A10,0.03750000149011612,water,30
0,A11,0.03790000081062317,water,30
