population,concentration,OD,sheet_name,set,rep,month,drug
40_F2,512,0.0722000002861023,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,256,0.08030000329017639,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,128,0.08829999715089798,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,64,0.10909999907016754,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,32,0.21040000021457672,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,16,0.920799970626831,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,8,0.9462000131607056,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,4,0.8532000184059143,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,2,0.7099000215530396,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,1,0.8210999965667725,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,0.5,0.7782999873161316,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,0,0.8737000226974487,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,512,0.07069999724626541,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,256,0.08009999990463257,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,128,0.0885000005364418,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,64,0.11680000275373459,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,32,0.2240999937057495,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,16,0.5511000156402588,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,8,0.9067999720573425,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,4,1.082200050354004,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,2,0.9890000224113464,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,1,0.9017999768257141,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,0.5,1.2273000478744507,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F4,0,1.0535000562667847,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,512,0.09730000048875809,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,256,0.1128000020980835,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,128,0.1251000016927719,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,64,0.2985999882221222,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,32,0.37459999322891235,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,16,0.8273000121116638,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,8,0.9905999898910522,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,4,1.006600022315979,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,2,1.0194000005722046,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,1,1.0997999906539917,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,0.5,0.9767000079154968,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F6,0,1.0026999711990356,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,512,0.06599999964237213,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,256,0.0723000019788742,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,128,0.08489999920129776,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,64,0.11010000109672546,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,32,0.6628999710083008,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,16,1.0434999465942383,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,8,1.0618000030517578,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,4,0.9819999933242798,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,2,1.0829999446868896,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,1,1.1492999792099,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,0.5,1.0271999835968018,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G5,0,0.9930999875068665,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,512,0.10869999974966049,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,256,0.1907999962568283,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,128,0.6050000190734863,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,64,0.8167999982833862,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,32,0.5496000051498413,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,16,1.0140999555587769,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,8,0.9391000270843506,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,4,1.1993999481201172,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,2,1.142199993133545,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,1,1.1750999689102173,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,0.5,0.9939000010490417,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G9,0,1.107100009918213,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,512,0.09629999846220016,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,256,0.1979999989271164,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,128,0.390500009059906,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,64,0.7113999724388123,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,32,0.5753999948501587,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,16,0.6625999808311462,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,8,0.9024999737739563,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,4,1.0902999639511108,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,2,1.058899998664856,Plate3_Rep3,Plate3,Rep3,February,fluconazole
