population,evolution_history,ic50
35_B2,35 evolved,0.017053460346005456
35_B6,35 evolved,0.011148120854660142
35_B8,35 evolved,0.0130211535980731
35_C5,35 evolved,0.013865046490086153
35_C7,35 evolved,0.014099618928826359
35_C9,35 evolved,0.014346775207742033
35_D2,35 evolved,0.01290403411258234
35_D4,35 evolved,0.038022099649277497
35_D8,35 evolved,0.009056846728779065
35_E11,35 evolved,0.01269139945470712
35_E7,35 evolved,0.010501068442842099
35_E9,35 evolved,0.012498126249129556
35_F2,35 evolved,0.015740002718769203
35_F4,35 evolved,0.014584175599493253
35_F6,35 evolved,0.013348404930144744
35_G11,35 evolved,0.014448033184695057
35_G5,35 evolved,0.014796602775181833
35_G9,35 evolved,0.01488626475384966
40_B2,40 evolved,0.02585744200287163
40_B6,40 evolved,0.017505713962522478
40_B8,40 evolved,0.01796663153339284
40_C5,40 evolved,0.019976757362596735
40_C7,40 evolved,0.017971185384598236
40_C9,40 evolved,0.019430042849533945
40_D2,40 evolved,0.02315530966670457
40_D4,40 evolved,0.019896883984401318
40_D8,40 evolved,0.01867403842186514
40_E11,40 evolved,0.01584762510626996
40_E7,40 evolved,0.02368928900550943
40_E9,40 evolved,0.01757113338601245
40_F2,40 evolved,0.022481642555358495
40_F4,40 evolved,0.016370320183173866
40_F6,40 evolved,0.01848448107399646
40_G11,40 evolved,0.0227625116507225
40_G5,40 evolved,0.021385391053974127
40_G9,40 evolved,0.024468155560425198
fRS585,fRS585,0.01637946722497893
