population,evolution_history,ic50
35_B2,35 evolved,18.292351072020352
35_B6,35 evolved,15.413932069775283
35_B8,35 evolved,15.459809939470155
35_C5,35 evolved,17.582825631436595
35_C7,35 evolved,17.5331709251673
35_C9,35 evolved,17.48867154071666
35_D2,35 evolved,17.662374796728958
35_D4,35 evolved,1.9514596030851838
35_D8,35 evolved,17.096101794445506
35_E11,35 evolved,16.61677385732276
35_E7,35 evolved,16.09351181456449
35_E9,35 evolved,17.076479775601076
35_F2,35 evolved,23.17859581208573
35_F4,35 evolved,27.346519050421144
35_F6,35 evolved,16.035264146324288
35_G11,35 evolved,14.558202316039795
35_G5,35 evolved,23.63216468379654
35_G9,35 evolved,19.474631134714315
40_B2,40 evolved,19.92971903064873
40_B6,40 evolved,25.92757854729187
40_B8,40 evolved,23.65551538593368
40_C5,40 evolved,24.234809128068186
40_C7,40 evolved,25.84862007619444
40_C9,40 evolved,38.9577529732926
40_D2,40 evolved,27.223494939597252
40_D4,40 evolved,23.575735287529312
40_D8,40 evolved,23.614373215466195
40_E11,40 evolved,33.30641676644333
40_E7,40 evolved,29.19021901274428
40_E9,40 evolved,24.54456722936777
40_F2,40 evolved,31.842968322628703
40_F4,40 evolved,21.18087530049069
40_F6,40 evolved,22.619274855263033
40_G11,40 evolved,52.86278772957722
40_G5,40 evolved,34.20715677387923
40_G9,40 evolved,75.32604015231603
fRS585,fRS585,18.818819145551178
