population,sheet_name,concentration,OD
40_F2,Plate3_Rep3,512,0.0722000002861023
40_F4,Plate3_Rep3,512,0.07069999724626541
40_F6,Plate3_Rep3,512,0.09730000048875809
40_G5,Plate3_Rep3,512,0.06599999964237213
40_G9,Plate3_Rep3,512,0.10869999974966049
40_G11,Plate3_Rep3,512,0.09629999846220016
fRS585,Plate3_Rep3,512,0.1120000034570694
Blank,Plate3_Rep3,512,0.056699998676776886
40_F2,Plate3_Rep2,512,0.07609999924898148
40_F4,Plate3_Rep2,512,0.06949999928474426
40_F6,Plate3_Rep2,512,0.10130000114440918
40_G5,Plate3_Rep2,512,0.06840000301599503
40_G9,Plate3_Rep2,512,0.10530000180006027
40_G11,Plate3_Rep2,512,0.10639999806880951
fRS585,Plate3_Rep2,512,0.0957999974489212
Blank,Plate3_Rep2,512,0.057999998331069946
40_F2,Plate3_Rep1,512,0.06750000268220901
40_F4,Plate3_Rep1,512,0.0729999989271164
40_F6,Plate3_Rep1,512,0.10130000114440918
40_G5,Plate3_Rep1,512,0.0681999996304512
40_G9,Plate3_Rep1,512,0.10540000349283218
40_G11,Plate3_Rep1,512,0.0949999988079071
fRS585,Plate3_Rep1,512,0.09229999780654907
Blank,Plate3_Rep1,512,0.05820000171661377
40_D2,Plate2_Rep3,512,0.06419999897480011
40_D4,Plate2_Rep3,512,0.07620000094175339
40_D8,Plate2_Rep3,512,0.07699999958276749
40_E7,Plate2_Rep3,512,0.10700000077486038
40_E9,Plate2_Rep3,512,0.06809999793767929
40_E11,Plate2_Rep3,512,0.08550000190734863
fRS585,Plate2_Rep3,512,0.09809999912977219
Blank,Plate2_Rep3,512,0.058800000697374344
40_D2,Plate2_Rep2,512,0.06759999692440033
40_D4,Plate2_Rep2,512,0.08380000293254852
40_D8,Plate2_Rep2,512,0.07450000196695328
40_E7,Plate2_Rep2,512,0.09229999780654907
40_E9,Plate2_Rep2,512,0.06719999760389328
40_E11,Plate2_Rep2,512,0.08829999715089798
fRS585,Plate2_Rep2,512,0.10350000113248825
Blank,Plate2_Rep2,512,0.057500001043081284
40_D2,Plate2_Rep1,512,0.06889999657869339
40_D4,Plate2_Rep1,512,0.08129999786615372
40_D8,Plate2_Rep1,512,0.07460000365972519
40_E7,Plate2_Rep1,512,0.10750000178813934
40_E9,Plate2_Rep1,512,0.06939999759197235
40_E11,Plate2_Rep1,512,0.09640000015497208
fRS585,Plate2_Rep1,512,0.11349999904632568
Blank,Plate2_Rep1,512,0.0575999990105629
40_B2,Plate1_Rep3,512,0.08030000329017639
40_B6,Plate1_Rep3,512,0.06340000033378601
40_B8,Plate1_Rep3,512,0.08619999885559082
40_C5,Plate1_Rep3,512,0.06930000334978104
40_C7,Plate1_Rep3,512,0.07090000063180923
40_C9,Plate1_Rep3,512,0.1193000003695488
fRS585,Plate1_Rep3,512,0.12530000507831573
Blank,Plate1_Rep3,512,0.057500001043081284
40_B2,Plate1_Rep2,512,0.0763000026345253
40_B6,Plate1_Rep2,512,0.06960000097751617
40_B8,Plate1_Rep2,512,0.09849999845027924
40_C5,Plate1_Rep2,512,0.06710000336170197
40_C7,Plate1_Rep2,512,0.0706000030040741
40_C9,Plate1_Rep2,512,0.10999999940395355
fRS585,Plate1_Rep2,512,0.10329999774694443
Blank,Plate1_Rep2,512,0.06040000170469284
40_B2,Plate1_Rep1,512,0.08219999819993973
40_B6,Plate1_Rep1,512,0.07259999960660934
40_B8,Plate1_Rep1,512,0.08420000225305557
40_C5,Plate1_Rep1,512,0.0689999982714653
40_C7,Plate1_Rep1,512,0.06729999929666519
40_C9,Plate1_Rep1,512,0.10689999908208847
fRS585,Plate1_Rep1,512,0.11169999837875366
Blank,Plate1_Rep1,512,0.05739999935030937
40_F2,Plate3_Rep3,256,0.08030000329017639
40_F4,Plate3_Rep3,256,0.08009999990463257
40_F6,Plate3_Rep3,256,0.1128000020980835
40_G5,Plate3_Rep3,256,0.0723000019788742
40_G9,Plate3_Rep3,256,0.1907999962568283
40_G11,Plate3_Rep3,256,0.1979999989271164
fRS585,Plate3_Rep3,256,0.1143999993801117
Blank,Plate3_Rep3,256,0.056299999356269836
40_F2,Plate3_Rep2,256,0.07500000298023224
40_F4,Plate3_Rep2,256,0.08150000125169754
40_F6,Plate3_Rep2,256,0.11540000140666962
40_G5,Plate3_Rep2,256,0.07419999688863754
40_G9,Plate3_Rep2,256,0.20229999721050262
40_G11,Plate3_Rep2,256,0.27410000562667847
fRS585,Plate3_Rep2,256,0.1160999983549118
Blank,Plate3_Rep2,256,0.05700000002980232
40_F2,Plate3_Rep1,256,0.07410000264644623
40_F4,Plate3_Rep1,256,0.08380000293254852
40_F6,Plate3_Rep1,256,0.11869999766349792
40_G5,Plate3_Rep1,256,0.06710000336170197
40_G9,Plate3_Rep1,256,0.21389999985694885
40_G11,Plate3_Rep1,256,0.37059998512268066
fRS585,Plate3_Rep1,256,0.10949999839067459
Blank,Plate3_Rep1,256,0.05649999901652336
40_D2,Plate2_Rep3,256,0.07249999791383743
40_D4,Plate2_Rep3,256,0.08950000256299973
40_D8,Plate2_Rep3,256,0.08479999750852585
40_E7,Plate2_Rep3,256,0.13680000603199005
40_E9,Plate2_Rep3,256,0.07039999961853027
40_E11,Plate2_Rep3,256,0.09560000151395798
