well,block,test_temperature,strain,evolution_history,mu_max,doub_time,lag,auc_gc,n_obs
b10,3,25,40_F6,40 evolved,11.457334885661654,0.0604981164884504,0.08216219841248404,0.6520416666666667,97
b10,3,35,40_F6,40 evolved,17.365936340084517,0.03991418412377826,0.048464168909042676,0.8932916666666663,97
b10,3,38,40_F6,40 evolved,20.81519813668195,0.03330005201047952,0.03124036063256961,0.8607812500000002,97
b10,3,41,40_F6,40 evolved,11.479840035386408,0.06037951560503728,0.05785518092025299,0.7460458333333331,97
b10,3,42,40_F6,40 evolved,7.739153403384064,0.08956369572114387,0.05910778103479819,0.18974791666666666,97
b11,1,25,35_G11,35 evolved,11.1619714849479,0.062098992234003246,0.07860344860436819,0.67871875,97
b11,1,35,35_G11,35 evolved,16.90992040722623,0.040990564347289184,0.05718113266788552,0.8390385416666666,97
b11,1,38,35_G11,35 evolved,20.15329497054723,0.03439373966256814,0.028565711781703376,0.8863927083333334,97
b11,1,41,35_G11,35 evolved,11.200310523608255,0.06188642530034455,0.052114411720080994,0.7152989583333335,97
b11,1,42,35_G11,35 evolved,9.023233254386621,0.07681804969665099,0.037776744487944866,0.13678437499999993,97
b11,2,25,35_D8,35 evolved,10.724307656041779,0.0646332800951906,0.10062439299201525,0.6522770833333333,97
b11,2,35,35_D8,35 evolved,17.09517589136862,0.040546361439306185,0.06608733198917477,0.8760354166666666,97
b11,2,38,35_D8,35 evolved,18.852898587785443,0.036766080151145915,0.035477141661925164,0.9046218749999999,97
b11,2,41,35_D8,35 evolved,11.42041454201415,0.06069369706414344,0.05099557134483074,0.7157656249999998,97
b11,2,42,35_D8,35 evolved,7.632823738145005,0.09081136999089147,0.03972354592914312,0.09256666666666669,97
b11,3,25,40_G5,40 evolved,10.98132598676459,0.06312053584379258,0.06931422014309613,0.5942875,97
b11,3,35,40_G5,40 evolved,15.673813733968352,0.044223262591015354,0.05557789209184674,0.8553093749999999,97
b11,3,38,40_G5,40 evolved,16.874835280132583,0.04107578942569087,0.04305388420512832,0.8902218750000002,97
b11,3,41,40_G5,40 evolved,10.058511797768482,0.06891150445473679,0.04003899095708113,0.6992968749999998,97
b11,3,42,40_G5,40 evolved,6.838626623077133,0.10135765830830729,0.051553504588023324,0.17806875,97
b2,2,25,35_E9,35 evolved,10.841314427543878,0.06393571417861545,0.09726777419625712,0.6655479166666667,97
b2,2,35,35_E9,35 evolved,19.2759795495254,0.03595911578859356,0.08369818670320184,0.8997927083333334,97
b2,2,38,35_E9,35 evolved,18.213713895915802,0.038056334063497885,0.04577309317451361,0.8884072916666667,97
b2,2,41,35_E9,35 evolved,10.25775587275362,0.067572984691619,0.04732813778382591,0.5022031249999999,97
b2,2,42,35_E9,35 evolved,6.866666273987315,0.10094376993181739,0.04203372831994531,0.06968020833333333,97
b2,3,25,40_B6,40 evolved,11.527901493776431,0.060127784830062495,0.08370604230404058,0.5405281250000001,97
b2,3,35,40_B6,40 evolved,15.844508238741733,0.04374684086850464,0.044920123583393506,0.80286875,97
b2,3,38,40_B6,40 evolved,20.08595380152599,0.03450904982701319,0.024085067096960913,0.8717625,97
b2,3,41,40_B6,40 evolved,14.573676884891297,0.04756158559262002,0.15693038768587725,0.9191572916666669,97
b2,3,42,40_B6,40 evolved,6.12113155936767,0.11323840597726825,0.048704451788031525,0.07228749999999998,97
b3,1,25,fRS585,fRS585,11.593660883733142,0.05978673928029823,0.07517338451896427,0.6752479166666668,97
b3,1,35,fRS585,fRS585,17.661611781058774,0.03924597534769234,0.05016353861707812,0.8900614583333335,97
b3,1,38,fRS585,fRS585,17.763016323418913,0.03902193005621991,0.03053769215414391,0.9227645833333329,97
b3,1,41,fRS585,fRS585,10.185243545985173,0.06805406050728856,0.04845283036703402,0.44682604166666656,97
b3,1,42,fRS585,fRS585,6.957536909394304,0.09962536880315134,0.025013044297340595,0.06970729166666668,97
b3,2,25,40_E9,40 evolved,10.7206364710021,0.06465541317764262,0.10314311881734611,0.6383624999999997,97
b3,2,35,40_E9,40 evolved,15.091526553531695,0.045929560412676484,0.06989192269586661,0.8792364583333331,97
b3,2,38,40_E9,40 evolved,17.052298750760734,0.040648313209327436,0.03550261719678859,0.8436812499999997,97
b3,2,41,40_E9,40 evolved,11.019191955183352,0.06290363062727967,0.03914173425783103,0.7613260416666667,97
b3,2,42,40_E9,40 evolved,7.417075497903071,0.09345289538388943,0.04352002046164641,0.13648541666666664,97
b3,3,25,fRS585,fRS585,11.653969797864594,0.05947734485179064,0.0692865251306361,0.6756656250000003,97
b3,3,35,fRS585,fRS585,17.366708806725732,0.039912408751363704,0.0496274376800816,0.8715979166666666,97
b3,3,38,fRS585,fRS585,19.252340068449094,0.036003269114068946,0.03099493470890667,0.883965625,97
b3,3,41,fRS585,fRS585,10.023981263783092,0.0691488902781876,0.03666346743920801,0.5538635416666666,97
b3,3,42,fRS585,fRS585,6.188082259008916,0.11201324603447657,0.029237481129296895,0.06612187499999998,97
b4,2,25,40_G11,40 evolved,10.781198862269342,0.06429221735123845,0.10193115848353335,0.6837395833333333,97
b4,2,35,40_G11,40 evolved,17.363473007128626,0.03991984669630158,0.06795757647968564,0.930959375,97
b4,2,38,40_G11,40 evolved,17.33698865153978,0.03998082911004176,0.03785970942427344,0.9688541666666666,97
b4,2,41,40_G11,40 evolved,11.277775520193277,0.061461338658394066,0.04542498082379931,0.8298135416666665,97
b4,2,42,40_G11,40 evolved,8.1199891162837,0.0853630676880981,0.05509204223421946,0.3480385416666666,97
b4,3,25,35_E11,35 evolved,11.316927378696713,0.061248708007506,0.0788928696743263,0.6657916666666668,97
b4,3,35,35_E11,35 evolved,17.93835616828377,0.03864050719348947,0.05284373727179957,0.8387489583333331,97
b4,3,38,35_E11,35 evolved,17.732516251890964,0.0390890480918651,0.036422185560037235,0.8821031249999998,97
b4,3,41,35_E11,35 evolved,9.621724021300418,0.07203981105937639,0.03882676655743067,0.45265312499999993,97
b4,3,42,35_E11,35 evolved,5.388820939077059,0.12862687188835417,0.03527655712706845,0.06902083333333334,97
b5,1,25,40_D2,40 evolved,10.92846618441455,0.06342584301065649,0.07684711682837586,0.6203572916666666,97
b5,1,35,40_D2,40 evolved,16.37248120973673,0.04233611092176609,0.05838857612519735,0.7981708333333333,97
