trait,comparison,mean_x,ref,diff,ci_lo,ci_hi,p_welch,p_wilcox,p_welch_holm,p_wilcox_holm
topt,35 evolved vs 40 evolved,38.79557905554397,39.5118617947751,-0.7162827392311328,-1.0863151096731527,-0.3462503687891131,4.433780233023764e-4,4.721731625164237e-4,0.001330134069907129,0.0014165194875492711
topt,35 evolved vs ancestor,38.79557905554397,39.444534739350225,-0.6489556838062569,38.47589796002141,39.11526015106652,5.031131899613999e-4,4.939269806847954e-4,0.001330134069907129,0.0014165194875492711
topt,40 evolved vs ancestor,39.5118617947751,39.444534739350225,0.06732705542487594,39.3029776733089,39.7207459162413,0.5056408277226425,0.5420572558322712,0.5056408277226425,0.5420572558322712
tmax,35 evolved vs 40 evolved,42.24663025243826,42.72936215153176,-0.4827318990935012,-0.8063494877479834,-0.15911431043901889,0.005471050367915753,0.006205152371588811,0.010942100735831507,0.012410304743177622
tmax,35 evolved vs ancestor,42.24663025243826,42.178463647947495,0.06816660449076295,42.14931409175299,42.343946413123525,0.15773502806828152,0.3165087113799088,0.15773502806828152,0.3165087113799088
tmax,40 evolved vs ancestor,42.72936215153176,42.178463647947495,0.5508985035842642,42.41656306195282,43.0421612411107,0.0017179293520459451,3.5544554613709e-4,0.005153788056137835,0.00106633663841127
th_c,35 evolved vs 40 evolved,40.83888699837547,41.421779074537284,-0.5828920761618122,-0.7373449244188798,-0.42843922790474454,2.0503533108259112e-8,3.2278370106587366e-7,6.151059932477734e-8,9.68351103197621e-7
th_c,35 evolved vs ancestor,40.83888699837547,41.12066812051984,-0.28178112214436624,40.7026936469526,40.97508034979834,4.2156569345426167e-4,2.539632194415226e-4,4.2156569345426167e-4,4.2818405169203625e-4
th_c,40 evolved vs ancestor,41.421779074537284,41.12066812051984,0.3011109540174459,41.33960193654346,41.50395621253111,5.799181813411557e-7,2.1409202584601812e-4,1.1598363626823114e-6,4.2818405169203625e-4
eh,35 evolved vs 40 evolved,19.623837058378072,22.205181003214467,-2.5813439448363944,-6.484292284330142,1.321604394657353,0.18689739628491903,0.1591554431461849,0.37379479256983805,0.3183108862923698
eh,35 evolved vs ancestor,19.623837058378072,24.368346905537038,-4.744509847158966,17.347582942415496,21.90009117434065,3.9320964045799886e-4,0.0017148797525814014,0.0011796289213739965,0.005144639257744204
eh,40 evolved vs ancestor,22.205181003214467,24.368346905537038,-2.1631659023225716,18.876803719209892,25.53355828721904,0.18814222885239087,0.3380083906453321,0.37379479256983805,0.3380083906453321
