strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_B2,35 evolved,2.9364578011333524,1.1198379538415117,1.9712777812503852,305.55919652856727,33.531668051689266,50,NA,11.529152915291526,0.5944637866394595,15
35_B6,35 evolved,2.5685020405603725,1.3287271769047695,1.9085086245781768,303,33.327320869829954,50,NA,12.948294829482947,0.5538651754553965,15
35_B8,35 evolved,2.3919738953186918,1.3717962050499988,1.9959478406795583,303,33.003895228878505,50,NA,12.238723872387244,0.47109214276534617,15
35_C5,35 evolved,2.3304483630460586,1.3369767848255771,2.0029046963385038,303.6951259576679,33.33628613960305,50,NA,11.996699669966997,0.606840977272012,15
35_C7,35 evolved,4.61931691660057,0.7347087978884851,1.95836139639609,309.78660420601375,34.497315871849764,50,NA,11.936193619361934,0.6337868200918942,15
35_C9,35 evolved,2.101599292175573,1.4494207118378102,2.075592390752207,303,33.08325733127958,50,NA,11.90869086908691,0.6861870738299876,15
35_D2,35 evolved,2.8098952500909578,1.2629618082868947,1.7833833312412997,303,33.83477197040738,50,NA,14.097909790979099,0.41455874298243833,15
35_D4,35 evolved,2.290096484227146,1.3868877509906659,2.0193064503310736,303.1023668212962,33.0626490659113,50,NA,12.095709570957098,0.4908566718395928,15
35_D8,35 evolved,3.6292442062189516,0.9098599086769816,2.0038726246267,308.04358570816953,34.14328854368017,50,NA,11.298129812981298,0.6976942380004217,15
35_E11,35 evolved,2.3950677523011805,1.3620924400513748,1.9375210145264126,303,33.40976490467444,50,NA,12.860286028602864,0.5413509359961322,15
35_E7,35 evolved,2.554679881242362,1.3210338031148454,1.8599414567762185,303,33.71252448146416,50,NA,13.53135313531353,0.5625116452092552,15
35_E9,35 evolved,3.161769582376721,1.0403719827090976,2.0660254339376687,306.6963674032697,33.60227855390715,50,NA,10.880088008800882,0.579688827358994,15
35_F2,35 evolved,2.2136869697684234,1.381969443824155,2.0732465522397128,303.597484334857,33.124750634803775,50,NA,11.56765676567657,0.6157756800897087,15
35_F4,35 evolved,2.3055884802209587,1.3913409284655185,2.0251092910065807,303,32.953455358181635,50,NA,12.057205720572057,0.4740846980698764,15
35_F6,35 evolved,4.654371504534714,0.7064288813863877,2.155540581568925,310.59312609836957,34.69675105517958,50,NA,11.226622662266227,0.6862812615085551,15
35_G11,35 evolved,3.021636074921313,1.1653152442698091,1.8711734011230958,304.4385962333131,33.44359782443612,50,NA,12.44774477447745,0.5618279466796363,15
35_G5,35 evolved,2.886667290924056,1.2527181165012438,1.790996150998197,303,33.6278538895917,50,NA,13.877887788778878,0.3781792924465356,15
