rep.id,well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
b11_1_25_35_G11_35 evolved,b11,1,25,35,G11,5.338107434607027,gr.sat,0.11539086907190027,0.9797952828446519,71
b3_1_25_fRS585_fRS585,b3,1,25,fRS585,fRS585,5.356671066000762,gr.sat,0.11644709332726816,0.9788291704410192,71
b5_1_25_40_D2_40 evolved,b5,1,25,40,D2,6.489543202020391,gr.lagsat,0.097749228221062,0.9955170703514494,61
b8_1_25_40_G9_40 evolved,b8,1,25,40,G9,6.576588634867152,gr.lagsat,0.10127361892831128,0.9950935815788206,60
c10_1_25_35_B8_35 evolved,c10,1,25,35,B8,6.740989941064789,gr.lagsat,0.11050082202967806,0.9947734283882184,59
c2_1_25_35_G5_35 evolved,c2,1,25,35,G5,6.731110326682042,gr.lagsat,0.1103933709778314,0.9947721314344983,59
c4_1_25_40_C7_40 evolved,c4,1,25,40,C7,6.457072299907261,gr.lagsat,0.09582124470255439,0.9955909905071151,61
c5_1_25_35_G5_35 evolved,c5,1,25,35,G5,6.751122045505217,gr.lagsat,0.11103239113692831,0.9947580854962368,60
c6_1_25_35_F4_35 evolved,c6,1,25,35,F4,6.664486041413056,gr.lagsat,0.10649475229597209,0.9948461807763369,60
c7_1_25_35_D4_35 evolved,c7,1,25,35,D4,6.740363444628263,gr.lagsat,0.11195589818037861,0.9946582650513226,60
c8_1_25_40_F2_40 evolved,c8,1,25,40,F2,5.091075430593704,gr.sat,0.11108539757189594,0.9778101266501791,74
c9_1_25_40_D4_40 evolved,c9,1,25,40,D4,6.62763680046263,gr.lagsat,0.10437258004900922,0.9951941668135852,60
d10_1_25_40_B8_40 evolved,d10,1,25,40,B8,6.437964347378345,gr.lagsat,0.1044061123457066,0.99490234913161,60
d2_1_25_40_B8_40 evolved,d2,1,25,40,B8,6.483635472132457,gr.lagsat,0.10407922262443862,0.994954560203547,60
