well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
b5,1,42,40_D2,40 evolved,2.369139117363926,lagsat,0.04789075351522708,0.9919819152950367,51
b8,1,42,40_G9,40 evolved,5.5109331970711875,lagsat,0.04790730918876642,0.9981661897174342,63
b11,1,42,35_G11,35 evolved,3.833607898233264,lagsat,0.09568354015547083,0.9889566830819119,44
c2,1,42,35_G5,35 evolved,2.077237985706049,lagsat,0.08874295646487099,0.9649081980533497,42
c4,1,42,40_C7,40 evolved,2.865155582508619,lagsat,0.05771986494599917,0.9917527126518288,50
c5,1,42,35_G5,35 evolved,NA,lagsat,NA,NA,NA
c6,1,42,35_F4,35 evolved,3.7269094177078226,lagsat,0.13861888963638014,0.9744138020773065,41
c7,1,42,35_D4,35 evolved,2.7271209755580608,lagsat,0.11529138472770957,0.9692649882380359,42
c8,1,42,40_F2,40 evolved,2.911712445515431,lagsat,0.05836016639104836,0.982924899982245,79
c9,1,42,40_D4,40 evolved,3.9473614860532678,lagsat,0.041255768667163906,0.9956205290618341,79
c10,1,42,35_B8,35 evolved,3.4023124290505256,lagsat,0.11139524138045331,0.980179485222794,43
d2,1,42,40_B8,40 evolved,2.3212397124160176,lagsat,0.0348658926539358,0.9909345009673486,63
d4,1,42,40_F2,40 evolved,3.3937160414290735,lagsat,0.05374973910537225,0.9940620539421091,61
d5,1,42,40_C7,40 evolved,3.03401478897464,lagsat,0.05234169333164876,0.9931102485890725,50
d7,1,42,35_B6,35 evolved,2.746470477788269,lagsat,0.10873208181589444,0.9703845758046202,42
d10,1,42,40_B8,40 evolved,NA,lagsat,NA,NA,NA
e2,1,42,35_B8,35 evolved,2.2706914398045948,lagsat,0.09521263287927575,0.9654487799088182,41
e3,1,42,35_F4,35 evolved,3.6924173589925213,lagsat,0.13493723584036676,0.9751142867867753,41
e5,1,42,40_D4,40 evolved,2.5173146909731168,lagsat,0.03890474237099896,0.9930036675361127,60
e7,1,42,35_F4,35 evolved,3.9848165750296447,lagsat,0.12996742206103723,0.9789925010403713,42
e8,1,42,35_B8,35 evolved,3.435355851259918,lagsat,0.12910146621348878,0.9751580718231844,42
e9,1,42,40_D2,40 evolved,3.6954809710761576,lagsat,0.060775210250462446,0.9901065046569834,75
f2,1,42,35_G5,35 evolved,NA,lagsat,NA,NA,NA
f3,1,42,40_D4,40 evolved,5.168605933781151,lagsat,0.05344857315565769,0.9970620238509287,68
f4,1,42,35_D4,35 evolved,2.736665914856122,lagsat,0.11818626071923248,0.9701486783343489,42
f5,1,42,35_B6,35 evolved,2.324916459591308,lagsat,0.09843281629564726,0.9684937618770634,42
f6,1,42,40_B8,40 evolved,NA,lagsat,NA,NA,NA
f7,1,42,40_C7,40 evolved,3.1190291261751137,lagsat,0.045042992166356224,0.9954331646554017,52
f10,1,42,40_F2,40 evolved,2.9477400776672193,lagsat,0.06671389306093112,0.9834343454067013,66
g2,1,42,35_G11,35 evolved,2.331718072544525,lagsat,0.09704732246866607,0.965813052145925,41
g4,1,42,35_B6,35 evolved,2.6314378814634045,lagsat,0.0935987740448787,0.9731241212444417,42
g6,1,42,40_D2,40 evolved,2.779865713695553,lagsat,0.05522207828505571,0.9917644434750815,49
g7,1,42,40_G9,40 evolved,NA,lagsat,NA,NA,NA
g8,1,42,35_G11,35 evolved,3.1862843329430306,lagsat,0.12345701821812688,0.9726924154924615,42
g9,1,42,35_D4,35 evolved,2.66067093418047,lagsat,0.11326650223393903,0.9722918711969623,43
g10,1,42,40_G9,40 evolved,3.7901638762432412,lagsat,0.06304536378265,0.989308500620766,71
b5,1,41,40_D2,40 evolved,NA,lagsat,NA,NA,NA
b8,1,41,40_G9,40 evolved,8.39851904215066,lagsat,0.15757625237298778,0.9942223529469831,51
b11,1,41,35_G11,35 evolved,6.5332036513784475,lagsat,0.05447149186247184,0.9984265323590279,59
c2,1,41,35_G5,35 evolved,3.9012779039408083,lagsat,0.06322934244939744,0.9891489935544824,79
c4,1,41,40_C7,40 evolved,5.4907781158423266,lagsat,0.038465186302025875,0.9987193751268487,67
c5,1,41,35_G5,35 evolved,2.774894678209987,lagsat,0.06244614836906814,0.9703911856150033,90
c6,1,41,35_F4,35 evolved,3.3793230585289686,lagsat,0.05884110558101368,0.9857636009187198,84
c7,1,41,35_D4,35 evolved,4.0129041775727465,lagsat,0.05463083724796316,0.9924366174575776,78
c8,1,41,40_F2,40 evolved,6.987430128671708,lagsat,0.07410953911593368,0.9977287344476554,58
c9,1,41,40_D4,40 evolved,7.073873265390739,lagsat,0.07067184402004836,0.9979971182253894,57
c10,1,41,35_B8,35 evolved,5.3893467518945934,lagsat,0.05792202853676132,0.9970038826587776,66
d2,1,41,40_B8,40 evolved,6.272108117691455,lagsat,0.11312383436648016,0.9925073538956125,63
d4,1,41,40_F2,40 evolved,6.0450963233004735,lagsat,0.06603676123173317,0.9972087995800443,63
d5,1,41,40_C7,40 evolved,5.3061636061658906,lagsat,0.03527290085681421,0.9988422556811785,69
d7,1,41,35_B6,35 evolved,NA,lagsat,NA,NA,NA
d10,1,41,40_B8,40 evolved,7.075741452789938,lagsat,0.1358405091987789,0.9928756003118254,58
e2,1,41,35_B8,35 evolved,NA,lagsat,NA,NA,NA
e3,1,41,35_F4,35 evolved,2.700593090806997,lagsat,0.0716069572943282,0.9622178461841833,85
e5,1,41,40_D4,40 evolved,NA,lagsat,NA,NA,NA
e7,1,41,35_F4,35 evolved,NA,lagsat,NA,NA,NA
e8,1,41,35_B8,35 evolved,3.203142945018238,lagsat,0.05881333791330538,0.98251846762052,87
e9,1,41,40_D2,40 evolved,5.355729519499795,lagsat,0.03232655582164765,0.9990403529409168,67
f2,1,41,35_G5,35 evolved,3.0614280458994245,lagsat,0.10676229209863398,0.9591578143427556,67
f3,1,41,40_D4,40 evolved,5.572351068360123,lagsat,0.11701465382526118,0.9819516146790083,66
f4,1,41,35_D4,35 evolved,3.1414158626692754,lagsat,0.10491476680462673,0.9629825617128807,66
f5,1,41,35_B6,35 evolved,NA,lagsat,NA,NA,NA
f6,1,41,40_B8,40 evolved,NA,lagsat,NA,NA,NA
f7,1,41,40_C7,40 evolved,5.693573666925698,lagsat,0.11317142076651189,0.9904766443067474,67
f10,1,41,40_F2,40 evolved,7.770153176537084,lagsat,0.09413540960467773,0.9971148131703147,57
g2,1,41,35_G11,35 evolved,3.196029097860707,lagsat,0.1074321062229952,0.9666831952633451,62
