rep.id,well,block,test_temperature,strain,evolution_history,mu,r2
b11_1_42_35_G11_35 evolved,b11,1,42,35_G11,35 evolved,0.6259427169739606,0.9295323965609608
b3_1_42_fRS585_fRS585,b3,1,42,fRS585,fRS585,0.3449562829191397,0.8735323745080266
b5_1_42_40_D2_40 evolved,b5,1,42,40_D2,40 evolved,0.3192679762687826,0.9380144690827452
b8_1_42_40_G9_40 evolved,b8,1,42,40_G9,40 evolved,2.9010736848489938,0.9914825761474152
c10_1_42_35_B8_35 evolved,c10,1,42,35_B8,35 evolved,0.5240982251711136,0.8999236996173964
c2_1_42_35_G5_35 evolved,c2,1,42,35_G5,35 evolved,0.3264404996348992,0.88036273714451
c4_1_42_40_C7_40 evolved,c4,1,42,40_C7,40 evolved,0.45420390020763063,0.9422768736649016
c5_1_42_35_G5_35 evolved,c5,1,42,35_G5,35 evolved,0.3669975238016275,0.8760587770833574
c6_1_42_35_F4_35 evolved,c6,1,42,35_F4,35 evolved,0.6231730701319261,0.8919854525027088
c7_1_42_35_D4_35 evolved,c7,1,42,35_D4,35 evolved,0.398137119663472,0.8779071741542975
c8_1_42_40_F2_40 evolved,c8,1,42,40_F2,40 evolved,0.7901217061217382,0.9968941089976453
c9_1_42_40_D4_40 evolved,c9,1,42,40_D4,40 evolved,1.9519144814048806,0.996762807149327
d10_1_42_40_B8_40 evolved,d10,1,42,40_B8,40 evolved,1.6849770387420324,0.9993655615829657
d2_1_42_40_B8_40 evolved,d2,1,42,40_B8,40 evolved,0.3849260070848236,0.9943966884375081
d4_1_42_40_F2_40 evolved,d4,1,42,40_F2,40 evolved,0.6286455279635373,0.9913398474846418
d5_1_42_40_C7_40 evolved,d5,1,42,40_C7,40 evolved,0.48741868352399753,0.9477550597624563
d7_1_42_35_B6_35 evolved,d7,1,42,35_B6,35 evolved,0.4203860375853006,0.8834910836225289
e10_1_42_fRS585_fRS585,e10,1,42,fRS585,fRS585,0.5188276030207325,0.8845359087781097
e2_1_42_35_B8_35 evolved,e2,1,42,35_B8,35 evolved,0.35157654198997873,0.8806708918267492
e3_1_42_35_F4_35 evolved,e3,1,42,35_F4,35 evolved,0.5884937873871768,0.8943607396527002
e5_1_42_40_D4_40 evolved,e5,1,42,40_D4,40 evolved,0.432952934739001,0.9918901777692108
e7_1_42_35_F4_35 evolved,e7,1,42,35_F4,35 evolved,0.704358432107237,0.9050556395283533
e8_1_42_35_B8_35 evolved,e8,1,42,35_B8,35 evolved,1.0270855460139576,0.7641973336740033
e9_1_42_40_D2_40 evolved,e9,1,42,40_D2,40 evolved,1.3057200213921907,0.9992215005447581
f10_1_42_40_F2_40 evolved,f10,1,42,40_F2,40 evolved,0.5787263628114979,0.9953456633684521
f11_1_42_fRS585_fRS585,f11,1,42,fRS585,fRS585,0.41130051367031556,0.8794060192675799
f2_1_42_35_G5_35 evolved,f2,1,42,35_G5,35 evolved,0.35388218540641286,0.8807647002642781
f3_1_42_40_D4_40 evolved,f3,1,42,40_D4,40 evolved,2.8297912697330827,0.9940282250666844
f4_1_42_35_D4_35 evolved,f4,1,42,35_D4,35 evolved,0.3982287023431915,0.8776765843116331
f5_1_42_35_B6_35 evolved,f5,1,42,35_B6,35 evolved,0.34863588655986977,0.8806411276721926
f6_1_42_40_B8_40 evolved,f6,1,42,40_B8,40 evolved,1.5271141799689605,0.7057724876071885
f7_1_42_40_C7_40 evolved,f7,1,42,40_C7,40 evolved,0.50321665426018,0.9586528385247381
g10_1_42_40_G9_40 evolved,g10,1,42,40_G9,40 evolved,1.4005932775082928,0.9988776578755196
g2_1_42_35_G11_35 evolved,g2,1,42,35_G11,35 evolved,0.3628247656796638,0.8783046293970167
g4_1_42_35_B6_35 evolved,g4,1,42,35_B6,35 evolved,0.4126353571856301,0.8952581161655753
g6_1_42_40_D2_40 evolved,g6,1,42,40_D2,40 evolved,0.4309140660603762,0.9402747076624078
g7_1_42_40_G9_40 evolved,g7,1,42,40_G9,40 evolved,0.8355245960174301,0.9981201902617773
g8_1_42_35_G11_35 evolved,g8,1,42,35_G11,35 evolved,0.502466552473527,0.8875428682946288
g9_1_42_35_D4_35 evolved,g9,1,42,35_D4,35 evolved,0.35330519508359887,0.8786645755419461
b11_1_41_35_G11_35 evolved,b11,1,41,35_G11,35 evolved,4.222116277923698,0.9926893205018299
b3_1_41_fRS585_fRS585,b3,1,41,fRS585,fRS585,1.6107345243125473,0.9982696345650061
b5_1_41_40_D2_40 evolved,b5,1,41,40_D2,40 evolved,3.3507831882194083,0.9887365559244875
b8_1_41_40_G9_40 evolved,b8,1,41,40_G9,40 evolved,7.208630063234901,0.9418499689800808
c10_1_41_35_B8_35 evolved,c10,1,41,35_B8,35 evolved,5.6945659307372045,0.9403284648511534
c2_1_41_35_G5_35 evolved,c2,1,41,35_G5,35 evolved,1.8843145375039831,0.9974895599782301
c4_1_41_40_C7_40 evolved,c4,1,41,40_C7,40 evolved,3.428172135432731,0.9909930168173936
c5_1_41_35_G5_35 evolved,c5,1,41,35_G5,35 evolved,1.4127512653577425,0.9896972925895059
c6_1_41_35_F4_35 evolved,c6,1,41,35_F4,35 evolved,4.231745379700143,0.7910627201405289
c7_1_41_35_D4_35 evolved,c7,1,41,35_D4,35 evolved,1.9705533218104188,0.9962908780591889
c8_1_41_40_F2_40 evolved,c8,1,41,40_F2,40 evolved,7.15927130857316,0.9846704929063422
c9_1_41_40_D4_40 evolved,c9,1,41,40_D4,40 evolved,6.853111459079464,0.9852916255092122
d10_1_41_40_B8_40 evolved,d10,1,41,40_B8,40 evolved,7.324880109129765,0.940115197259254
d2_1_41_40_B8_40 evolved,d2,1,41,40_B8,40 evolved,7.450988310277645,0.925203104557651
d4_1_41_40_F2_40 evolved,d4,1,41,40_F2,40 evolved,6.976454717867765,0.9647396513046301
d5_1_41_40_C7_40 evolved,d5,1,41,40_C7,40 evolved,3.3114875596692332,0.9909359011639268
d7_1_41_35_B6_35 evolved,d7,1,41,35_B6,35 evolved,1.5246298642979248,0.9907649461993601
e10_1_41_fRS585_fRS585,e10,1,41,fRS585,fRS585,2.0691663717076234,0.9919148051330806
e2_1_41_35_B8_35 evolved,e2,1,41,35_B8,35 evolved,0.9778373877757001,0.9838747882207413
e3_1_41_35_F4_35 evolved,e3,1,41,35_F4,35 evolved,1.0037342081076992,0.9840611373279727
e5_1_41_40_D4_40 evolved,e5,1,41,40_D4,40 evolved,3.794982290517937,0.9900667148403713
e7_1_41_35_F4_35 evolved,e7,1,41,35_F4,35 evolved,1.733315030042778,0.9929352435816095
e8_1_41_35_B8_35 evolved,e8,1,41,35_B8,35 evolved,4.060548138450029,0.7567014361768826
e9_1_41_40_D2_40 evolved,e9,1,41,40_D2,40 evolved,3.478424573648019,0.9887355278630182
f10_1_41_40_F2_40 evolved,f10,1,41,40_F2,40 evolved,9.81568746675514,0.989236972670701
f11_1_41_fRS585_fRS585,f11,1,41,fRS585,fRS585,2.677883204116452,0.9920030997879089
f2_1_41_35_G5_35 evolved,f2,1,41,35_G5,35 evolved,2.065943399799269,0.733609115465097
f3_1_41_40_D4_40 evolved,f3,1,41,40_D4,40 evolved,6.62305523207241,0.9415495833810404
f4_1_41_35_D4_35 evolved,f4,1,41,35_D4,35 evolved,0.5840021898017566,0.9765149944570681
f5_1_41_35_B6_35 evolved,f5,1,41,35_B6,35 evolved,1.5807814087821626,0.7569464594845124
f6_1_41_40_B8_40 evolved,f6,1,41,40_B8,40 evolved,6.669583210670905,0.9690571595713383
f7_1_41_40_C7_40 evolved,f7,1,41,40_C7,40 evolved,6.906311228982025,0.9054171063843957
g10_1_41_40_G9_40 evolved,g10,1,41,40_G9,40 evolved,5.013412784746083,0.9937242107476773
g2_1_41_35_G11_35 evolved,g2,1,41,35_G11,35 evolved,0.5143398840328435,0.9748274098272539
g4_1_41_35_B6_35 evolved,g4,1,41,35_B6,35 evolved,0.48960193114032796,0.9818296415223654
g6_1_41_40_D2_40 evolved,g6,1,41,40_D2,40 evolved,2.8195701407579192,0.9869287924123505
g7_1_41_40_G9_40 evolved,g7,1,41,40_G9,40 evolved,4.6055210854716595,0.9938036574957103
g8_1_41_35_G11_35 evolved,g8,1,41,35_G11,35 evolved,1.5974010050659606,0.9904108451869922
g9_1_41_35_D4_35 evolved,g9,1,41,35_D4,35 evolved,4.326436918536423,0.8004236557388704
b11_1_35_35_G11_35 evolved,b11,1,35,35_G11,35 evolved,5.390813317424653,0.9975746678556933
b3_1_35_fRS585_fRS585,b3,1,35,fRS585,fRS585,6.727575975276113,0.9963477201900879
b5_1_35_40_D2_40 evolved,b5,1,35,40_D2,40 evolved,5.485638656148566,0.9968414337186658
b8_1_35_40_G9_40 evolved,b8,1,35,40_G9,40 evolved,6.687078968260314,0.9979690558021811
c10_1_35_35_B8_35 evolved,c10,1,35,35_B8,35 evolved,6.693914619171046,0.9954612885161984
c2_1_35_35_G5_35 evolved,c2,1,35,35_G5,35 evolved,5.700363907631396,0.9977801201252019
c4_1_35_40_C7_40 evolved,c4,1,35,40_C7,40 evolved,5.514237149512589,0.9972353658595416
c5_1_35_35_G5_35 evolved,c5,1,35,35_G5,35 evolved,6.841155933479958,0.9954252588189348
c6_1_35_35_F4_35 evolved,c6,1,35,35_F4,35 evolved,5.693859061824412,0.9975325918999637
c7_1_35_35_D4_35 evolved,c7,1,35,35_D4,35 evolved,5.8066688969139015,0.997645405623456
c8_1_35_40_F2_40 evolved,c8,1,35,40_F2,40 evolved,5.2545617659381705,0.9975056383726523
c9_1_35_40_D4_40 evolved,c9,1,35,40_D4,40 evolved,6.70553175464891,0.9951464054778262
d10_1_35_40_B8_40 evolved,d10,1,35,40_B8,40 evolved,6.8582388416852,0.9845257207539088
d2_1_35_40_B8_40 evolved,d2,1,35,40_B8,40 evolved,5.418800064870159,0.9978668774867199
d4_1_35_40_F2_40 evolved,d4,1,35,40_F2,40 evolved,5.452153232579624,0.9968513608801794
d5_1_35_40_C7_40 evolved,d5,1,35,40_C7,40 evolved,5.531250153346753,0.9974067672982646
d7_1_35_35_B6_35 evolved,d7,1,35,35_B6,35 evolved,5.620460832111423,0.9975881208141594
e10_1_35_fRS585_fRS585,e10,1,35,fRS585,fRS585,5.74159321759605,0.9977544677909017
e2_1_35_35_B8_35 evolved,e2,1,35,35_B8,35 evolved,5.679783221626316,0.9977490787390804
e3_1_35_35_F4_35 evolved,e3,1,35,35_F4,35 evolved,5.670330496590984,0.9977239875457121
e5_1_35_40_D4_40 evolved,e5,1,35,40_D4,40 evolved,5.55698051604569,0.9973848923402956
e7_1_35_35_F4_35 evolved,e7,1,35,35_F4,35 evolved,5.758829095852935,0.9976987460598499
e8_1_35_35_B8_35 evolved,e8,1,35,35_B8,35 evolved,5.71950285018026,0.9976311546512545
e9_1_35_40_D2_40 evolved,e9,1,35,40_D2,40 evolved,5.371309319540572,0.9972149406922782
f10_1_35_40_F2_40 evolved,f10,1,35,40_F2,40 evolved,7.483835302696025,0.9080347577840298
f11_1_35_fRS585_fRS585,f11,1,35,fRS585,fRS585,5.657610662924072,0.9977636908085206
f2_1_35_35_G5_35 evolved,f2,1,35,35_G5,35 evolved,6.892415579832116,0.9798426813578083
f3_1_35_40_D4_40 evolved,f3,1,35,40_D4,40 evolved,6.718273441863238,0.9912650233044936
f4_1_35_35_D4_35 evolved,f4,1,35,35_D4,35 evolved,5.671515658883015,0.9977127371404497
f5_1_35_35_B6_35 evolved,f5,1,35,35_B6,35 evolved,7.063791527324048,0.9700739857922505
f6_1_35_40_B8_40 evolved,f6,1,35,40_B8,40 evolved,5.445315464314159,0.9977317166164128
f7_1_35_40_C7_40 evolved,f7,1,35,40_C7,40 evolved,6.858933296995034,0.9682173844443864
g10_1_35_40_G9_40 evolved,g10,1,35,40_G9,40 evolved,7.470420586627102,0.9973072813045226
g2_1_35_35_G11_35 evolved,g2,1,35,35_G11,35 evolved,5.779290273805307,0.9977545070448118
g4_1_35_35_B6_35 evolved,g4,1,35,35_B6,35 evolved,5.639062342475139,0.997681710351107
g6_1_35_40_D2_40 evolved,g6,1,35,40_D2,40 evolved,5.241799735501584,0.9972900480723552
g7_1_35_40_G9_40 evolved,g7,1,35,40_G9,40 evolved,7.1902795960106065,0.9972016353591986
g8_1_35_35_G11_35 evolved,g8,1,35,35_G11,35 evolved,5.688623809031371,0.9977351053727361
g9_1_35_35_D4_35 evolved,g9,1,35,35_D4,35 evolved,5.763398831699905,0.9977384332219498
b11_1_25_35_G11_35 evolved,b11,1,25,35_G11,35 evolved,3.5912389489796146,0.9966380339244403
b3_1_25_fRS585_fRS585,b3,1,25,fRS585,fRS585,3.6260686998783416,0.9965032048363289
b5_1_25_40_D2_40 evolved,b5,1,25,40_D2,40 evolved,3.606175410749979,0.9969924983235395
b8_1_25_40_G9_40 evolved,b8,1,25,40_G9,40 evolved,3.8190655001643052,0.9974319038159895
c10_1_25_35_B8_35 evolved,c10,1,25,35_B8,35 evolved,3.632329329983187,0.9965396974360262
c2_1_25_35_G5_35 evolved,c2,1,25,35_G5,35 evolved,3.6127745445098456,0.9966216798044256
c4_1_25_40_C7_40 evolved,c4,1,25,40_C7,40 evolved,3.689013841883306,0.9971147971055285
c5_1_25_35_G5_35 evolved,c5,1,25,35_G5,35 evolved,3.6836089421204052,0.9967520210835622
c6_1_25_35_F4_35 evolved,c6,1,25,35_F4,35 evolved,3.619365776913588,0.9965760763220001
c7_1_25_35_D4_35 evolved,c7,1,25,35_D4,35 evolved,3.609408535508006,0.9966841533588771
c8_1_25_40_F2_40 evolved,c8,1,25,40_F2,40 evolved,3.5658425211114557,0.9969263409305179
c9_1_25_40_D4_40 evolved,c9,1,25,40_D4,40 evolved,3.596965771422909,0.9968792225593671
d10_1_25_40_B8_40 evolved,d10,1,25,40_B8,40 evolved,3.313950846470271,0.9959408247617294
d2_1_25_40_B8_40 evolved,d2,1,25,40_B8,40 evolved,3.5016006337142223,0.9963783835033118
d4_1_25_40_F2_40 evolved,d4,1,25,40_F2,40 evolved,3.720661314152606,0.9969903312087135
d5_1_25_40_C7_40 evolved,d5,1,25,40_C7,40 evolved,3.68409445199234,0.9971220772943844
d7_1_25_35_B6_35 evolved,d7,1,25,35_B6,35 evolved,3.664479311502151,0.99655602982184
e10_1_25_fRS585_fRS585,e10,1,25,fRS585,fRS585,3.6353410675480795,0.9963908060384836
e2_1_25_35_B8_35 evolved,e2,1,25,35_B8,35 evolved,3.5037140061548766,0.9965865107288884
e3_1_25_35_F4_35 evolved,e3,1,25,35_F4,35 evolved,3.5011614667589206,0.9965319303591015
e5_1_25_40_D4_40 evolved,e5,1,25,40_D4,40 evolved,3.6739448344072203,0.9968014096300544
e7_1_25_35_F4_35 evolved,e7,1,25,35_F4,35 evolved,3.673789444561714,0.9968265200872458
e8_1_25_35_B8_35 evolved,e8,1,25,35_B8,35 evolved,3.5944585841760004,0.9966120571967598
e9_1_25_40_D2_40 evolved,e9,1,25,40_D2,40 evolved,3.422190814903287,0.9963641171929121
f10_1_25_40_F2_40 evolved,f10,1,25,40_F2,40 evolved,3.6341150995769573,0.9968261068308077
f11_1_25_fRS585_fRS585,f11,1,25,fRS585,fRS585,3.6909862137899907,0.9964069752809765
f2_1_25_35_G5_35 evolved,f2,1,25,35_G5,35 evolved,3.595603022735465,0.9965275326417876
f3_1_25_40_D4_40 evolved,f3,1,25,40_D4,40 evolved,3.6560863615111736,0.9968552583047111
f4_1_25_35_D4_35 evolved,f4,1,25,35_D4,35 evolved,3.575913582545997,0.9965476671022573
f5_1_25_35_B6_35 evolved,f5,1,25,35_B6,35 evolved,3.4788753880854086,0.9963001663774319
f6_1_25_40_B8_40 evolved,f6,1,25,40_B8,40 evolved,3.407102598215493,0.9960284766820748
f7_1_25_40_C7_40 evolved,f7,1,25,40_C7,40 evolved,3.7521504802908994,0.9971422455077019
g10_1_25_40_G9_40 evolved,g10,1,25,40_G9,40 evolved,3.7263169554355042,0.9972631487336848
g2_1_25_35_G11_35 evolved,g2,1,25,35_G11,35 evolved,3.2202751546063713,0.9957671805492921
g4_1_25_35_B6_35 evolved,g4,1,25,35_B6,35 evolved,3.411972155260276,0.9963608377618947
g6_1_25_40_D2_40 evolved,g6,1,25,40_D2,40 evolved,3.649980214572624,0.9967563640078373
g7_1_25_40_G9_40 evolved,g7,1,25,40_G9,40 evolved,3.6996374063319672,0.9973635874972704
g8_1_25_35_G11_35 evolved,g8,1,25,35_G11,35 evolved,3.666879822533017,0.9966626507918857
g9_1_25_35_D4_35 evolved,g9,1,25,35_D4,35 evolved,3.6509750349602914,0.996624629428252
b11_1_38_35_G11_35 evolved,b11,1,38,35_G11,35 evolved,6.856545100570966,0.9973925178917259
b3_1_38_fRS585_fRS585,b3,1,38,fRS585,fRS585,6.622638568459387,0.9975260128452026
b5_1_38_40_D2_40 evolved,b5,1,38,40_D2,40 evolved,6.060938643802826,0.9970208551337808
b8_1_38_40_G9_40 evolved,b8,1,38,40_G9,40 evolved,6.862778674885695,0.9972670680963205
c10_1_38_35_B8_35 evolved,c10,1,38,35_B8,35 evolved,6.870179700674257,0.9961740720258532
c2_1_38_35_G5_35 evolved,c2,1,38,35_G5,35 evolved,6.43687184761897,0.9974701673172601
c4_1_38_40_C7_40 evolved,c4,1,38,40_C7,40 evolved,6.223218266504222,0.9968608578617004
c5_1_38_35_G5_35 evolved,c5,1,38,35_G5,35 evolved,7.038249735480065,0.9816028455331416
c6_1_38_35_F4_35 evolved,c6,1,38,35_F4,35 evolved,8.471883094026204,0.8994828195023732
c7_1_38_35_D4_35 evolved,c7,1,38,35_D4,35 evolved,6.959787328671365,0.9942278247562514
c8_1_38_40_F2_40 evolved,c8,1,38,40_F2,40 evolved,5.869534451311501,0.9971747142187878
c9_1_38_40_D4_40 evolved,c9,1,38,40_D4,40 evolved,6.872659037944697,0.9971026775572205
d10_1_38_40_B8_40 evolved,d10,1,38,40_B8,40 evolved,6.895316806916611,0.9949621348062044
d2_1_38_40_B8_40 evolved,d2,1,38,40_B8,40 evolved,6.026114923123969,0.9973989848098869
d4_1_38_40_F2_40 evolved,d4,1,38,40_F2,40 evolved,6.198079289145862,0.9972735763436745
d5_1_38_40_C7_40 evolved,d5,1,38,40_C7,40 evolved,6.94717949350543,0.9965781363850936
d7_1_38_35_B6_35 evolved,d7,1,38,35_B6,35 evolved,6.721025744594912,0.9973730201957358
e10_1_38_fRS585_fRS585,e10,1,38,fRS585,fRS585,6.80038094119314,0.9970583322172785
e2_1_38_35_B8_35 evolved,e2,1,38,35_B8,35 evolved,6.92266962298155,0.9972998477523692
e3_1_38_35_F4_35 evolved,e3,1,38,35_F4,35 evolved,6.852074355978788,0.9963381978671401
e5_1_38_40_D4_40 evolved,e5,1,38,40_D4,40 evolved,6.421239362411181,0.9965574138723483
e7_1_38_35_F4_35 evolved,e7,1,38,35_F4,35 evolved,7.128113167573434,0.9975366653596605
e8_1_38_35_B8_35 evolved,e8,1,38,35_B8,35 evolved,6.945539760613383,0.9972682583815168
e9_1_38_40_D2_40 evolved,e9,1,38,40_D2,40 evolved,6.8894327345175395,0.9954815533121271
f10_1_38_40_F2_40 evolved,f10,1,38,40_F2,40 evolved,7.068374879727266,0.9618059106210053
f11_1_38_fRS585_fRS585,f11,1,38,fRS585,fRS585,6.807863291299957,0.9973148827389379
f2_1_38_35_G5_35 evolved,f2,1,38,35_G5,35 evolved,6.706520201077661,0.9975794918668978
f3_1_38_40_D4_40 evolved,f3,1,38,40_D4,40 evolved,6.622832233380726,0.997153675160576
f4_1_38_35_D4_35 evolved,f4,1,38,35_D4,35 evolved,6.902504584237049,0.9971917088540991
f5_1_38_35_B6_35 evolved,f5,1,38,35_B6,35 evolved,6.849971624741357,0.9970939212693621
f6_1_38_40_B8_40 evolved,f6,1,38,40_B8,40 evolved,6.62920867814008,0.9959714122794748
f7_1_38_40_C7_40 evolved,f7,1,38,40_C7,40 evolved,6.038112148671798,0.9959500533186305
g10_1_38_40_G9_40 evolved,g10,1,38,40_G9,40 evolved,7.266186185029014,0.9978320767904237
g2_1_38_35_G11_35 evolved,g2,1,38,35_G11,35 evolved,6.959410816679887,0.9973866838587676
g4_1_38_35_B6_35 evolved,g4,1,38,35_B6,35 evolved,6.90015098328897,0.9972740149247634
g6_1_38_40_D2_40 evolved,g6,1,38,40_D2,40 evolved,6.865691192813342,0.9960539526099025
g7_1_38_40_G9_40 evolved,g7,1,38,40_G9,40 evolved,7.2950887949308,0.9976163291302402
