unique_id,well,test_temperature,treatment,mu,best_model,se,R2,n_obs
A10_25_water,A10,25,water,0.0027426825680769303,gr,0.003040498620066976,0.009266147757828636,89
A10_30_water,A10,30,water,0.03216210836083503,gr.sat,0.002349916246664235,0.818030041828672,65
A10_34_fRS585,A10,34,fRS585,9.008102721730511,gr.sat,0.21989273673624826,0.9828552070436665,41
A10_37_water,A10,37,water,1.0711175987568593,gr.lag,0.09883000549624982,0.8163208491470675,31
A10_40.5_water,A10,40.5,water,14.062046018975682,gr.lagsat,1.5177303341335329,0.9851940678492778,20
A10_40_water,A10,40,water,19.762980333729427,gr.lagsat,460965.178959383,0.9948834729955434,18
A10_41_water,A10,41,water,12.96545951807566,gr.lagsat,1.2266441451608587,0.9901009831793375,20
A10_42_water,A10,42,water,0.005903792571661164,gr.lagsat,0.008213711801246484,0.10526727793595825,34
A11_25_water,A11,25,water,0.04175866119139529,gr.lagsat,0.0182008033713264,0.16933679944698243,34
A11_30_water,A11,30,water,0.0311953849855232,gr.sat,0.0028159536342607155,0.7606642029099857,59
A11_34_fRS585,A11,34,fRS585,8.789357070480888,gr.sat,0.19052922965503236,0.9860840799470287,41
A11_37_water,A11,37,water,1.1355790000582973,gr.lag,0.09606524717866433,0.841653767546381,29
A11_40.5_water,A11,40.5,water,10.542744913791305,gr.lagsat,1.535891054704309,0.9834317434317762,21
A11_40_water,A11,40,water,1.0842645361440963,gr.sat,0.08981170086283823,0.8563647916738818,28
A11_41_water,A11,41,water,12.824451666006619,gr.lagsat,1.611273201494817,0.9846830426597349,20
A11_42_water,A11,42,water,0.07735426897642768,gr.lagsat,0.17495230449071064,0.22987733984284686,21
A12_25_water,A12,25,water,0.043503204026152834,gr,0.0040812441507159574,0.5663457750951209,89
A12_30_water,A12,30,water,0.04459257503271694,gr.lagsat,0.004441269039752238,0.8657376654626643,54
A12_34_fRS585,A12,34,fRS585,8.718535458282057,gr.sat,0.20606525592645442,0.9832491420734252,42
A12_37_water,A12,37,water,0.6645683837180983,gr.lag,0.05026343212154094,0.843946455059506,43
A12_40.5_water,A12,40.5,water,16.017644207794913,gr.lagsat,7.143953655314018,0.9911399797221128,20
A12_40_water,A12,40,water,16.153524429664127,gr.lagsat,267.0980117950318,0.9963063230380482,18
A12_41_water,A12,41,water,18.018197397587368,gr.lagsat,35052.9591544537,0.9931351336212696,20
A12_42_water,A12,42,water,0.10793237199134155,gr.lagsat,5.066434731792616,0.1410083386756703,20
A1_25_water,A1,25,water,-1.1653653901426526,gr.flr,0.2230983282770587,0.5624741666400193,21
A1_30_water,A1,30,water,0.03760088940211533,gr.lagsat,0.003712531876680431,0.7973555199910897,69
A1_34_fRS585,A1,34,fRS585,11.023354160452728,gr.lagsat,0.205213892686806,0.9950061060290668,39
A1_37_water,A1,37,water,10.254304265075836,gr.lagsat,1.301370299923871,0.9871478073973792,21
