strain,evolution_history,r_tref,e,eh,th,topt,ctmax,rmax,b80,r2,n_obs
35_B2,35 evolved,0.4898633314978572,0.21894606538595737,27.321906621184336,314.2353662029618,39.592959295929596,42.02970297029703,0.9720690488708239,9.763476347634768,0.9862034433462155,15
35_B6,35 evolved,0.4981440506434436,0.22889529786765547,11.144961739885764,313.1106297651876,37.05720572057206,42.34323432343235,0.9397567851902089,10.6985698569857,0.9872944063759587,15
35_B8,35 evolved,0.5486963784689856,0.180408012701148,17.770928143392062,314.0150623921577,38.69086908690869,42.32673267326733,0.9432169792214139,12.07920792079208,0.9645397754842493,15
35_C5,35 evolved,0.518837200112009,0.20078828311240626,17.46661823709498,314.0512615100319,38.751375137513755,42.3927392739274,0.9493086937287034,11.083608360836088,0.9288855957249231,15
35_C7,35 evolved,0.5172027296265979,0.20167779088016982,18.316744249270613,314.1477937035695,38.92189218921892,42.42024202420242,0.9533613533842868,10.97909790979098,0.9405856149831179,15
35_C9,35 evolved,0.4838569395333113,0.2102504166483134,27.326248961570478,314.1846484402986,39.52695269526953,41.98019801980198,0.9329127306340109,10.110011001100109,0.9545522855241854,15
35_D2,35 evolved,0.5456744703951333,0.1822697183852887,25.115299352856777,314.09721946074797,39.29042904290429,41.97469746974698,0.9585586809871033,11.518151815181518,0.9926090061769628,15
35_D4,35 evolved,0.5649160356396365,0.17036817736615914,17.93044621617407,313.9241565867953,38.58635863586359,42.21672167216722,0.9403953290172286,12.651265126512651,0.9720188163932154,15
35_D8,35 evolved,0.5041861739732146,0.2011089683101742,22.642251521299205,314.1683172479066,39.25742574257426,42.161716171617165,0.9371944955992239,10.720572057205725,0.9337088667651847,15
35_E11,35 evolved,0.5368131549580267,0.1848925702521478,25.553040677473554,314.1879812556665,39.40594059405941,42.04620462046205,0.9532374078401876,11.364136413641365,0.9884944581639268,15
35_E7,35 evolved,0.5252137039761874,0.19025448177448642,26.827948439994945,314.122924116645,39.41694169416942,41.93069306930693,0.948772817655541,11.034103410341032,0.9363411713292495,15
35_E9,35 evolved,0.5227667561837293,0.19487225015252044,23.97687558479113,314.1021532162557,39.25742574257426,42.02970297029703,0.9537048075220295,10.935093509350938,0.9793699397718698,15
35_F2,35 evolved,0.5176326755862544,0.1929590481108823,28.013921192313873,314.2823454829255,39.63146314631464,42.05170517051705,0.9479117284799756,10.85808580858086,0.9848319730616314,15
35_F4,35 evolved,0.4978094025976513,0.23677307719701898,12.966935870147195,313.67963033881944,37.948294829482954,42.57425742574258,0.987421437839881,10.165016501650165,0.97616257839952,15
