population,evolution_history,drug,ic50,se_ic50,se_log_ic50,ic50_lower,ic50_upper,n_data,n_boot_ok,n_total_iter
40_F2,40 evolved,fluconazole,31.62156046744566,1.5122905040097838,0.04927816482004526,27.7057162765014,34.02659332190154,36,1000,1554
40_F4,40 evolved,fluconazole,20.64602322477514,1.6280808014431365,0.07710806733703021,18.03093616164397,24.50191214023541,36,1000,1000
40_F6,40 evolved,fluconazole,21.98122721857264,1.4030730231927748,0.062414419196836074,19.950458886320483,25.3715100409531,72,1000,1000
40_G5,40 evolved,fluconazole,33.75892192134756,1.561386434087777,0.046296869450728625,30.901495338078778,36.84458939960489,36,1000,1020
40_G9,40 evolved,fluconazole,69.349933556873,8.943469704781647,0.12884123939077713,52.83048276783866,88.32851635350784,72,1000,1000
40_G11,40 evolved,fluconazole,53.544745079280226,6.835969902106827,0.12896580825523307,40.671525310981536,67.77380745311524,72,1000,1000
fRS585,fRS585,fluconazole,20.351322110725192,1.278009314069585,0.061365675305817366,18.38392084136088,23.449533321353577,252,1000,1000
40_D2,40 evolved,fluconazole,26.81564956602233,1.8523458196983469,0.0678616352702486,23.74271205229376,31.199104910015215,36,1000,1000
40_D4,40 evolved,fluconazole,22.89811260225102,1.5496458966057574,0.06700811018043615,20.2093458032159,26.205890543308033,36,1000,1001
40_D8,40 evolved,fluconazole,24.905850817212862,1.8449675228901221,0.0740449989019361,21.52969037417594,28.788995625814362,36,1000,1000
40_E7,40 evolved,fluconazole,30.225323039332576,3.474465163338963,0.11365764535713249,24.463480643782702,37.93323721634645,72,1000,1000
40_E9,40 evolved,fluconazole,25.273824505510994,2.4647766721628903,0.09373842882542319,21.915302167595783,30.733038911399223,36,1000,1018
40_E11,40 evolved,fluconazole,32.97328772083499,3.4269934699103226,0.10107247012792997,27.530082515098087,41.06129812245382,72,1000,1000
40_B2,40 evolved,fluconazole,19.598866155546194,1.0396408565961617,0.05295038775484342,17.674930897769844,21.79113763470243,36,1000,1000
40_B6,40 evolved,fluconazole,25.42013458711153,1.8699997504969113,0.07203333710293254,22.337571384604207,30.420327630590144,36,1000,1001
40_B8,40 evolved,fluconazole,24.311589130064924,1.740673599261416,0.07127385883015981,21.123715412583078,27.90467013050544,36,1000,1000
40_C5,40 evolved,fluconazole,25.158254988208306,1.8561679090483671,0.07505903504934228,21.604902063862017,28.57125569387584,36,1000,1002
40_C7,40 evolved,fluconazole,24.76794669726185,1.2926046515764147,0.05072031550446968,22.78779370696412,27.381687236544565,36,1000,1000
40_C9,40 evolved,fluconazole,40.12349573474192,3.6739344028548513,0.09014092414470248,33.99693410302344,48.18085137630005,72,1000,1000
40_C9,40 evolved,amphotericin,0.80011399213497,0.12195896058741496,0.15300137305416295,0.5834634599178727,1.0585487531138646,72,1000,1000
40_E7,40 evolved,amphotericin,0.8708082117276781,0.1284816196587033,0.14765942201243668,0.6450950806869888,1.1460079286582285,72,1000,1000
40_E11,40 evolved,amphotericin,0.8099258795949106,0.13705696788397853,0.16768199384343238,0.5538708293456359,1.1229913526375443,72,1000,1000
40_F6,40 evolved,amphotericin,0.7314610163778508,0.11261909413382327,0.15379718079768212,0.5271458054314879,0.9671451838051661,72,1000,1000
40_G9,40 evolved,amphotericin,0.985097766257272,0.13965514439927837,0.14140851698084783,0.7237371896884257,1.2805177938924017,72,1000,1000
40_G11,40 evolved,amphotericin,0.9885665195654683,0.1301077999257824,0.1308362469596295,0.7454709906917485,1.2759049759935412,72,1000,1000
fRS585,fRS585,amphotericin,0.5064456603360894,0.061741978406697685,0.12334870807554262,0.38429501558015416,0.6324715721493722,252,1000,1000
35_F2,35 evolved,amphotericin,0.1503165503220227,0.008011250015961743,0.05542631373198033,0.1298340598232627,0.16109575316190516,36,1000,1011
35_F4,35 evolved,amphotericin,0.14984161739156676,0.009195337575593661,0.06291080068089155,0.12963329872748852,0.1650475129714318,36,1000,1009
35_F6,35 evolved,amphotericin,0.13439201158045466,0.004354360872261755,0.03269470639902362,0.12548286911878445,0.14198677198410045,36,1000,1018
35_G5,35 evolved,amphotericin,0.1512640376951938,0.008058819413372807,0.0552607360342808,0.12976651817952084,0.1633851171012162,36,1000,1010
35_G9,35 evolved,amphotericin,0.13149509614204788,0.006024684622385285,0.04661529067499514,0.11743317190783839,0.14230386747677148,36,1000,1004
35_G11,35 evolved,amphotericin,0.10405490405166849,0.007584039099092347,0.07306886250536485,0.0892642264195438,0.11920193902282247,36,1000,1001
35_D2,35 evolved,amphotericin,0.3134421348838975,0.023691944294924216,0.0790171948575376,0.2646884484147413,0.34457383372459705,36,1000,1037
35_D4,35 evolved,amphotericin,0.14430463032984497,0.011019193710255826,0.07627630321727186,0.12608836385150057,0.16722957472556824,36,1000,1038
35_D8,35 evolved,amphotericin,0.2787441091024766,0.012100988675937365,0.043596476398771226,0.2549655543896108,0.3004286538599111,36,1000,1012
35_E7,35 evolved,amphotericin,0.27949314902110073,0.01464538757481502,0.0527532804285989,0.2556864821310504,0.3045387223408344,36,1000,1050
35_E9,35 evolved,amphotericin,0.3052775974898579,0.020982252739257683,0.07143126681767431,0.2617882712514538,0.3349274116173562,36,1000,1019
35_E11,35 evolved,amphotericin,0.29114138505951404,0.020317172574990598,0.07012375616148779,0.258468960296478,0.3311012798038712,36,1000,1091
35_B2,35 evolved,amphotericin,0.3001494002576654,0.020619872683423326,0.07033591780987081,0.26123749585486333,0.33574680585189987,36,1000,1060
35_B6,35 evolved,amphotericin,0.259024003013377,0.018244058344576042,0.06501686204612697,0.2541138785974888,0.31368620043950984,36,1000,1258
35_B8,35 evolved,amphotericin,0.3204904035894782,0.03058771413950344,0.09724584132935422,0.2659510173455558,0.3664854687340955,36,1000,1128
35_C5,35 evolved,amphotericin,0.28686397119452733,0.02059406536017957,0.07153331162756456,0.2563747301551235,0.32619817057359113,36,1000,1136
35_C7,35 evolved,amphotericin,0.3396808525607339,0.04032342056646027,0.11808376438439105,0.26712918311927286,0.4509415630976289,36,1000,1049
35_C9,35 evolved,amphotericin,0.32871320214236605,0.0376933712815958,0.1143623825074726,0.26466793774363173,0.4120827921308532,36,1000,1058
40_C9,40 evolved,caspofungin,0.021783127570886903,0.0013728243808769933,0.06262975440809802,0.019364120129645005,0.024502371173075774,72,1000,1002
40_E7,40 evolved,caspofungin,0.025400664558416913,0.0024986188412988563,0.0972985805640616,0.021665896249680138,0.029721935749936222,72,1000,1125
40_E11,40 evolved,caspofungin,0.01764774758267307,0.0011866764545796554,0.06704039883415448,0.01579289338289871,0.020036382776581634,72,1000,1052
40_F6,40 evolved,caspofungin,0.018730550529832572,0.00132458912391502,0.07173002936643127,0.016079088431129304,0.021037349498336702,72,1000,1012
40_G11,40 evolved,caspofungin,0.02309362485016998,0.002046044367706113,0.08437727658244999,0.020445446432130265,0.0289760989734492,72,1000,1014
fRS585,fRS585,caspofungin,0.016589210403388316,5.905505311771086e-4,0.03543445544333655,0.015617608531915768,0.017806981706817684,252,1000,1020
35_F2,35 evolved,caspofungin,0.01690958785786691,7.783710782362811e-4,0.045879659883465554,0.015706576049360415,0.01851957367659534,36,1000,1051
35_F4,35 evolved,caspofungin,0.015247640747215624,8.1232271893829e-4,0.054220627328047895,0.013396394617193684,0.01677060873293529,36,1000,1089
35_F6,35 evolved,caspofungin,0.01372506961499327,9.135630029166302e-4,0.06615098262355901,0.012132396582892077,0.01527726130072112,36,1000,1060
35_G5,35 evolved,caspofungin,0.015278070187622495,7.083424604294312e-4,0.04921213130450586,0.013187213917331245,0.015495764713010542,36,1000,1572
35_G9,35 evolved,caspofungin,0.015073018855056854,6.414454439873989e-4,0.04362861538087883,0.013509402077278411,0.015937319410368554,36,1000,1156
35_G11,35 evolved,caspofungin,0.01411070400571494,0.0013141323343662838,0.09423303619531438,0.011508824466985526,0.016547675632575233,36,1000,1049
35_D2,35 evolved,caspofungin,0.012736352279975634,9.512124275215916e-4,0.0738801761825916,0.011143645068028707,0.015111225928864375,36,1000,1002
35_D4,35 evolved,caspofungin,0.03548328052167359,0.003876612050060956,0.10170869780645161,0.031744083996663355,0.045708966696325334,36,1000,1193
35_D8,35 evolved,caspofungin,0.011300117039818468,9.156729667059883e-4,0.07717623608411338,0.010050487784954596,0.01433004999251132,36,1000,1005
35_E7,35 evolved,caspofungin,0.010437726590584612,6.393659391350226e-4,0.060759655679149954,0.009274174985625555,0.01172216722045855,36,1000,1000
35_E9,35 evolved,caspofungin,0.012741337528362647,0.0011660979671543035,0.08878988789190033,0.011110814585838253,0.015100089596721778,36,1000,1036
35_E11,35 evolved,caspofungin,0.014597325626337228,0.0015106698334270714,0.11773820284613001,0.010462085756724195,0.015137981270468998,36,1000,1165
35_B2,35 evolved,caspofungin,0.016763258437363975,9.816705246788085e-4,0.058724429139836526,0.014862144748730715,0.018742427083466955,36,1000,1014
35_B6,35 evolved,caspofungin,0.011218733222073859,7.183068314703459e-4,0.06260309690203492,0.010080887111951674,0.012803103942633265,36,1000,1000
35_B8,35 evolved,caspofungin,0.013593851425174719,0.0010433135338845454,0.07754455075956829,0.0113988328209574,0.015529640223806707,36,1000,1003
35_C5,35 evolved,caspofungin,0.014204442724733845,7.585867667609992e-4,0.05355452910152947,0.012741122769137265,0.015497952716128721,36,1000,1019
35_C7,35 evolved,caspofungin,0.015508101257635675,3.75322642807015e-4,0.024838070031222455,0.01433017917576743,0.015850462448286494,36,1000,1450
35_C9,35 evolved,caspofungin,0.014744293391178756,9.354359201600514e-4,0.06498050673558507,0.012645776037241973,0.016234158397520806,36,1000,1104
35_F2,35 evolved,fluconazole,22.739474731868572,2.054971193154579,0.08799747485696036,19.637686118665602,27.51796292888559,36,1000,1000
