drug,effect,term,estimate,conf.low,conf.high,p.value,std.error,df,statistic
amphotericin,fixed,(Intercept),0.3013225255697297,0.2061002086468096,0.3965448424926498,1.337245535578929e-6,0.04591520975734412,22,6.562586279408933
amphotericin,fixed,evolution_history35 evolved,-0.0035547506652405278,-0.10104639555959277,0.09393689422911172,0.9404066201705308,0.047009456076732244,22,-0.07561777910040494
amphotericin,fixed,evolution_history40 evolved,0.1256067721165919,0.022728137839108514,0.2284854063940753,0.018987746219430463,0.04960700626748502,22,2.5320369352528544
amphotericin,fixed,batchMar 6_Set2,-0.008395021127612432,NA,NA,NA,0.006819333082879318,0,-1.2310618979279735
amphotericin,fixed,batchMar 6_Set3,-0.17222352681526187,NA,NA,NA,0.0068193330828793175,0,-25.255186206939783
amphotericin,fixed,batchMar 6_Set4,0.00504910340104679,NA,NA,NA,0.006978468486112435,0,0.7235260015997499
caspofungin,fixed,(Intercept),0.014402830123627567,0.00417391979114067,0.024631740456114465,0.007930217909557905,0.004932274058038092,22,2.9201195947648886
caspofungin,fixed,evolution_history35 evolved,0.0010419225366791855,-0.009467283805822747,0.01155112887918112,0.8389849859578724,0.005067429875601372,22,0.2056116339558693
caspofungin,fixed,evolution_history40 evolved,0.0039658413601527265,-0.007082644555199361,0.015014327275504814,0.46450379303718825,0.005327464870604794,22,0.7444143615164767
caspofungin,fixed,batchMar 6_Set2,-8.411563496326913e-4,NA,NA,NA,2.868925628763251e-7,0,-2931.9559252405597
caspofungin,fixed,batchMar 6_Set3,-5.9687710576466373e-5,NA,NA,NA,2.8689256287632517e-7,0,-208.04899917254667
caspofungin,fixed,batchMar 6_Set4,-5.934498580212243e-4,NA,NA,NA,2.8689256384697697e-7,0,-2068.543882990844
fluconazole,fixed,(Intercept),2.83105536784705,-48.68152589437595,54.34363663007005,0.9117266522423586,25.347629690246883,34,0.11168915604508642
fluconazole,fixed,evolution_history35 evolved,-14.525840733917507,-68.13391742274538,39.082235954910374,0.5854640623066957,26.3787533650789,34,-0.5506644128659739
fluconazole,fixed,evolution_history40 evolved,34.29910345832018,-18.504114927943355,87.10232184458371,0.19562912334332924,25.982709336481893,34,1.3200741698696286
fluconazole,fixed,dateMar 6,25.790519079976633,-2.7504597390007675,54.331497898954034,0.07216510767865264,12.967365403676364,11,1.9888788722391357
