pop_rep,IC50,IC50_lower,IC50_upper,n_boot
40_F2_Rep3_Plate3_fluconazole_February,30.415747537065823,22.012419463011433,31.182721256477382,646
40_F4_Rep3_Plate3_fluconazole_February,16.183281148853684,13.016965722817778,20.255794962016534,1000
40_F6_Rep3_Plate3_fluconazole_February,27.488594776020737,23.413120205289903,32.55180711597303,1000
40_G5_Rep3_Plate3_fluconazole_February,35.080341859560974,32.446836224699496,38.372368552298894,986
40_G9_Rep3_Plate3_fluconazole_February,80.40574949476934,42.45864610276716,136.76549423131024,1000
40_G11_Rep3_Plate3_fluconazole_February,58.54834536321177,24.96872900284142,111.25842239765565,1000
fRS585_Rep3_Plate3_fluconazole_February,4.775127258482201,1.7630806576041298,10.342594164313574,1000
40_F2_Rep2_Plate3_fluconazole_February,30.605984340599694,23.01374751375196,31.656222470091777,753
40_F4_Rep2_Plate3_fluconazole_February,17.837513808814446,15.2291466724716,20.317277051981666,1000
40_F6_Rep2_Plate3_fluconazole_February,28.6634083781457,23.453218426485083,34.66971624130752,1000
40_G5_Rep2_Plate3_fluconazole_February,37.93104506947189,31.634048089505264,46.41047945400495,974
40_G9_Rep2_Plate3_fluconazole_February,46.44355642243838,32.065358694152565,61.99156625471492,1000
40_G11_Rep2_Plate3_fluconazole_February,40.474844947768474,27.57768297728401,55.926285352275535,1000
fRS585_Rep2_Plate3_fluconazole_February,20.423027907720908,16.016218706587093,25.300361481652736,1000
40_F2_Rep1_Plate3_fluconazole_February,39.26688031619193,33.120139174018334,45.88216094984702,923
40_F4_Rep1_Plate3_fluconazole_February,29.158264674586444,24.452629085071905,31.63675411873482,867
40_F6_Rep1_Plate3_fluconazole_February,21.08341967395724,18.399169330725673,25.523403173804624,1000
40_G5_Rep1_Plate3_fluconazole_February,29.730744199700382,24.385981324935887,33.10941173015748,889
40_G9_Rep1_Plate3_fluconazole_February,52.47384201557402,33.90939790612114,82.20733934616466,1000
40_G11_Rep1_Plate3_fluconazole_February,64.8960506416769,25.004506990627462,121.00574218818619,1000
fRS585_Rep1_Plate3_fluconazole_February,27.40357424014189,25.061712314490762,30.318360634538692,1000
