well,block,test_temperature,strain,evolution_history,mu,r2,K,t_mid,low_r2,fit_fail
b10,3,25,40_F6,40 evolved,9.665997031940902,0.9964373039747478,1.4712240326552763,0.4956613912497528,FALSE,FALSE
b10,3,35,40_F6,40 evolved,16.534725702500513,0.9978777816960389,1.3971880928972655,0.296327059719597,FALSE,FALSE
b10,3,38,40_F6,40 evolved,50,0.960649328373993,1.3018847362692234,0.2917471052745722,FALSE,FALSE
b10,3,41,40_F6,40 evolved,15.031946067544812,0.992179537512405,1.2885453514894742,0.3598455221672781,FALSE,FALSE
b10,3,42,40_F6,40 evolved,2.449407537952971,0.9689043384257149,0.8476196081440283,0.8515922642055501,FALSE,FALSE
b11,1,25,35_G11,35 evolved,9.612983986873806,0.9966380339244403,1.4943284848423033,0.48487341909905596,FALSE,FALSE
b11,1,35,35_G11,35 evolved,16.428649810213543,0.9975746678556933,1.3125395889985392,0.2939654847766497,FALSE,FALSE
b11,1,38,35_G11,35 evolved,19.00950973872422,0.9975499381310965,1.3741554113795,0.2921094010595347,FALSE,FALSE
b11,1,41,35_G11,35 evolved,12.564642472186826,0.9926893205018299,1.344126197707512,0.4081209338314557,FALSE,FALSE
b11,1,42,35_G11,35 evolved,10.086691647803367,0.9295323965609608,0.24822518178605196,0.14657429460505988,TRUE,FALSE
b11,2,25,35_D8,35 evolved,9.547796442276178,0.9962661224773669,1.506529006955272,0.507905788403132,FALSE,FALSE
b11,2,35,35_D8,35 evolved,16.550238830451505,0.9976515988079171,1.3851706234487826,0.3036140901543991,FALSE,FALSE
b11,2,38,35_D8,35 evolved,18.897796399839184,0.9977007478588253,1.4024325734479512,0.29284093080852036,FALSE,FALSE
b11,2,41,35_D8,35 evolved,13.548328363699275,0.9920387091326485,1.3137822296107422,0.3951681082991903,FALSE,FALSE
b11,2,42,35_D8,35 evolved,8.805351118005113,0.9017798843073633,0.1880238146471553,0.09996863713652711,TRUE,FALSE
b11,3,25,40_G5,40 evolved,9.606092269572269,0.9967964287546643,1.476857858606298,0.53980080202119,FALSE,FALSE
b11,3,35,40_G5,40 evolved,15.71379643607811,0.997705217924671,1.4012924430381606,0.3269642504211593,FALSE,FALSE
b11,3,38,40_G5,40 evolved,17.782381591618204,0.9973074293513563,1.4119160337037369,0.3083025475401151,FALSE,FALSE
b11,3,41,40_G5,40 evolved,13.839513645182404,0.9912132676204788,1.2980983095206482,0.4022144859055112,FALSE,FALSE
b11,3,42,40_G5,40 evolved,2.1566048471535186,0.9790098735018716,1.809,1.397547865927108,FALSE,FALSE
b2,2,25,35_E9,35 evolved,9.813687615761973,0.9962777051041667,1.4883831899596214,0.4930569898633634,FALSE,FALSE
b2,2,35,35_E9,35 evolved,16.59581862176525,0.9952992888062935,1.4013488604086817,0.2932046744153736,FALSE,FALSE
b2,2,38,35_E9,35 evolved,50,0.9676357729015377,1.3357500197998435,0.2895583592293259,FALSE,FALSE
b2,2,41,35_E9,35 evolved,6.455701433002594,0.9957635678012771,1.2669708086932803,0.539034376859032,FALSE,FALSE
b2,2,42,35_E9,35 evolved,50,0.29160412035988703,0.14281139019895733,0.02743731687716769,TRUE,FALSE
b2,3,25,40_B6,40 evolved,9.495824945254753,0.9964837506376774,1.3737943117169757,0.5463523958411873,FALSE,FALSE
b2,3,35,40_B6,40 evolved,15.570118572931008,0.9975159731369293,1.3255484863491755,0.32935119431978443,FALSE,FALSE
b2,3,38,40_B6,40 evolved,17.84635589423992,0.997184834703491,1.378117884697021,0.30507061264974344,FALSE,FALSE
b2,3,41,40_B6,40 evolved,50,0.9510394727089431,1.6489797280287082,0.42444752583862577,FALSE,FALSE
b2,3,42,40_B6,40 evolved,6.454603524263827,0.9255504740596886,0.1665560329219569,0.07938977196267762,TRUE,FALSE
b3,1,25,fRS585,fRS585,9.72760732926612,0.9965032048363289,1.491042381601521,0.4860908773147956,FALSE,FALSE
