block,temp,time,t_600,well,od600,strain
Block1,42C,00:28:01,42,A1,0.068,blank
Block1,42C,00:43:01,42,A1,0.068,blank
Block1,42C,00:58:01,42,A1,0.069,blank
Block1,42C,01:13:01,42,A1,0.069,blank
Block1,42C,01:28:01,41.9,A1,0.069,blank
Block1,42C,01:43:01,42,A1,0.069,blank
Block1,42C,01:58:01,42,A1,0.069,blank
Block1,42C,02:13:01,42,A1,0.069,blank
Block1,42C,02:28:01,42,A1,0.069,blank
Block1,42C,02:43:01,41.9,A1,0.069,blank
Block1,42C,02:58:01,42,A1,0.069,blank
Block1,42C,03:13:01,42,A1,0.069,blank
Block1,42C,03:28:01,41.9,A1,0.069,blank
Block1,42C,03:43:01,42.1,A1,0.069,blank
Block1,42C,03:58:01,42,A1,0.069,blank
Block1,42C,04:13:01,42,A1,0.069,blank
Block1,42C,04:28:01,42,A1,0.069,blank
Block1,42C,04:43:01,42,A1,0.069,blank
Block1,42C,04:58:01,41.9,A1,0.069,blank
Block1,42C,05:13:01,42,A1,0.069,blank
Block1,42C,05:28:01,42,A1,0.069,blank
Block1,42C,05:43:01,42,A1,0.069,blank
Block1,42C,05:58:01,42,A1,0.069,blank
Block1,42C,06:13:01,42,A1,0.069,blank
Block1,42C,06:28:01,42,A1,0.069,blank
Block1,42C,06:43:01,41.9,A1,0.069,blank
Block1,42C,06:58:01,42,A1,0.069,blank
Block1,42C,07:13:01,42.1,A1,0.069,blank
Block1,42C,07:28:01,42,A1,0.069,blank
Block1,42C,07:43:01,42,A1,0.069,blank
Block1,42C,07:58:01,42,A1,0.069,blank
Block1,42C,08:13:01,42,A1,0.069,blank
Block1,42C,08:28:01,42,A1,0.069,blank
Block1,42C,08:43:01,42.1,A1,0.069,blank
Block1,42C,08:58:01,42,A1,0.069,blank
Block1,42C,09:13:01,42,A1,0.069,blank
Block1,42C,09:28:01,42,A1,0.069,blank
Block1,42C,09:43:01,42,A1,0.069,blank
Block1,42C,09:58:01,42,A1,0.069,blank
Block1,42C,10:13:01,42,A1,0.069,blank
Block1,42C,10:28:01,42,A1,0.069,blank
Block1,42C,10:43:01,42.1,A1,0.069,blank
Block1,42C,10:58:01,42,A1,0.069,blank
Block1,42C,11:13:01,42,A1,0.069,blank
Block1,42C,11:28:01,42,A1,0.069,blank
Block1,42C,11:43:01,42,A1,0.069,blank
Block1,42C,11:58:01,42,A1,0.069,blank
Block1,42C,12:13:01,42,A1,0.069,blank
Block1,42C,12:28:01,42.1,A1,0.069,blank
Block1,42C,12:43:01,42,A1,0.069,blank
Block1,42C,12:58:01,42,A1,0.069,blank
Block1,42C,13:13:01,42,A1,0.069,blank
Block1,42C,13:28:01,41.9,A1,0.069,blank
Block1,42C,13:43:01,42,A1,0.069,blank
Block1,42C,13:58:01,42,A1,0.069,blank
Block1,42C,14:13:01,42.1,A1,0.069,blank
Block1,42C,14:28:01,42,A1,0.069,blank
Block1,42C,14:43:01,42,A1,0.069,blank
Block1,42C,14:58:01,41.9,A1,0.069,blank
Block1,42C,15:13:01,42,A1,0.069,blank
Block1,42C,15:28:01,42,A1,0.069,blank
Block1,42C,15:43:01,42,A1,0.069,blank
Block1,42C,15:58:01,42,A1,0.069,blank
Block1,42C,16:13:01,42,A1,0.069,blank
Block1,42C,16:28:01,42,A1,0.069,blank
Block1,42C,16:43:01,42,A1,0.069,blank
Block1,42C,16:58:01,42,A1,0.069,blank
Block1,42C,17:13:01,42,A1,0.069,blank
Block1,42C,17:28:01,42,A1,0.069,blank
Block1,42C,17:43:01,42,A1,0.069,blank
Block1,42C,17:58:01,42,A1,0.069,blank
Block1,42C,18:13:01,42,A1,0.069,blank
Block1,42C,18:28:01,42.1,A1,0.069,blank
Block1,42C,18:43:01,42,A1,0.069,blank
Block1,42C,18:58:01,42.1,A1,0.069,blank
Block1,42C,19:13:01,42,A1,0.069,blank
Block1,42C,19:28:01,42,A1,0.069,blank
Block1,42C,19:43:01,42.1,A1,0.069,blank
Block1,42C,19:58:01,42,A1,0.069,blank
Block1,42C,20:13:01,42,A1,0.069,blank
Block1,42C,20:28:01,42,A1,0.069,blank
Block1,42C,20:43:01,42,A1,0.069,blank
Block1,42C,20:58:01,42,A1,0.069,blank
Block1,42C,21:13:01,42,A1,0.069,blank
Block1,42C,21:28:01,42,A1,0.069,blank
Block1,42C,21:43:01,42,A1,0.069,blank
Block1,42C,21:58:01,42,A1,0.069,blank
Block1,42C,22:13:01,42,A1,0.069,blank
Block1,42C,22:28:01,42,A1,0.069,blank
Block1,42C,22:43:01,42,A1,0.069,blank
Block1,42C,22:58:01,42,A1,0.069,blank
Block1,42C,23:13:01,42,A1,0.069,blank
Block1,42C,23:28:01,42,A1,0.069,blank
Block1,42C,23:43:01,42,A1,0.069,blank
Block1,42C,23:58:01,42,A1,0.069,blank
Block2,41C,00:28:01,41,A1,0.065,blank
Block2,41C,00:43:01,40.9,A1,0.065,blank
Block2,41C,00:58:01,41,A1,0.065,blank
Block2,41C,01:13:01,41,A1,0.065,blank
Block2,41C,01:28:01,41,A1,0.065,blank
Block2,41C,01:43:01,41,A1,0.065,blank
Block2,41C,01:58:01,41,A1,0.066,blank
Block2,41C,02:13:01,41,A1,0.066,blank
Block2,41C,02:28:01,41,A1,0.066,blank
Block2,41C,02:43:01,41,A1,0.066,blank
Block2,41C,02:58:01,41,A1,0.066,blank
Block2,41C,03:13:01,40.9,A1,0.066,blank
Block2,41C,03:28:01,41,A1,0.066,blank
Block2,41C,03:43:01,40.9,A1,0.066,blank
Block2,41C,03:58:01,41,A1,0.066,blank
Block2,41C,04:13:01,41,A1,0.066,blank
Block2,41C,04:28:01,41,A1,0.066,blank
Block2,41C,04:43:01,41,A1,0.066,blank
Block2,41C,04:58:01,41,A1,0.066,blank
Block2,41C,05:13:01,41,A1,0.066,blank
Block2,41C,05:28:01,41,A1,0.066,blank
Block2,41C,05:43:01,41,A1,0.066,blank
Block2,41C,05:58:01,41,A1,0.066,blank
Block2,41C,06:13:01,41,A1,0.066,blank
Block2,41C,06:28:01,41,A1,0.066,blank
Block2,41C,06:43:01,40.9,A1,0.066,blank
Block2,41C,06:58:01,41,A1,0.066,blank
Block2,41C,07:13:01,41,A1,0.066,blank
Block2,41C,07:28:01,41,A1,0.066,blank
Block2,41C,07:43:01,40.9,A1,0.066,blank
