population,evolution_history,drug,mean_log_ratio,se_log_ratio,n_plates
35_B2,35 evolved,amphotericin,0.005980631271516569,0.038646940433401715,3
35_B2,35 evolved,caspofungin,0.2226635584760032,0.02990686656454088,3
35_B2,35 evolved,fluconazole,0.12078044806739804,0.0684127657856564,3
35_B6,35 evolved,amphotericin,-0.08929990169689961,0.028591787938146686,3
35_B6,35 evolved,caspofungin,-0.2065875746240164,0.14096888713745886,3
35_B6,35 evolved,fluconazole,-0.04596331627244836,0.03496407745685701,3
35_B8,35 evolved,amphotericin,0.016424153867713565,0.015264710382477781,2
35_B8,35 evolved,caspofungin,-0.10609576649011805,0.1576755241666872,3
35_B8,35 evolved,fluconazole,-0.10727029999620394,0.11785658369932836,3
35_C5,35 evolved,amphotericin,-0.06367761469467419,0.01829514007788761,3
35_C5,35 evolved,caspofungin,0.0038695498997413464,0.07412605970743216,3
35_C5,35 evolved,fluconazole,0.05385033696105242,0.06510499088441415,3
35_C7,35 evolved,amphotericin,0.17728555552132474,0.07523729291224951,3
35_C7,35 evolved,caspofungin,0.05981318209214059,0.04436588502759899,3
35_C7,35 evolved,fluconazole,0.02471338197951902,0.14090067451142982,3
35_C9,35 evolved,amphotericin,0.10122981216990654,0.09729203790604782,3
35_C9,35 evolved,caspofungin,0.0659892846714234,0.04332024365689017,3
35_C9,35 evolved,fluconazole,0.05921852516903714,0.04003561745606291,3
35_D2,35 evolved,amphotericin,0.22586151278991531,0.07314399592217061,3
35_D2,35 evolved,caspofungin,-0.004165523302707956,0.019827478762364504,3
35_D2,35 evolved,fluconazole,1.048007511131194,0.36644632064378335,3
35_D4,35 evolved,amphotericin,-0.7147184979267396,0.047991209132370094,3
35_D4,35 evolved,caspofungin,1.0313038473713445,0.05429992253192816,3
35_D4,35 evolved,fluconazole,-0.9086829451914077,0.4092556119771615,3
35_D8,35 evolved,amphotericin,0.045139343076380234,0.13265460161977727,3
35_D8,35 evolved,caspofungin,-0.19848833380742786,0.13130673253516872,3
35_D8,35 evolved,fluconazole,1.0691558473800928,0.41342344840197187,3
35_E11,35 evolved,amphotericin,0.11312091452941078,0.15264610539494503,3
35_E11,35 evolved,caspofungin,0.026347076386835276,0.014658817665570503,3
35_E11,35 evolved,fluconazole,1.0643665267952591,0.4312128808610353,3
35_E7,35 evolved,amphotericin,0.050379057200572536,0.12744803042286354,3
35_E7,35 evolved,caspofungin,-0.2327297107049633,0.10594542708732056,3
35_E7,35 evolved,fluconazole,1.0500776464098889,0.42597485875772606,3
35_E9,35 evolved,amphotericin,0.1578897365201446,0.16938979345538124,3
35_E9,35 evolved,caspofungin,-0.05393741876831608,0.09253244993386013,3
35_E9,35 evolved,fluconazole,1.1057999413185216,0.48137258712479175,3
35_F2,35 evolved,amphotericin,0.2771522813273923,0.11558535401117392,3
35_F2,35 evolved,caspofungin,0.1337362455532869,0.02158761287814382,3
35_F2,35 evolved,fluconazole,0.3394598490282561,0.3289675385478069,3
35_F4,35 evolved,amphotericin,0.288797335363826,0.17014618070632473,3
35_F4,35 evolved,caspofungin,0.037034875145361155,0.14527843274019284,3
35_F4,35 evolved,fluconazole,0.3549126205688674,0.3377761576115999,3
35_F6,35 evolved,amphotericin,0.12496443919610858,0.1289545974135467,3
35_F6,35 evolved,caspofungin,-0.002436114623554533,0.14745532435026557,3
35_F6,35 evolved,fluconazole,0.037811205103905274,0.2983712626504414,3
35_G11,35 evolved,amphotericin,-0.13419495622159627,0.03519259702360851,3
35_G11,35 evolved,caspofungin,0.03607362117040817,0.15898736823599427,3
35_G11,35 evolved,fluconazole,-0.02568164799572899,0.2559014623235817,3
35_G5,35 evolved,amphotericin,0.2881185667531192,0.13807072311887253,3
35_G5,35 evolved,caspofungin,0.13220820091351904,0.06395243154987391,3
35_G5,35 evolved,fluconazole,0.4478134678174621,0.27661698092412607,3
35_G9,35 evolved,amphotericin,0.11116675380284394,0.06057874797136632,3
35_G9,35 evolved,caspofungin,0.06529973667067276,0.11311627195064698,3
35_G9,35 evolved,fluconazole,0.214314270527165,0.2169409225886515,3
40_B2,40 evolved,amphotericin,0.05035822880705924,0.08054613987661167,3
40_B2,40 evolved,caspofungin,0.6311547541096327,0.5268645642533759,3
40_B2,40 evolved,fluconazole,-0.34838136360867294,0.041016590105184624,3
40_B6,40 evolved,amphotericin,-0.8141785314410953,0.05361296273753189,3
40_B6,40 evolved,caspofungin,0.3549504752885061,0.4208559190734185,3
40_B6,40 evolved,fluconazole,-0.07841954731747011,0.06982830040147163,3
40_B8,40 evolved,amphotericin,-0.1803662798735305,0.04824292250604609,3
40_B8,40 evolved,caspofungin,0.21298037350942015,0.49576726777454544,3
40_B8,40 evolved,fluconazole,-0.1941391533354612,0.0885856253785892,3
40_C5,40 evolved,amphotericin,0.026947678937847268,0.07608565184306222,3
40_C5,40 evolved,caspofungin,0.36803921601143574,0.41161399596315756,3
40_C5,40 evolved,fluconazole,-0.13107150227918604,0.08041296983298502,3
40_C7,40 evolved,amphotericin,-0.8076127978200495,0.11854497543448153,3
40_C7,40 evolved,caspofungin,0.4042374761132993,0.6157184074292377,2
