population,evolution_history,rep,set,drug,month,ic50,bot,top,slope,converged,ic50_anc,log_ratio
35_B2,35 evolved,Rep1,Set1,amphotericin,March,0.30686311842627945,6.623677168696896e-5,0.8154651307635715,6.932879650641641,TRUE,0.3230710302026399,-0.07425612971976459
35_B2,35 evolved,Rep1,Set1,caspofungin,March,0.01750669087580207,0,0.9021284849168818,4.803974202632736,TRUE,0.013243813268736427,0.4025878358431889
35_B2,35 evolved,Rep1,Set1,fluconazole,March,12.927147231775148,0.08063429560164338,0.8579341510064193,1.8350523007091322,TRUE,12.960616881154408,-0.003730451488447528
35_B2,35 evolved,Rep2,Set1,amphotericin,March,0.33162481721761516,0,0.8485511378551105,10.041999117054514,TRUE,0.29957795936840187,0.14662048993403332
35_B2,35 evolved,Rep2,Set1,caspofungin,March,0.014841917032283918,0,0.9042928551417317,4.582355395393995,TRUE,0.01171517681382457,0.3412987188226104
35_B2,35 evolved,Rep2,Set1,fluconazole,March,15.159950865497809,0.07822652181571496,0.9522167949834649,2.010703617307837,TRUE,11.448941567837421,0.40505084747332143
35_B2,35 evolved,Rep3,Set1,amphotericin,March,0.27649135218399634,0,0.8262575589866538,6.513245173362149,TRUE,0.2855441913427746,-0.04647967898386174
35_B2,35 evolved,Rep3,Set1,caspofungin,March,0.018573102795443604,0,0.7620277022138833,6.738764572974368,TRUE,0.015948210689411393,0.2198202801342557
35_B2,35 evolved,Rep3,Set1,fluconazole,March,18.092847302856654,0.08527361027871451,0.8632666686270888,2.831521299078271,TRUE,16.6323474419738,0.12142766440467145
35_B6,35 evolved,Rep1,Set1,amphotericin,March,0.28920009390263,0,0.7210997144596486,6.286730869793287,TRUE,0.3230710302026399,-0.1597833691290289
35_B6,35 evolved,Rep1,Set1,caspofungin,March,0.009948789507982655,0,0.806675605381541,5.312955311135417,TRUE,0.013243813268736427,-0.4127256692639296
35_B6,35 evolved,Rep1,Set1,fluconazole,March,11.733560585649002,0.07844918566493196,0.9126395148764093,1.6393205754262983,TRUE,12.960616881154408,-0.14349351709405989
35_B6,35 evolved,Rep2,Set1,amphotericin,March,0.29296282655087635,1.6864377044449691e-4,0.8966792144820177,15.050652441403935,TRUE,0.29957795936840187,-0.03221386968575435
35_B6,35 evolved,Rep2,Set1,caspofungin,March,0.013284600976887466,0,0.8941942971498341,5.64817939243286,TRUE,0.01171517681382457,0.18137616639797738
35_B6,35 evolved,Rep2,Set1,fluconazole,March,11.896147915055938,0.09318456179900746,1.0285368319534987,2.2513474324520892,TRUE,11.448941567837421,0.05528026072104719
35_B6,35 evolved,Rep3,Set1,amphotericin,March,0.24953007339473585,2.1666719302875452e-4,0.8746999904725185,31.99768432664138,TRUE,0.2855441913427746,-0.19450033717518367
35_B6,35 evolved,Rep3,Set1,caspofungin,March,0.010073852164085583,0,0.8205526779139228,2.6154208425412624,TRUE,0.015948210689411393,-0.6627791053920928
