population,evolution_history,drug,log_ratio,n_obs
35_B2,35 evolved,amphotericin,0.006346701732787248,3
35_B2,35 evolved,caspofungin,0.21966841002066392,3
35_B2,35 evolved,fluconazole,0.09634738839542904,3
35_B6,35 evolved,amphotericin,-0.0861339387154146,3
35_B6,35 evolved,caspofungin,-0.20783607492443829,3
35_B6,35 evolved,fluconazole,-0.0828727171605858,3
35_B8,35 evolved,amphotericin,0.018004776955850343,2
35_B8,35 evolved,caspofungin,-0.11032851700663007,3
35_B8,35 evolved,fluconazole,-0.09267478921707006,3
35_C5,35 evolved,amphotericin,-0.06268202233468445,3
35_C5,35 evolved,caspofungin,0.003431185238508938,3
35_C5,35 evolved,fluconazole,0.04995319451006841,3
35_C7,35 evolved,amphotericin,0.1773393901416718,3
35_C7,35 evolved,caspofungin,0.05976915762244979,3
35_C7,35 evolved,fluconazole,0.04154981020520321,3
35_C9,35 evolved,amphotericin,0.10433153033989506,3
35_C9,35 evolved,caspofungin,0.04986391519930855,3
35_C9,35 evolved,fluconazole,0.049357668363148324,3
35_D2,35 evolved,amphotericin,0.2333751598054432,3
35_D2,35 evolved,caspofungin,-0.01754105140931772,2
35_D2,35 evolved,fluconazole,1.1244527376261921,3
35_D4,35 evolved,amphotericin,-0.7006552866788406,3
35_D4,35 evolved,caspofungin,1.0028950710989404,2
35_D4,35 evolved,fluconazole,-1.0236016030994388,3
35_D8,35 evolved,amphotericin,0.050877445721587575,3
35_D8,35 evolved,caspofungin,-0.3402358249895028,2
35_D8,35 evolved,fluconazole,1.1098657243717451,3
35_E11,35 evolved,amphotericin,0.12129060380779536,3
35_E11,35 evolved,caspofungin,0.011864103776682011,2
35_E11,35 evolved,fluconazole,1.0778407419153673,3
35_E7,35 evolved,amphotericin,0.06063758769432067,3
35_E7,35 evolved,caspofungin,-0.2578946382996259,2
35_E7,35 evolved,fluconazole,1.0619569608801112,3
35_E9,35 evolved,amphotericin,0.16403073434218812,3
35_E9,35 evolved,caspofungin,-0.12319757653568919,2
35_E9,35 evolved,fluconazole,1.1012615011147242,3
35_F2,35 evolved,amphotericin,0.2754132939763836,3
35_F2,35 evolved,caspofungin,0.13655838417455612,3
35_F2,35 evolved,fluconazole,0.41061121263342304,3
35_F4,35 evolved,amphotericin,0.28778896054229947,3
35_F4,35 evolved,caspofungin,0.03435904566638618,3
35_F4,35 evolved,fluconazole,0.695637269167857,2
35_F6,35 evolved,amphotericin,0.1282640758659927,3
35_F6,35 evolved,caspofungin,-0.0029599717522736067,3
35_F6,35 evolved,fluconazole,0.04766585823673871,3
35_G11,35 evolved,amphotericin,-0.1387113024441807,3
35_G11,35 evolved,caspofungin,0.03394361778414812,3
35_G11,35 evolved,fluconazole,-0.03987670822399947,3
35_G5,35 evolved,amphotericin,0.2860137049959986,3
35_G5,35 evolved,caspofungin,0.1323446311599256,3
35_G5,35 evolved,fluconazole,0.44902795353056424,3
35_G9,35 evolved,amphotericin,0.10854432472561903,3
35_G9,35 evolved,caspofungin,0.0641500671813088,3
35_G9,35 evolved,fluconazole,0.24772382086664607,3
40_B2,40 evolved,amphotericin,0.05894224886890001,2
40_B2,40 evolved,caspofungin,-0.0176531203178667,2
40_B2,40 evolved,fluconazole,-0.41344219530352594,3
40_B6,40 evolved,amphotericin,-0.8624977311411891,2
40_B6,40 evolved,caspofungin,-0.3886532713915112,1
40_B6,40 evolved,fluconazole,-0.15224035038364944,3
40_B8,40 evolved,amphotericin,-0.18142861085763076,2
40_B8,40 evolved,caspofungin,-0.38143794149907406,2
40_B8,40 evolved,fluconazole,-0.24678216982800447,3
40_C5,40 evolved,amphotericin,0.01194452648719635,2
40_C5,40 evolved,caspofungin,-0.12036066135750811,2
40_C5,40 evolved,fluconazole,-0.21938069243571037,3
40_C7,40 evolved,amphotericin,-0.775563445515213,2
40_C7,40 evolved,caspofungin,-0.3705196094321275,2
40_C7,40 evolved,fluconazole,-0.1456749429760782,3
40_C9,40 evolved,amphotericin,0.1658726313975396,4
40_C9,40 evolved,caspofungin,0.3062299340569906,4
40_C9,40 evolved,fluconazole,0.4205564940215183,6
40_D2,40 evolved,amphotericin,-0.3842679878368327,3
40_D2,40 evolved,caspofungin,-0.21351085207899922,2
40_D2,40 evolved,fluconazole,0.14870502392339652,3
40_D4,40 evolved,amphotericin,-0.09851582366502346,2
40_D4,40 evolved,caspofungin,-0.18071174402893764,2
40_D4,40 evolved,fluconazole,0.004565999785346442,3
40_D8,40 evolved,amphotericin,-0.34427319780418475,3
40_D8,40 evolved,caspofungin,-0.2787062680023804,2
40_D8,40 evolved,fluconazole,-0.011203504486942517,3
40_E11,40 evolved,amphotericin,0.3250980349340823,6
40_E11,40 evolved,caspofungin,0.26532479819563504,3
40_E11,40 evolved,fluconazole,0.40956557159582707,6
40_E7,40 evolved,amphotericin,0.22633035405134327,5
40_E7,40 evolved,caspofungin,0.11050233351699035,3
40_E7,40 evolved,fluconazole,0.34069595573515993,6
40_E9,40 evolved,amphotericin,0.057062352745220354,3
40_E9,40 evolved,caspofungin,-0.3636531357853312,2
40_E9,40 evolved,fluconazole,0.19558403383246148,2
40_F2,40 evolved,amphotericin,-0.2057913824774641,3
40_F2,40 evolved,caspofungin,0.2926035728789713,2
40_F2,40 evolved,fluconazole,0.8719277440227594,3
40_F4,40 evolved,amphotericin,0.3504640062552304,3
40_F4,40 evolved,caspofungin,-0.04972329943660614,2
40_F4,40 evolved,fluconazole,0.38242120838089144,3
40_F6,40 evolved,amphotericin,-0.041634663630669755,6
40_F6,40 evolved,caspofungin,0.2433808138862732,4
40_F6,40 evolved,fluconazole,0.3411694949872422,6
40_G11,40 evolved,amphotericin,0.2893643891957063,5
40_G11,40 evolved,caspofungin,0.45924520981945716,4
40_G11,40 evolved,fluconazole,1.209414291858966,6
40_G5,40 evolved,amphotericin,-0.01481852975574767,3
40_G5,40 evolved,caspofungin,0.23861406700038135,2
40_G5,40 evolved,fluconazole,0.8982783812741938,3
40_G9,40 evolved,amphotericin,0.35616948661080367,5
40_G9,40 evolved,caspofungin,0.5777778716354438,4
40_G9,40 evolved,fluconazole,1.43941518071626,6
