strain,evolution_history,PC1,PC2,PC3
40_F6,40 evolved,-1.0215637725773488,0.45796670837016595,-0.03898771196399368
35_G11,35 evolved,1.3967922291051322,-0.16516337247274893,0.7139536249568182
35_D8,35 evolved,0.3896496401829741,0.15135442573977823,-1.6352734863739589
40_G5,40 evolved,-0.5757387058759833,0.9330537718224272,-1.461126185353561
35_E9,35 evolved,0.5889542785247228,-0.061453916794062854,-1.539667620053678
40_B6,40 evolved,-1.6462993267550365,2.367122578214764,1.245765491284824
40_E9,40 evolved,-0.7610576642700608,2.2883772094947554,-0.7083081605275756
40_G11,40 evolved,-1.555175376734524,-2.6984497484295824,-0.6378072175502126
35_E11,35 evolved,0.270904467301879,-0.22509291763278463,-1.2100768390853052
40_D2,40 evolved,-0.27465752113462033,0.17173102026261833,0.37994618798105595
40_E11,40 evolved,-1.0799158250928889,0.418517939235875,-0.03873088697343827
35_D2,35 evolved,0.7025681226898313,-0.3377218384844931,-1.3516054446361285
40_G9,40 evolved,-1.6568592279863792,-3.5462457090688675,-0.5217438532690479
35_B2,35 evolved,-0.3000787880870705,1.2451657753016367,-0.22338703655586767
40_C5,40 evolved,-1.1757238092179303,0.9600058416127865,0.29737266022602876
35_B8,35 evolved,1.4962191185786657,-0.39408765468697615,0.4868055393357621
35_C7,35 evolved,0.6545696571535672,-0.1344810550356428,-0.007260685015790656
35_G5,35 evolved,2.0347832040076677,-1.0364244650670549,-0.06480421056657498
40_B2,40 evolved,-1.618006900907641,-1.843747153759339,1.8762350054577146
40_E7,40 evolved,-0.9615645025203114,0.3492086096490016,-0.3182081054878419
40_C7,40 evolved,-0.6711499050617825,-0.10492693419228108,2.571309876038535
35_C9,35 evolved,0.08472501409645904,1.1230997355831303,-0.4593578725886857
35_F4,35 evolved,2.313178290164192,-0.48466778731595006,-0.51092085286020406
35_D4,35 evolved,1.0539034831257967,-0.09466508119315557,4.570417589026586
40_D8,40 evolved,-0.8609486933666455,2.6136006363882807,1.0196381879290617
40_F2,40 evolved,-1.720458271856916,-0.03685214291347291,-0.5086931484619125
35_F2,35 evolved,-0.1587541884281525,0.3262855995778637,-0.7037586357888403
40_D4,40 evolved,-1.030375604427955,-2.5181528175308556,0.8426565155453497
40_B8,40 evolved,-1.406331135855746,0.39348083070711193,0.7260617947827803
35_C5,35 evolved,1.0165585990989747,0.009923579394721297,0.3076341327328478
40_C9,40 evolved,-0.8829497869464706,0.5860252992749272,-0.9844423236954987
35_E7,35 evolved,0.5767017797665174,0.25229443666055096,-1.6331265819341307
35_G9,35 evolved,1.5501795633382003,-0.19540163852030493,0.11678073660903403
35_B6,35 evolved,4.404849211232207,0.06230887231848964,0.37892371401826885
35_F6,35 evolved,1.5610565951959812,0.10749570370860573,0.07875152642224698
40_F4,40 evolved,-0.7379842464595112,-0.9394843402205222,-1.0549657236045038
