strain,evolution_history,PC1,PC2,PC3
40_F6,40 evolved,0.03712518925466218,0.9421094160694418,-0.06998789542953535
35_G11,35 evolved,0.8265307327491357,-0.6961311312820261,0.20711562342290346
35_D8,35 evolved,-1.4847415668795865,0.6509294329202433,-0.660491413483595
40_G5,40 evolved,-0.016023607134757707,0.42239325849361964,-1.4892309392922782
35_E9,35 evolved,-1.3982468888448767,0.6284593479916197,-0.5601426607587262
40_B6,40 evolved,1.4851782875170623,2.1110427472990647,0.9756330150109572
40_E9,40 evolved,0.7447322036438827,1.0327861366834523,-1.1745763879336888
40_G11,40 evolved,-2.0702293392205533,-2.331179828467212,0.4696821310975173
35_E11,35 evolved,-1.588958191864851,0.810965550537787,-0.05554635016548187
40_D2,40 evolved,1.1145338298208471,-0.6472459437259013,-0.8452558464208889
40_E11,40 evolved,-0.011364483912221422,0.9986790258659942,-0.237397335803987
35_D2,35 evolved,-1.3848375883085948,0.6232200399171298,-0.46912948081526873
40_G9,40 evolved,-2.6607931387138275,-2.217739372483088,0.7265973398262326
35_B2,35 evolved,-0.6801236542676253,1.2196492168840045,1.2596794624773524
40_C5,40 evolved,0.4381848127801896,0.5877615332210431,0.5363561391775424
35_B8,35 evolved,0.48522943325770507,-0.440115842860387,-0.13454532443353773
35_C7,35 evolved,-0.40138884448238465,-0.291614029414681,0.5534483836638765
35_G5,35 evolved,0.3053448470057293,-0.8505097238603595,-0.514878058453471
40_B2,40 evolved,-0.014304584161489607,-2.8342184281928415,2.3113853040709365
40_E7,40 evolved,-0.21309519861253903,0.8689747863658196,-0.046250950686128556
40_C7,40 evolved,1.7961563623451131,0.8641990656293461,0.9750865142492944
35_C9,35 evolved,-0.608976226380179,1.0812340902302493,0.6697927584871309
35_F4,35 evolved,0.8953130777212907,-2.065764304884647,-0.9951408271995388
35_D4,35 evolved,3.035067320195483,-0.22256167462272458,3.6255868086600684
40_D8,40 evolved,2.2405166439367674,2.050585835821696,-0.7767940742889985
40_F2,40 evolved,-1.0696811792249443,0.9532591824151248,-0.09405923786695537
35_F2,35 evolved,-1.4738240377738394,1.042675642776985,0.8423211562491747
40_D4,40 evolved,-0.65878724051765,-2.678982421330252,0.02456484766915252
40_B8,40 evolved,0.2972942329767192,-0.008614777387683627,0.7298688388087851
35_C5,35 evolved,0.2839181388925714,-0.3801096309532943,0.2636057540546747
40_C9,40 evolved,-0.3358925241618144,0.5743417796763803,-0.815541716052313
35_E7,35 evolved,-1.3552085564553515,1.0768618004915693,-0.8947273663493814
35_G9,35 evolved,0.34788818623024104,0.157972361004405,-0.2112621545152294
35_B6,35 evolved,3.7237835804858146,-2.582741119156148,-2.6264932676576844
35_F6,35 evolved,0.47323023871948394,0.23757997428025535,-0.29919304318339457
40_F4,40 evolved,-1.1035502666155417,-0.6881519959540597,-1.2000797461355621
