pop_rep,IC50,IC50_lower,IC50_upper,n_boot
40_F2_Rep3_Plate3_fluconazole,30.779477217165972,23.470870007735392,31.37935617208461,2897
40_F4_Rep3_Plate3_fluconazole,17.425160793423345,13.74666996499928,22.200417479890774,5000
40_F6_Rep3_Plate3_fluconazole,30.631386058574492,24.54601650325953,38.12460500274518,5000
40_G5_Rep3_Plate3_fluconazole,36.94009069567955,33.67274335646447,41.61520789657117,5000
40_G9_Rep3_Plate3_fluconazole,90.97772254521676,47.68564716888067,150.1034801196593,5000
40_G11_Rep3_Plate3_fluconazole,67.37395882925514,31.707709257485135,123.47712872376778,5000
fRS585_Rep3_Plate3_fluconazole,6.317577363612771,3.7495918304604707,11.716612099225983,5000
40_F2_Rep2_Plate3_fluconazole,30.835072368056554,23.41232999797588,31.713380957256412,3819
40_F4_Rep2_Plate3_fluconazole,19.181112362013916,16.085945097887706,22.964663534962266,5000
40_F6_Rep2_Plate3_fluconazole,31.9374134023856,25.125131323788352,41.7707867084772,5000
40_G5_Rep2_Plate3_fluconazole,40.38495378523092,32.20928652181932,50.17915700648078,4995
40_G9_Rep2_Plate3_fluconazole,52.70137483489215,36.55262295001928,71.30629163565284,5000
40_G11_Rep2_Plate3_fluconazole,46.21837475951878,32.69229572080399,63.37979508014995,5000
fRS585_Rep2_Plate3_fluconazole,22.316685589787472,17.38150138366645,28.652116218727404,5000
40_F2_Rep1_Plate3_fluconazole,42.12770892315746,33.52793817115942,49.022606055051874,4894
40_F4_Rep1_Plate3_fluconazole,29.06340446298679,24.366344127207945,32.56319862790712,4819
40_F6_Rep1_Plate3_fluconazole,23.392422884668616,19.163930821855132,30.805466621834967,5000
40_G5_Rep1_Plate3_fluconazole,30.483097280666918,24.532733014483725,35.271234697016375,4811
40_G9_Rep1_Plate3_fluconazole,59.662189862873255,36.788919082042106,91.65796546522671,5000
40_G11_Rep1_Plate3_fluconazole,75.5827437047356,35.698752920912085,139.28341368723923,5000
fRS585_Rep1_Plate3_fluconazole,29.846641119268142,26.013165787614263,35.81502054516533,5000
40_D2_Rep3_Plate2_fluconazole,24.389862988896496,20.087474760414764,29.802433965245704,4993
40_D4_Rep3_Plate2_fluconazole,27.331163636791192,21.652211791539372,31.645204458974455,4629
40_D8_Rep3_Plate2_fluconazole,28.715145192695783,24.273290412878985,32.147064353661776,4944
40_E7_Rep3_Plate2_fluconazole,36.04943716897709,25.43399262414604,48.52650116385401,5000
40_E9_Rep3_Plate2_fluconazole,26.40584962322423,21.125758238376847,31.37230521034444,4652
40_E11_Rep3_Plate2_fluconazole,44.939305703686756,39.09876687321057,53.07553862644749,5000
fRS585_Rep3_Plate2_fluconazole,14.887887651609416,7.971987012089215,24.358451317265235,5000
40_D2_Rep2_Plate2_fluconazole,30.5754567434997,24.837807439469596,36.94228492080072,4999
40_D4_Rep2_Plate2_fluconazole,21.905798902502465,18.160412233828804,26.622191368208732,5000
40_D8_Rep2_Plate2_fluconazole,26.836170722858895,22.140724207896184,31.096080931330388,4983
40_E7_Rep2_Plate2_fluconazole,33.91694125470896,25.018906534093073,45.67363321289334,5000
