strain,evolution_history,method,r_tref,e,eh,th,topt,ctmax,rmax,r2
B2,35 evolved,growthTools,5.07152444242039,0.19647729520920634,10.388719080114745,314.0601933370736,37.716543308661734,43.47769553910782,8.86989211622655,0.9398779095540082
B6,35 evolved,growthTools,4.227002631155406,0.27647580214200096,7.078050611441644,313.35411912472284,36.42628525705141,44.137827565513106,8.776862247996899,0.9608702479261472
B8,35 evolved,growthTools,4.737659966061816,0.25692833968996726,6.216465344114332,313.4844921726015,36.10622124424885,44.84796959391878,9.203709697645644,0.9145661982796207
C5,35 evolved,growthTools,3.3767215567297564,0.3886084614711083,5.388703037866336,313.3129148229256,36.206241248249654,45.71814362872575,9.158992120576217,0.8668933551700932
C7,35 evolved,growthTools,4.909049064010477,0.2262442348972172,6.444631549843931,313.9315149686147,36.47629525905181,45.088017603520704,8.911004070831464,0.8907328565708035
C9,35 evolved,growthTools,3.4926728213050056,0.3144999122334519,15.079971373641545,314.218549323315,38.91678335667134,42.84756951390278,9.025933542893975,0.9507207007820929
D2,35 evolved,growthTools,4.817341231482878,0.2597817554067463,7.012569061617384,313.38818079554534,36.356271254250856,44.19783956791358,9.547974977591291,0.9411350697794292
D4,35 evolved,growthTools,4.971548360474975,0.21283492376000432,7.1159763666203215,313.6199510137226,36.37627525505101,44.31786357271454,8.718181214339733,0.9736628792035794
D8,35 evolved,growthTools,4.38991846735502,0.2980940180809948,5.793877503851107,313.44729111334505,36.09621924384877,45.248049609921985,9.44448737614179,0.895971910674898
E11,35 evolved,growthTools,4.445259169890518,0.27280250326950956,11.992148249519174,314.0923455310138,38.29665933186637,43.1876375275055,9.881931229981806,0.8865448803382499
E7,35 evolved,growthTools,3.6288114011953407,0.32648015337643277,14.720830191820479,314.06766277298544,38.74674934986997,42.7375475095019,9.655489050236708,0.9014383469973127
E9,35 evolved,growthTools,3.242310643081656,0.3967497850903506,10.25947327641717,313.5720343478744,37.786557311462296,43.127625525105024,10.053991233272722,0.9326496762051701
F2,35 evolved,growthTools,5.456173602434822,0.16797879191316573,14.062947300812295,314.3226889060402,38.526705341068215,43.037607521504306,8.982549567297276,0.9297674345180595
F4,35 evolved,growthTools,4.04464446973782,0.3020823201096203,6.091155396690386,313.489576757155,36.286257251450294,45.02800560112023,8.876711443244568,0.8565144699712128
F6,35 evolved,growthTools,5.013739967688248,0.2110967792413328,9.056279012554445,313.56884983729196,36.96639327865573,43.3876775355071,8.941268462535378,0.9663454430384353
G11,35 evolved,growthTools,4.177703986967453,0.30156112874506097,5.7474295060194995,313.4753654831391,36.116223244648936,45.328065613122625,9.071992465923298,0.8498611936299967
G5,35 evolved,growthTools,4.723037407239386,0.24164571109706942,9.66409261805046,313.5899365860313,37.256451290258056,43.22764552910582,9.253568364027846,0.9497024693550765
G9,35 evolved,growthTools,4.987386290555278,0.22395870274214089,8.22038193471561,313.40440273777534,36.616323264652934,43.55771154230846,9.103623753295384,0.9595468863269307
B2,40 evolved,growthTools,3.180095898768354,0.39112996205620365,8.297519302744103,314.31643374383464,38.116623324664936,44.597919583916784,9.759340939482998,0.8941128861217589
B6,40 evolved,growthTools,5.356638813951261,0.1700518190420047,20.493498205741492,314.53589305965875,39.40688137627526,42.65753150630126,9.068562922285953,0.9424864779568279
B8,40 evolved,growthTools,4.814157334583297,0.2149518285678549,13.368153715553106,314.4906271865306,38.736747349469894,43.327665533106625,9.154542671336127,0.9270231112724739
C5,40 evolved,growthTools,5.229940421309738,0.18013922024550993,19.95979491128253,314.55424495633326,39.40688137627526,42.70754150830166,9.133018401925131,0.9426376357131102
C7,40 evolved,growthTools,4.769793084582303,0.20833479350697767,10.29522479700497,314.4392565025205,38.10662132426486,43.897779555911185,8.713039483541166,0.9160438182991066
C9,40 evolved,growthTools,3.863481771329628,0.28074296043096264,15.456806327171982,314.5828850401506,39.24684936987398,43.157631526305266,9.12278007752201,0.9732192363095505
D2,40 evolved,growthTools,4.038777788600179,0.3478431565361398,4.545887476632463,312.9817428163884,35.276055211042205,46.47829565913183,9.366925573950203,0.9712090821448623
D4,40 evolved,growthTools,4.795345566153464,0.21954713065695963,8.626403526822818,314.600076836117,37.88657731546309,44.60792158431686,8.957231146912926,0.7982071714995029
D8,40 evolved,growthTools,4.49574519669727,0.24654181655770765,16.901691386229757,314.38947293943573,39.12682536507302,42.797559511902385,9.541608774922425,0.9274553457508985
E11,40 evolved,growthTools,3.492596363768961,0.32337818401491397,14.202776865476665,314.5554281171053,39.16683336667334,43.29765953190638,9.348889984953662,0.918929117624697
E7,40 evolved,growthTools,4.461990860067518,0.2520894181752447,20.916825331030662,314.5440067318276,39.60692138427686,42.64752950590118,9.798808158506448,0.9104527201140337
E9,40 evolved,growthTools,4.237530780895429,0.28577952774304277,12.885014595904613,314.2469212051597,38.616723344668934,43.17763552710542,9.908147269136013,0.9705722884959386
F2,40 evolved,growthTools,3.823268382056526,0.30898886128475483,13.093590636115998,314.53319074854477,38.976795359071815,43.447689537907586,9.710055848004693,0.8976333141195878
F4,40 evolved,growthTools,4.061024014312473,0.30122535202199513,9.61293709031325,314.32386659835083,38.166633326665334,44.0378075615123,9.701125699292062,0.9261644011513255
F6,40 evolved,growthTools,4.864098698229393,0.23204432237034858,23.024889662325567,314.6074912614474,39.76695339067814,42.5875175035007,10.088609097907437,0.8772793896373597
G11,40 evolved,growthTools,4.322982832656606,0.2551422224641213,11.703969000172908,314.8183706337016,38.91678335667134,43.96779355871175,9.29428542340096,0.7917441377447776
G5,40 evolved,growthTools,5.302241671313669,0.15942812914104598,16.94527570257536,314.4223461211338,38.94678935787157,42.80756151230246,8.596465915611745,0.929572074212082
G9,40 evolved,growthTools,4.73090339429867,0.24619421627439828,11.35923611058606,314.7856309511601,38.79675935187038,44.00780156031207,9.860930618086433,0.9336043734297246
fRS585,fRS585,growthTools,4.3185174820965795,0.2737599506089508,8.973537523250352,313.9114001946184,37.52650530106021,43.817763552710545,9.310897256784967,0.918196284888847
B2,35 evolved,logistic,1.9294080914303695,0.4300007459009422,22.027764388643696,313.86119713747604,39.20684136827366,41.91738347669534,7.240225845478851,0.9826858183749801
