strain,rmax,topt,ctmax,lineage,strain_id,evolution_history,lineage_numeric
35_B2,8.72694145132243,38.196,43.326,35,B2,35 evolved,35
35_B6,8.850343457781008,36.66,44.053,35,B6,35 evolved,35
35_B8,8.887462090244677,36.92,44.370999999999995,35,B8,35 evolved,35
35_C5,8.733712858632266,36.828,45.007000000000005,35,C5,35 evolved,35
35_C7,8.60879903663417,37.193,44.864000000000004,35,C7,35 evolved,35
35_C9,8.955723687664415,38.681,42.870000000000005,35,C9,35 evolved,35
35_D2,8.853474922479103,38.101,43.114000000000004,35,D2,35 evolved,35
35_D4,8.80698914405602,36.823,44.174,35,D4,35 evolved,35
35_D8,8.59175491413456,37.848,43.81,35,D8,35 evolved,35
35_E11,8.831306988552413,38.336,43.206,35,E11,35 evolved,35
35_E7,9.077603488995925,38.536,42.862,35,E7,35 evolved,35
35_E9,8.76965078005942,37.56,43.487,35,E9,35 evolved,35
35_F2,8.865062393066129,38.504,43.155,35,F2,35 evolved,35
35_F4,8.950589683771382,36.662,44.747,35,F4,35 evolved,35
35_F6,8.648384731895945,37.787,43.101,35,F6,35 evolved,35
35_G11,8.731948003197857,36.822,44.688,35,G11,35 evolved,35
35_G5,8.957167352695162,37.051,43.667,35,G5,35 evolved,35
35_G9,8.735736668548103,37.536,43.241,35,G9,35 evolved,35
40_B2,8.464952903248951,37.852000000000004,45.019000000000005,40,B2,40 evolved,40
40_B6,8.536618301524879,39.423,42.709,40,B6,40 evolved,40
40_B8,8.313151220081858,38.622,43.685,40,B8,40 evolved,40
40_C5,8.546016998363532,39.289,42.884,40,C5,40 evolved,40
40_C7,8.238860530057734,37.834,44.346000000000004,40,C7,40 evolved,40
40_C9,9.061598350868442,38.794,43.396,40,C9,40 evolved,40
40_D2,8.11701671482826,37.618,44.486000000000004,40,D2,40 evolved,40
40_D4,8.5089575350803,37.666,45.285,40,D4,40 evolved,40
40_D8,8.583161829639797,39.027,42.966,40,D8,40 evolved,40
40_E11,8.924132486139333,38.849000000000004,43.438,40,E11,40 evolved,40
40_E7,9.030852557111833,39.371,42.772000000000006,40,E7,40 evolved,40
40_E9,8.11949081258095,38.941,43.248000000000005,40,E9,40 evolved,40
40_F2,8.614129325687522,38.563,43.848,40,F2,40 evolved,40
40_F4,8.366866443075196,38.663,43.937,40,F4,40 evolved,40
40_F6,9.458019967352826,39.446,42.754999999999995,40,F6,40 evolved,40
40_G11,9.222030422606078,37.964,44.900999999999996,40,G11,40 evolved,40
40_G5,8.525591968030096,38.855000000000004,42.942,40,G5,40 evolved,40
40_G9,9.825486491966588,37.939,45.036,40,G9,40 evolved,40
fRS585_fRS585,8.777419623319254,37.781,43.772000000000006,fRS585,fRS585,NA,NA
