strain,rmax,topt,ctmax,lineage,strain_id,evolution_history,lineage_numeric
35_B2,8.869894139443877,37.712,43.472,35,B2,35 evolved,35
35_B6,8.7768723445809,36.422,44.141000000000005,35,B6,35 evolved,35
35_B8,9.203705609835398,36.109,44.848,35,B8,35 evolved,35
35_C5,9.15899322734085,36.203,45.716,35,C5,35 evolved,35
35_C7,8.911003811633808,36.475,45.089,35,C7,35 evolved,35
35_C9,9.02594088012613,38.912,42.839,35,C9,35 evolved,35
35_D2,9.547969182208117,36.355000000000004,44.195,35,D2,35 evolved,35
35_D4,8.718172507226482,36.38,44.312,35,D4,35 evolved,35
35_D8,9.444487507020485,36.096000000000004,45.248000000000005,35,D8,35 evolved,35
35_E11,9.88192808334642,38.299,43.181,35,E11,35 evolved,35
35_E7,9.655488998614807,38.747,42.737,35,E7,35 evolved,35
35_E9,10.053998040029265,37.791,43.128,35,E9,35 evolved,35
35_F2,8.982552570020628,38.522,43.033,35,F2,35 evolved,35
35_F4,8.876715740954523,36.287,45.03,35,F4,35 evolved,35
35_F6,8.941270206139802,36.963,43.382000000000005,35,F6,35 evolved,35
35_G11,9.07199376046179,36.119,45.329,35,G11,35 evolved,35
35_G5,9.253569570180607,37.26,43.228,35,G5,35 evolved,35
35_G9,9.103623773433343,36.616,43.551,35,G9,35 evolved,35
40_B2,9.75935428350038,38.112,44.596000000000004,40,B2,40 evolved,40
40_B6,9.077259119644468,39.372,42.68,40,B6,40 evolved,40
40_B8,9.154543958342344,38.739000000000004,43.32,40,B8,40 evolved,40
40_C5,9.13302034155484,39.41,42.705,40,C5,40 evolved,40
40_C7,8.713041760402662,38.111000000000004,43.888999999999996,40,C7,40 evolved,40
40_C9,9.122780064594265,39.247,43.153,40,C9,40 evolved,40
40_D2,9.36692571574285,35.274,46.480000000000004,40,D2,40 evolved,40
40_D4,8.957228867085057,37.887,44.599000000000004,40,D4,40 evolved,40
40_D8,9.5416128780185,39.131,42.796,40,D8,40 evolved,40
40_E11,9.348891701142614,39.165,43.299,40,E11,40 evolved,40
40_E7,9.815084387662948,39.547,42.702,40,E7,40 evolved,40
40_E9,9.908147437630943,38.616,43.181,40,E9,40 evolved,40
40_F2,9.710055855925466,38.978,43.441,40,F2,40 evolved,40
40_F4,9.701128829987038,38.164,44.03,40,F4,40 evolved,40
40_F6,10.161428693539246,39.577,42.751000000000005,40,F6,40 evolved,40
40_G11,9.29428536365227,38.917,43.967,40,G11,40 evolved,40
40_G5,8.596466391837355,38.948,42.804,40,G5,40 evolved,40
40_G9,9.86093073763732,38.798,44.004000000000005,40,G9,40 evolved,40
fRS585_fRS585,9.31090031258865,37.522,43.813,fRS585,fRS585,NA,NA
