population,sheet_name,concentration,OD
40_D2,Set2_Rep3_CASP,1,0.05920000001788139
40_D4,Set2_Rep3_CASP,1,0.059700001031160355
40_D8,Set2_Rep3_CASP,1,0.05939999967813492
40_E7,Set2_Rep3_CASP,1,0.05939999967813492
40_E9,Set2_Rep3_CASP,1,0.05939999967813492
40_E11,Set2_Rep3_CASP,1,0.059300001710653305
fRS585,Set2_Rep3_CASP,1,0.05999999865889549
Blank,Set2_Rep3_CASP,1,0.0575999990105629
40_D2,Set2_Rep2_CASP,1,0.05959999933838844
40_D4,Set2_Rep2_CASP,1,0.06019999831914902
40_D8,Set2_Rep2_CASP,1,0.05939999967813492
40_E7,Set2_Rep2_CASP,1,0.05939999967813492
40_E9,Set2_Rep2_CASP,1,0.05909999832510948
40_E11,Set2_Rep2_CASP,1,0.05950000137090683
fRS585,Set2_Rep2_CASP,1,0.05990000069141388
Blank,Set2_Rep2_CASP,1,0.058400001376867294
40_D2,Set2_Rep1_CASP,1,0.05829999968409538
40_D4,Set2_Rep1_CASP,1,0.05820000171661377
40_D8,Set2_Rep1_CASP,1,0.0575999990105629
40_E7,Set2_Rep1_CASP,1,0.05790000036358833
40_E9,Set2_Rep1_CASP,1,0.05739999935030937
40_E11,Set2_Rep1_CASP,1,0.05790000036358833
fRS585,Set2_Rep1_CASP,1,0.05860000103712082
Blank,Set2_Rep1_CASP,1,0.0575999990105629
40_B2,Set1_Rep3_CASP,1,0.05979999899864197
40_B6,Set1_Rep3_CASP,1,0.05990000069141388
40_B8,Set1_Rep3_CASP,1,0.05950000137090683
40_C5,Set1_Rep3_CASP,1,0.05900000035762787
40_C7,Set1_Rep3_CASP,1,0.058800000697374344
40_C9,Set1_Rep3_CASP,1,0.05909999832510948
fRS585,Set1_Rep3_CASP,1,0.05900000035762787
Blank,Set1_Rep3_CASP,1,0.05900000035762787
40_B2,Set1_Rep2_CASP,1,0.05909999832510948
40_B6,Set1_Rep2_CASP,1,0.059300001710653305
40_B8,Set1_Rep2_CASP,1,0.05889999866485596
40_C5,Set1_Rep2_CASP,1,0.05849999934434891
40_C7,Set1_Rep2_CASP,1,0.05820000171661377
40_C9,Set1_Rep2_CASP,1,0.05860000103712082
fRS585,Set1_Rep2_CASP,1,0.05939999967813492
Blank,Set1_Rep2_CASP,1,0.057999998331069946
40_B2,Set1_Rep1_CASP,1,0.06030000001192093
40_B6,Set1_Rep1_CASP,1,0.05979999899864197
40_B8,Set1_Rep1_CASP,1,0.059300001710653305
40_C5,Set1_Rep1_CASP,1,0.05869999900460243
40_C7,Set1_Rep1_CASP,1,0.05860000103712082
40_C9,Set1_Rep1_CASP,1,0.058800000697374344
fRS585,Set1_Rep1_CASP,1,0.05959999933838844
Blank,Set1_Rep1_CASP,1,0.05909999832510948
40_F2,Set3_Rep3_CASP,1,0.05939999967813492
40_F4,Set3_Rep3_CASP,1,0.05990000069141388
40_F6,Set3_Rep3_CASP,1,0.060100000351667404
40_G5,Set3_Rep3_CASP,1,0.05959999933838844
40_G9,Set3_Rep3_CASP,1,0.05909999832510948
40_G11,Set3_Rep3_CASP,1,0.05909999832510948
fRS585,Set3_Rep3_CASP,1,0.059700001031160355
Blank,Set3_Rep3_CASP,1,0.05849999934434891
40_F2,Set3_Rep2_CASP,1,0.05920000001788139
40_F4,Set3_Rep2_CASP,1,0.05990000069141388
40_F6,Set3_Rep2_CASP,1,0.05950000137090683
40_G5,Set3_Rep2_CASP,1,0.05920000001788139
40_G9,Set3_Rep2_CASP,1,0.05889999866485596
40_G11,Set3_Rep2_CASP,1,0.05900000035762787
fRS585,Set3_Rep2_CASP,1,0.059700001031160355
Blank,Set3_Rep2_CASP,1,0.058400001376867294
40_F2,Set3_Rep1_CASP,1,0.060100000351667404
40_F4,Set3_Rep1_CASP,1,0.06030000001192093
40_F6,Set3_Rep1_CASP,1,0.05939999967813492
40_G5,Set3_Rep1_CASP,1,0.05860000103712082
40_G9,Set3_Rep1_CASP,1,0.05829999968409538
40_G11,Set3_Rep1_CASP,1,0.05909999832510948
fRS585,Set3_Rep1_CASP,1,0.059300001710653305
Blank,Set3_Rep1_CASP,1,0.05909999832510948
40_D2,Set2_Rep3_CASP,0.5,0.0575999990105629
40_D4,Set2_Rep3_CASP,0.5,0.05860000103712082
40_D8,Set2_Rep3_CASP,0.5,0.05810000002384186
40_E7,Set2_Rep3_CASP,0.5,0.05909999832510948
40_E9,Set2_Rep3_CASP,0.5,0.05900000035762787
40_E11,Set2_Rep3_CASP,0.5,0.05829999968409538
fRS585,Set2_Rep3_CASP,0.5,0.058800000697374344
Blank,Set2_Rep3_CASP,0.5,0.05869999900460243
40_D2,Set2_Rep2_CASP,0.5,0.05849999934434891
40_D4,Set2_Rep2_CASP,0.5,0.05900000035762787
40_D8,Set2_Rep2_CASP,0.5,0.05860000103712082
40_E7,Set2_Rep2_CASP,0.5,0.05889999866485596
40_E9,Set2_Rep2_CASP,0.5,0.05939999967813492
40_E11,Set2_Rep2_CASP,0.5,0.058400001376867294
fRS585,Set2_Rep2_CASP,0.5,0.05939999967813492
Blank,Set2_Rep2_CASP,0.5,0.058400001376867294
40_D2,Set2_Rep1_CASP,0.5,0.05770000070333481
40_D4,Set2_Rep1_CASP,0.5,0.05869999900460243
40_D8,Set2_Rep1_CASP,0.5,0.05900000035762787
40_E7,Set2_Rep1_CASP,0.5,0.05829999968409538
40_E9,Set2_Rep1_CASP,0.5,0.05860000103712082
40_E11,Set2_Rep1_CASP,0.5,0.05900000035762787
fRS585,Set2_Rep1_CASP,0.5,0.05900000035762787
Blank,Set2_Rep1_CASP,0.5,0.05719999969005585
40_B2,Set1_Rep3_CASP,0.5,0.05810000002384186
40_B6,Set1_Rep3_CASP,0.5,0.05900000035762787
40_B8,Set1_Rep3_CASP,0.5,0.05889999866485596
40_C5,Set1_Rep3_CASP,0.5,0.05849999934434891
40_C7,Set1_Rep3_CASP,0.5,0.058800000697374344
40_C9,Set1_Rep3_CASP,0.5,0.057999998331069946
fRS585,Set1_Rep3_CASP,0.5,0.05920000001788139
Blank,Set1_Rep3_CASP,0.5,0.057500001043081284
40_B2,Set1_Rep2_CASP,0.5,0.0575999990105629
40_B6,Set1_Rep2_CASP,0.5,0.05869999900460243
40_B8,Set1_Rep2_CASP,0.5,0.05900000035762787
40_C5,Set1_Rep2_CASP,0.5,0.058400001376867294
40_C7,Set1_Rep2_CASP,0.5,0.058800000697374344
40_C9,Set1_Rep2_CASP,0.5,0.05869999900460243
fRS585,Set1_Rep2_CASP,0.5,0.05860000103712082
Blank,Set1_Rep2_CASP,0.5,0.05689999833703041
40_B2,Set1_Rep1_CASP,0.5,0.05790000036358833
40_B6,Set1_Rep1_CASP,0.5,0.05950000137090683
40_B8,Set1_Rep1_CASP,0.5,0.058800000697374344
40_C5,Set1_Rep1_CASP,0.5,0.058400001376867294
40_C7,Set1_Rep1_CASP,0.5,0.7495999932289124
40_C9,Set1_Rep1_CASP,0.5,0.05849999934434891
fRS585,Set1_Rep1_CASP,0.5,0.05810000002384186
Blank,Set1_Rep1_CASP,0.5,0.05770000070333481
40_F2,Set3_Rep3_CASP,0.5,0.057500001043081284
40_F4,Set3_Rep3_CASP,0.5,0.05909999832510948
40_F6,Set3_Rep3_CASP,0.5,0.05860000103712082
40_G5,Set3_Rep3_CASP,0.5,0.058800000697374344
40_G9,Set3_Rep3_CASP,0.5,0.05909999832510948
40_G11,Set3_Rep3_CASP,0.5,0.05829999968409538
fRS585,Set3_Rep3_CASP,0.5,0.05950000137090683
Blank,Set3_Rep3_CASP,0.5,0.05810000002384186
40_F2,Set3_Rep2_CASP,0.5,0.05739999935030937
40_F4,Set3_Rep2_CASP,0.5,0.05909999832510948
40_F6,Set3_Rep2_CASP,0.5,0.05849999934434891
40_G5,Set3_Rep2_CASP,0.5,0.05939999967813492
40_G9,Set3_Rep2_CASP,0.5,0.05920000001788139
40_G11,Set3_Rep2_CASP,0.5,0.058800000697374344
fRS585,Set3_Rep2_CASP,0.5,0.058800000697374344
Blank,Set3_Rep2_CASP,0.5,0.05790000036358833
40_F2,Set3_Rep1_CASP,0.5,0.05770000070333481
40_F4,Set3_Rep1_CASP,0.5,0.05900000035762787
40_F6,Set3_Rep1_CASP,0.5,0.05900000035762787
40_G5,Set3_Rep1_CASP,0.5,0.05820000171661377
40_G9,Set3_Rep1_CASP,0.5,0.05790000036358833
40_G11,Set3_Rep1_CASP,0.5,0.057100001722574234
fRS585,Set3_Rep1_CASP,0.5,0.05829999968409538
Blank,Set3_Rep1_CASP,0.5,0.057500001043081284
40_D2,Set2_Rep3_CASP,0.25,0.057999998331069946
40_D4,Set2_Rep3_CASP,0.25,0.058800000697374344
40_D8,Set2_Rep3_CASP,0.25,0.05860000103712082
40_E7,Set2_Rep3_CASP,0.25,0.058800000697374344
40_E9,Set2_Rep3_CASP,0.25,0.057999998331069946
40_E11,Set2_Rep3_CASP,0.25,0.05939999967813492
fRS585,Set2_Rep3_CASP,0.25,0.05909999832510948
Blank,Set2_Rep3_CASP,0.25,0.058400001376867294
40_D2,Set2_Rep2_CASP,0.25,0.058800000697374344
40_D4,Set2_Rep2_CASP,0.25,0.05920000001788139
40_D8,Set2_Rep2_CASP,0.25,0.05849999934434891
40_E7,Set2_Rep2_CASP,0.25,0.05869999900460243
40_E9,Set2_Rep2_CASP,0.25,0.058400001376867294
40_E11,Set2_Rep2_CASP,0.25,0.05959999933838844
fRS585,Set2_Rep2_CASP,0.25,0.05889999866485596
Blank,Set2_Rep2_CASP,0.25,0.05829999968409538
40_D2,Set2_Rep1_CASP,0.25,0.059300001710653305
40_D4,Set2_Rep1_CASP,0.25,0.05860000103712082
40_D8,Set2_Rep1_CASP,0.25,0.05810000002384186
40_E7,Set2_Rep1_CASP,0.25,0.05849999934434891
40_E9,Set2_Rep1_CASP,0.25,0.05829999968409538
40_E11,Set2_Rep1_CASP,0.25,0.05849999934434891
fRS585,Set2_Rep1_CASP,0.25,0.05909999832510948
Blank,Set2_Rep1_CASP,0.25,0.05770000070333481
40_B2,Set1_Rep3_CASP,0.25,0.05820000171661377
40_B6,Set1_Rep3_CASP,0.25,0.05889999866485596
40_B8,Set1_Rep3_CASP,0.25,0.059300001710653305
40_C5,Set1_Rep3_CASP,0.25,0.058800000697374344
