population,sheet_name,concentration,OD
40_C9,Set4_Rep3_FLZ,8,0.5482000112533569
40_E7,Set4_Rep3_FLZ,8,0.7185999751091003
40_E11,Set4_Rep3_FLZ,8,0.8151999711990356
40_F6,Set4_Rep3_FLZ,8,0.8536999821662903
40_G9,Set4_Rep3_FLZ,8,0.9890000224113464
40_G11,Set4_Rep3_FLZ,8,1.1205999851226807
fRS585,Set4_Rep3_FLZ,8,1.0662000179290771
Blank,Set4_Rep3_FLZ,8,0.05979999899864197
40_C9,Set4_Rep2_FLZ,8,1.115399956703186
40_E7,Set4_Rep2_FLZ,8,0.9225999712944031
40_E11,Set4_Rep2_FLZ,8,0.8497999906539917
40_F6,Set4_Rep2_FLZ,8,0.8098999857902527
40_G9,Set4_Rep2_FLZ,8,0.8442000150680542
40_G11,Set4_Rep2_FLZ,8,0.7901999950408936
fRS585,Set4_Rep2_FLZ,8,0.8427000045776367
Blank,Set4_Rep2_FLZ,8,0.06019999831914902
40_C9,Set4_Rep1_FLZ,8,1.0484000444412231
40_E7,Set4_Rep1_FLZ,8,0.7382000088691711
40_E11,Set4_Rep1_FLZ,8,0.9226999878883362
40_F6,Set4_Rep1_FLZ,8,0.9764999747276306
40_G9,Set4_Rep1_FLZ,8,1.0241999626159668
40_G11,Set4_Rep1_FLZ,8,0.8490999937057495
fRS585,Set4_Rep1_FLZ,8,0.8066999912261963
Blank,Set4_Rep1_FLZ,8,0.060100000351667404
35_F2,Set3_Rep3_FLZ,8,1.0368000268936157
35_F4,Set3_Rep3_FLZ,8,1.0506000518798828
35_F6,Set3_Rep3_FLZ,8,0.8619999885559082
35_G5,Set3_Rep3_FLZ,8,0.873199999332428
35_G9,Set3_Rep3_FLZ,8,0.8467000126838684
35_G11,Set3_Rep3_FLZ,8,0.679099977016449
fRS585,Set3_Rep3_FLZ,8,0.5733000040054321
Blank,Set3_Rep3_FLZ,8,0.05950000137090683
35_F2,Set3_Rep2_FLZ,8,0.853600025177002
35_F4,Set3_Rep2_FLZ,8,1.184000015258789
35_F6,Set3_Rep2_FLZ,8,0.8939999938011169
35_G5,Set3_Rep2_FLZ,8,0.916700005531311
35_G9,Set3_Rep2_FLZ,8,0.9531999826431274
35_G11,Set3_Rep2_FLZ,8,0.8162999749183655
fRS585,Set3_Rep2_FLZ,8,0.9323999881744385
Blank,Set3_Rep2_FLZ,8,0.06019999831914902
35_F2,Set3_Rep1_FLZ,8,0.8597000241279602
35_F4,Set3_Rep1_FLZ,8,0.9890000224113464
35_F6,Set3_Rep1_FLZ,8,0.5934000015258789
35_G5,Set3_Rep1_FLZ,8,0.875
35_G9,Set3_Rep1_FLZ,8,0.8579999804496765
35_G11,Set3_Rep1_FLZ,8,0.7228000164031982
fRS585,Set3_Rep1_FLZ,8,0.8341000080108643
Blank,Set3_Rep1_FLZ,8,0.060100000351667404
35_D2,Set2_Rep3_FLZ,8,0.6536999940872192
35_D4,Set2_Rep3_FLZ,8,0.06289999932050705
35_D8,Set2_Rep3_FLZ,8,0.7806000113487244
35_E7,Set2_Rep3_FLZ,8,0.7694000005722046
35_E9,Set2_Rep3_FLZ,8,0.9380999803543091
35_E11,Set2_Rep3_FLZ,8,0.8967999815940857
fRS585,Set2_Rep3_FLZ,8,0.6039000153541565
Blank,Set2_Rep3_FLZ,8,0.06120000034570694
35_D2,Set2_Rep2_FLZ,8,0.9463000297546387
35_D4,Set2_Rep2_FLZ,8,0.06289999932050705
35_D8,Set2_Rep2_FLZ,8,0.8949000239372253
35_E7,Set2_Rep2_FLZ,8,0.7598000168800354
35_E9,Set2_Rep2_FLZ,8,0.7864999771118164
35_E11,Set2_Rep2_FLZ,8,0.7968999743461609
fRS585,Set2_Rep2_FLZ,8,0.671999990940094
Blank,Set2_Rep2_FLZ,8,0.061000000685453415
35_D2,Set2_Rep1_FLZ,8,0.6633999943733215
35_D4,Set2_Rep1_FLZ,8,0.06400000303983688
35_D8,Set2_Rep1_FLZ,8,0.8119999766349792
