Variant,Gene,Loading,Abs_Loading
181,CAGL0H09350g,0.5007990902661356,0.5007990902661356
647,CaglfMp04,0.43902009289628235,0.43902009289628235
880,nan,0.40873016219157704,0.40873016219157704
315,CAGL0G01320g,-0.35768248007842357,0.35768248007842357
830,CAGL0L02981g,0.12808129569934382,0.12808129569934382
683,CAGL0M08492g,0.11050151001512015,0.11050151001512015
495,CAGL0J06996g,0.10710134752641493,0.10710134752641493
178,CAGL0H09350g,0.09986570213007015,0.09986570213007015
237,CAGL0G10219g,0.09392304970404221,0.09392304970404221
236,CAGL0G10219g,0.09303274897121405,0.09303274897121405
622,CAGL0F04015g,0.08815323074254255,0.08815323074254255
807,nan,0.07566971407853064,0.07566971407853064
64,nan,0.06693870478745165,0.06693870478745165
255,CAGL0G09020g,0.06336188822004821,0.06336188822004821
656,CAGL0M12474g,0.06305819175436012,0.06305819175436012
228,nan,0.06305819175436012,0.06305819175436012
474,nan,0.060879264291562075,0.060879264291562075
598,CAGL0F06149g,-0.06013959548521463,0.06013959548521463
404,CAGL0E04774g,0.05999173756276611,0.05999173756276611
5,CAGL0K12276g,0.05919740326053086,0.05919740326053086
185,CAGL0H09350g,-0.057840931037352626,0.057840931037352626
596,CAGL0F06149g,-0.05713246912087311,0.05713246912087311
283,nan,0.056831500453363555,0.056831500453363555
824,CAGL0L03916g,0.056554967305741596,0.056554967305741596
735,CAGL0M00924g,0.05643090555981124,0.05643090555981124
66,CAGL0K04169g,0.05604819499805377,0.05604819499805377
862,CAGL0C02541g,0.05591674827441448,0.05591674827441448
282,nan,0.05414560067536702,0.05414560067536702
597,CAGL0F06149g,-0.05412556827973279,0.05412556827973279
852,nan,0.053168530330631084,0.053168530330631084
400,CAGL0E04158g,0.0519521158827046,0.0519521158827046
397,CAGL0E03894g,0.051798097212476975,0.051798097212476975
44,nan,0.04803778154068935,0.04803778154068935
142,CAGL0I07997g,-0.04775806761378317,0.04775806761378317
847,CAGL0L01353g,0.047721054894790796,0.047721054894790796
864,CAGL0C02893g,0.04768233326593773,0.04768233326593773
512,CAGL0J09900g,0.04697758568123214,0.04697758568123214
600,CAGL0F05819g,-0.04643676073851725,0.04643676073851725
240,CAGL0G10109g,0.04595121487892249,0.04595121487892249
113,CAGL0I04312g,-0.04580940023675303,0.04580940023675303
345,CAGL0D04708g,0.04522260489392541,0.04522260489392541
535,CAGL0A04785g,0.0452051631880037,0.0452051631880037
780,CAGL0L08976g,0.0452051631880037,0.0452051631880037
487,nan,0.043201382052363395,0.043201382052363395
